ring=262144 depth=44
GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
context loaded
input encrypted
stage=1 level=5 scale_degree=2
stage=2 level=9 scale_degree=2
stage=3 level=13 scale_degree=2
stage=4 level=17 scale_degree=2
stage=5 level=21 scale_degree=2
stage=6 level=25 scale_degree=2
stage=7 level=29 scale_degree=2
stage=8 level=33 scale_degree=2
stage=9 level=37 scale_degree=2
stage=10 level=41 scale_degree=2
stage=11 level=45 scale_degree=1
