GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 1024 slots.
Plaintexts loaded: 120 ~ 3030MB
Rotation keys loaded: 50 ~ 9000MB
setup_seconds=15.6587
planned_logical_refreshes=0
node=1/428 op=public seconds=0.188286 eta_seconds=80.3981 bootstraps=0
node=11/428 op=gather seconds=1.00779 eta_seconds=38.2043 bootstraps=0
node=21/428 op=cheb seconds=3.65698 eta_seconds=70.8757 bootstraps=0
node=31/428 op=mulp seconds=3.94042 eta_seconds=50.4628 bootstraps=0
node=41/428 op=cheb seconds=4.6389 eta_seconds=43.7867 bootstraps=0
node=51/428 op=mul seconds=4.91073 eta_seconds=36.3009 bootstraps=0
node=61/428 op=gather seconds=5.09336 eta_seconds=30.6436 bootstraps=0
node=71/428 op=mul seconds=5.41948 eta_seconds=27.2501 bootstraps=0
node=81/428 op=mulp seconds=5.64175 eta_seconds=24.169 bootstraps=0
node=91/428 op=mul seconds=6.15498 eta_seconds=22.7937 bootstraps=0
node=101/428 op=mul seconds=6.66031 eta_seconds=21.5636 bootstraps=0
node=111/428 op=input seconds=7.19994 eta_seconds=20.562 bootstraps=0
node=121/428 op=addp seconds=7.51364 eta_seconds=19.0635 bootstraps=0
node=131/428 op=mulp seconds=10.0219 eta_seconds=22.7215 bootstraps=0
node=141/428 op=mul seconds=10.6292 eta_seconds=21.6353 bootstraps=0
node=151/428 op=repeat seconds=10.9567 eta_seconds=20.0994 bootstraps=0
node=161/428 op=mul seconds=11.1693 eta_seconds=18.523 bootstraps=0
node=171/428 op=gather seconds=11.4064 eta_seconds=17.1429 bootstraps=0
node=181/428 op=scatter seconds=11.6097 eta_seconds=15.843 bootstraps=0
node=191/428 op=mul seconds=11.6852 eta_seconds=14.4995 bootstraps=0
node=201/428 op=add seconds=12.129 eta_seconds=13.6979 bootstraps=0
node=211/428 op=sum seconds=12.6624 eta_seconds=13.0225 bootstraps=0
node=221/428 op=gather seconds=13.2293 eta_seconds=12.3912 bootstraps=0
node=231/428 op=cheb seconds=15.5743 eta_seconds=13.282 bootstraps=0
node=241/428 op=mul seconds=16.0109 eta_seconds=12.4234 bootstraps=0
node=251/428 op=mulp seconds=16.5151 eta_seconds=11.6461 bootstraps=0
node=261/428 op=gather seconds=16.8989 eta_seconds=10.8127 bootstraps=0
node=271/428 op=scatter seconds=17.1037 eta_seconds=9.90877 bootstraps=0
node=281/428 op=mulp seconds=17.3417 eta_seconds=9.07201 bootstraps=0
node=291/428 op=scatter seconds=17.4959 eta_seconds=8.23692 bootstraps=0
node=301/428 op=repeat seconds=17.9135 eta_seconds=7.55817 bootstraps=0
node=311/428 op=repeat seconds=18.3328 eta_seconds=6.89692 bootstraps=0
node=321/428 op=mul seconds=18.7078 eta_seconds=6.23595 bootstraps=0
node=331/428 op=gather seconds=19.2102 eta_seconds=5.62958 bootstraps=0
node=341/428 op=repeat seconds=21.7625 eta_seconds=5.55232 bootstraps=0
node=351/428 op=cheb seconds=22.3424 eta_seconds=4.90133 bootstraps=0
node=361/428 op=mul seconds=22.6922 eta_seconds=4.21157 bootstraps=0
node=371/428 op=mulp seconds=22.9074 eta_seconds=3.51946 bootstraps=0
node=381/428 op=scatter seconds=23.0536 eta_seconds=2.84388 bootstraps=0
node=391/428 op=add seconds=23.2606 eta_seconds=2.20113 bootstraps=0
node=401/428 op=mul seconds=23.4137 eta_seconds=1.57648 bootstraps=0
node=411/428 op=repeat seconds=23.8776 eta_seconds=0.987638 bootstraps=0
node=421/428 op=repeat seconds=24.2891 eta_seconds=0.403857 bootstraps=0
node=428/428 op=linear seconds=24.6177 eta_seconds=0 bootstraps=0
passed=1 polynomial_error=5.08588e-12 exact_error=7.72271e-08 eval_seconds=24.6179
