GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.5209
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.195375 eta_seconds=1545.22 bootstraps=0
node=11/7910 op=public seconds=1.5431 eta_seconds=1108.08 bootstraps=0
node=21/7910 op=mul seconds=2.39026 eta_seconds=897.942 bootstraps=0
node=31/7910 op=gather seconds=4.21659 eta_seconds=1071.69 bootstraps=0
node=41/7910 op=mul seconds=5.2149 eta_seconds=1000.88 bootstraps=0
node=51/7910 op=repeat seconds=5.90107 eta_seconds=909.343 bootstraps=0
node=61/7910 op=mulp seconds=6.27412 eta_seconds=807.304 bootstraps=0
node=71/7910 op=add seconds=6.82824 eta_seconds=753.895 bootstraps=0
node=81/7910 op=add seconds=7.55876 eta_seconds=730.587 bootstraps=0
node=91/7910 op=scatter seconds=8.20143 eta_seconds=704.692 bootstraps=0
node=111/7910 op=mul seconds=10.7583 eta_seconds=755.891 bootstraps=2
node=121/7910 op=mul seconds=11.608 eta_seconds=747.226 bootstraps=2
node=131/7910 op=scatter seconds=14.493 eta_seconds=860.62 bootstraps=4
node=141/7910 op=gather seconds=18.0564 eta_seconds=994.896 bootstraps=8
node=161/7910 op=cheb seconds=20.246 eta_seconds=974.451 bootstraps=10
node=171/7910 op=sum seconds=20.4791 eta_seconds=926.827 bootstraps=10
node=181/7910 op=addp seconds=20.6246 eta_seconds=880.705 bootstraps=10
node=191/7910 op=scatter seconds=22.7662 eta_seconds=920.066 bootstraps=12
node=201/7910 op=mul seconds=24.0451 eta_seconds=922.208 bootstraps=12
node=211/7910 op=scatter seconds=24.6755 eta_seconds=900.363 bootstraps=12
node=221/7910 op=sum seconds=24.9961 eta_seconds=869.66 bootstraps=12
node=231/7910 op=scatter seconds=27.0407 eta_seconds=898.899 bootstraps=14
node=241/7910 op=gather seconds=29.2696 eta_seconds=931.404 bootstraps=16
node=251/7910 op=cheb seconds=32.8042 eta_seconds=1000.98 bootstraps=20
node=271/7910 op=repeat seconds=35.4776 eta_seconds=1000.05 bootstraps=22
node=281/7910 op=addp seconds=35.9021 eta_seconds=974.724 bootstraps=22
node=291/7910 op=repeat seconds=36.1775 eta_seconds=947.204 bootstraps=22
node=301/7910 op=mul seconds=36.489 eta_seconds=922.409 bootstraps=22
node=311/7910 op=scatter seconds=38.9097 eta_seconds=950.723 bootstraps=24
node=321/7910 op=mul seconds=39.7305 eta_seconds=939.298 bootstraps=24
node=341/7910 op=add seconds=40.9144 eta_seconds=908.157 bootstraps=24
node=351/7910 op=cheb seconds=43.2812 eta_seconds=932.086 bootstraps=26
node=361/7910 op=add seconds=45.7541 eta_seconds=956.781 bootstraps=28
node=371/7910 op=linear seconds=47.8073 eta_seconds=971.481 bootstraps=30
node=381/7910 op=cheb seconds=49.5536 eta_seconds=979.236 bootstraps=32
node=391/7910 op=add seconds=50.0164 eta_seconds=961.825 bootstraps=32
node=401/7910 op=mulp seconds=50.2963 eta_seconds=941.832 bootstraps=32
node=411/7910 op=addp seconds=50.443 eta_seconds=920.369 bootstraps=32
node=421/7910 op=mul seconds=50.7371 eta_seconds=902.542 bootstraps=32
node=431/7910 op=gather seconds=55.2991 eta_seconds=959.586 bootstraps=36
node=441/7910 op=add seconds=55.7013 eta_seconds=943.386 bootstraps=36
node=451/7910 op=mulp seconds=56.2489 eta_seconds=930.29 bootstraps=36
node=461/7910 op=add seconds=58.7319 eta_seconds=949.011 bootstraps=38
node=471/7910 op=linear seconds=60.775 eta_seconds=959.884 bootstraps=40
node=481/7910 op=mulp seconds=62.7958 eta_seconds=969.876 bootstraps=42
node=491/7910 op=gather seconds=64.8385 eta_seconds=979.709 bootstraps=44
node=501/7910 op=cheb seconds=66.7934 eta_seconds=987.769 bootstraps=46
node=511/7910 op=sum seconds=67.2498 eta_seconds=973.74 bootstraps=46
node=521/7910 op=addp seconds=67.4768 eta_seconds=956.979 bootstraps=46
node=531/7910 op=gather seconds=67.874 eta_seconds=943.206 bootstraps=46
node=541/7910 op=add seconds=69.9017 eta_seconds=952.136 bootstraps=48
node=551/7910 op=add seconds=71.0939 eta_seconds=949.509 bootstraps=48
node=561/7910 op=add seconds=72.0233 eta_seconds=943.492 bootstraps=48
node=571/7910 op=repeat seconds=72.2823 eta_seconds=929.036 bootstraps=48
node=581/7910 op=mulp seconds=74.5376 eta_seconds=940.252 bootstraps=50
node=591/7910 op=mul seconds=78.1345 eta_seconds=967.625 bootstraps=54
node=601/7910 op=mul seconds=80.1602 eta_seconds=974.86 bootstraps=56
node=611/7910 op=gather seconds=80.8609 eta_seconds=965.963 bootstraps=56
node=621/7910 op=mul seconds=83.0502 eta_seconds=974.803 bootstraps=58
node=631/7910 op=repeat seconds=83.3263 eta_seconds=961.224 bootstraps=58
node=641/7910 op=mulp seconds=83.4975 eta_seconds=946.87 bootstraps=58
node=651/7910 op=add seconds=83.8017 eta_seconds=934.434 bootstraps=58
node=661/7910 op=add seconds=87.7479 eta_seconds=962.307 bootstraps=62
node=671/7910 op=scatter seconds=88.5593 eta_seconds=955.411 bootstraps=62
node=691/7910 op=mul seconds=89.6722 eta_seconds=936.821 bootstraps=62
node=701/7910 op=mul seconds=91.9444 eta_seconds=945.545 bootstraps=64
node=711/7910 op=scatter seconds=94.4208 eta_seconds=956.027 bootstraps=66
node=721/7910 op=gather seconds=96.6427 eta_seconds=963.612 bootstraps=68
node=741/7910 op=cheb seconds=99.033 eta_seconds=958.121 bootstraps=70
node=751/7910 op=sum seconds=99.2341 eta_seconds=945.961 bootstraps=70
node=761/7910 op=addp seconds=99.3617 eta_seconds=933.425 bootstraps=70
