GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.8094
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.192338 eta_seconds=1521.2 bootstraps=0
node=11/7910 op=public seconds=1.5449 eta_seconds=1109.38 bootstraps=0
node=21/7910 op=mul seconds=2.39097 eta_seconds=898.208 bootstraps=0
node=31/7910 op=gather seconds=4.12194 eta_seconds=1047.64 bootstraps=0
node=41/7910 op=mul seconds=5.10536 eta_seconds=979.857 bootstraps=0
node=51/7910 op=repeat seconds=5.78554 eta_seconds=891.54 bootstraps=0
node=61/7910 op=mulp seconds=6.15428 eta_seconds=791.884 bootstraps=0
node=71/7910 op=add seconds=6.60653 eta_seconds=729.417 bootstraps=0
node=81/7910 op=add seconds=7.26533 eta_seconds=702.226 bootstraps=0
node=91/7910 op=scatter seconds=7.77853 eta_seconds=668.355 bootstraps=0
node=111/7910 op=mul seconds=10.2698 eta_seconds=721.567 bootstraps=2
node=121/7910 op=mul seconds=11.0827 eta_seconds=713.417 bootstraps=2
node=131/7910 op=scatter seconds=13.8903 eta_seconds=824.829 bootstraps=4
node=141/7910 op=gather seconds=17.4134 eta_seconds=959.466 bootstraps=8
node=161/7910 op=cheb seconds=19.5876 eta_seconds=942.761 bootstraps=10
node=171/7910 op=sum seconds=19.8165 eta_seconds=896.839 bootstraps=10
node=181/7910 op=addp seconds=19.9581 eta_seconds=852.246 bootstraps=10
node=191/7910 op=scatter seconds=21.9265 eta_seconds=886.13 bootstraps=12
node=201/7910 op=mul seconds=23.0172 eta_seconds=882.785 bootstraps=12
node=211/7910 op=scatter seconds=23.5723 eta_seconds=860.11 bootstraps=12
node=221/7910 op=sum seconds=23.8798 eta_seconds=830.821 bootstraps=12
node=231/7910 op=scatter seconds=25.8967 eta_seconds=860.868 bootstraps=14
node=241/7910 op=gather seconds=28.0972 eta_seconds=894.098 bootstraps=16
node=251/7910 op=cheb seconds=31.5927 eta_seconds=964.019 bootstraps=20
node=271/7910 op=repeat seconds=34.2171 eta_seconds=964.519 bootstraps=22
node=281/7910 op=addp seconds=34.6288 eta_seconds=940.153 bootstraps=22
node=291/7910 op=repeat seconds=34.8981 eta_seconds=913.707 bootstraps=22
node=301/7910 op=mul seconds=35.1594 eta_seconds=888.798 bootstraps=22
node=311/7910 op=scatter seconds=37.4389 eta_seconds=914.785 bootstraps=24
node=321/7910 op=mul seconds=38.1204 eta_seconds=901.233 bootstraps=24
node=341/7910 op=add seconds=39.193 eta_seconds=869.946 bootstraps=24
node=351/7910 op=cheb seconds=41.5113 eta_seconds=893.971 bootstraps=26
node=361/7910 op=add seconds=43.9365 eta_seconds=918.771 bootstraps=28
node=371/7910 op=linear seconds=45.9561 eta_seconds=933.864 bootstraps=30
node=381/7910 op=cheb seconds=47.6855 eta_seconds=942.32 bootstraps=32
node=391/7910 op=add seconds=48.133 eta_seconds=925.607 bootstraps=32
node=401/7910 op=mulp seconds=48.4103 eta_seconds=906.516 bootstraps=32
node=411/7910 op=addp seconds=48.554 eta_seconds=885.904 bootstraps=32
node=421/7910 op=mul seconds=48.7978 eta_seconds=868.044 bootstraps=32
node=431/7910 op=gather seconds=53.0853 eta_seconds=921.172 bootstraps=36
node=441/7910 op=add seconds=53.4125 eta_seconds=904.622 bootstraps=36
node=451/7910 op=mulp seconds=53.9314 eta_seconds=891.96 bootstraps=36
node=461/7910 op=add seconds=56.3606 eta_seconds=910.694 bootstraps=38
node=471/7910 op=linear seconds=58.3786 eta_seconds=922.035 bootstraps=40
node=481/7910 op=mulp seconds=60.3757 eta_seconds=932.497 bootstraps=42
node=491/7910 op=gather seconds=62.396 eta_seconds=942.803 bootstraps=44
node=501/7910 op=cheb seconds=64.3344 eta_seconds=951.405 bootstraps=46
node=511/7910 op=sum seconds=64.7781 eta_seconds=937.951 bootstraps=46
node=521/7910 op=addp seconds=65.0002 eta_seconds=921.855 bootstraps=46
node=531/7910 op=gather seconds=65.3494 eta_seconds=908.123 bootstraps=46
node=541/7910 op=add seconds=67.2689 eta_seconds=916.275 bootstraps=48
node=551/7910 op=add seconds=68.2982 eta_seconds=912.172 bootstraps=48
node=561/7910 op=add seconds=69.1256 eta_seconds=905.533 bootstraps=48
node=571/7910 op=repeat seconds=69.3746 eta_seconds=891.663 bootstraps=48
node=581/7910 op=mulp seconds=71.5885 eta_seconds=903.05 bootstraps=50
node=591/7910 op=mul seconds=75.1497 eta_seconds=930.66 bootstraps=54
node=601/7910 op=mul seconds=77.1454 eta_seconds=938.196 bootstraps=56
node=611/7910 op=gather seconds=77.8146 eta_seconds=929.572 bootstraps=56
node=621/7910 op=mul seconds=79.9683 eta_seconds=938.63 bootstraps=58
node=631/7910 op=repeat seconds=80.2436 eta_seconds=925.662 bootstraps=58
node=641/7910 op=mulp seconds=80.413 eta_seconds=911.891 bootstraps=58
node=651/7910 op=add seconds=80.6667 eta_seconds=899.478 bootstraps=58
node=661/7910 op=add seconds=84.4617 eta_seconds=926.268 bootstraps=62
node=671/7910 op=scatter seconds=85.1061 eta_seconds=918.156 bootstraps=62
node=691/7910 op=mul seconds=86.1511 eta_seconds=900.036 bootstraps=62
node=701/7910 op=mul seconds=88.3732 eta_seconds=908.819 bootstraps=64
