GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.3055
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.203588 eta_seconds=1610.18 bootstraps=0
node=11/7910 op=public seconds=1.54848 eta_seconds=1111.95 bootstraps=0
node=21/7910 op=mul seconds=2.39798 eta_seconds=900.84 bootstraps=0
node=31/7910 op=gather seconds=4.20885 eta_seconds=1069.73 bootstraps=0
node=41/7910 op=mul seconds=5.20797 eta_seconds=999.549 bootstraps=0
node=51/7910 op=repeat seconds=5.89324 eta_seconds=908.136 bootstraps=0
node=61/7910 op=mulp seconds=6.27007 eta_seconds=806.783 bootstraps=0
node=71/7910 op=add seconds=6.8203 eta_seconds=753.019 bootstraps=0
node=81/7910 op=add seconds=7.54807 eta_seconds=729.554 bootstraps=0
node=91/7910 op=scatter seconds=8.18431 eta_seconds=703.221 bootstraps=0
node=111/7910 op=mul seconds=10.7328 eta_seconds=754.099 bootstraps=2
node=121/7910 op=mul seconds=11.5717 eta_seconds=744.891 bootstraps=2
node=131/7910 op=scatter seconds=14.4362 eta_seconds=857.248 bootstraps=4
node=141/7910 op=gather seconds=17.9787 eta_seconds=990.613 bootstraps=8
node=161/7910 op=cheb seconds=20.1593 eta_seconds=970.277 bootstraps=10
node=171/7910 op=sum seconds=20.3928 eta_seconds=922.921 bootstraps=10
node=181/7910 op=addp seconds=20.5372 eta_seconds=876.974 bootstraps=10
node=191/7910 op=scatter seconds=22.669 eta_seconds=916.136 bootstraps=12
node=201/7910 op=mul seconds=23.9365 eta_seconds=918.04 bootstraps=12
node=211/7910 op=scatter seconds=24.5599 eta_seconds=896.145 bootstraps=12
node=221/7910 op=sum seconds=24.8782 eta_seconds=865.557 bootstraps=12
node=231/7910 op=scatter seconds=26.918 eta_seconds=894.819 bootstraps=14
node=241/7910 op=gather seconds=29.1281 eta_seconds=926.901 bootstraps=16
node=251/7910 op=cheb seconds=32.6503 eta_seconds=996.29 bootstraps=20
node=271/7910 op=repeat seconds=35.3025 eta_seconds=995.113 bootstraps=22
node=281/7910 op=addp seconds=35.7273 eta_seconds=969.977 bootstraps=22
node=291/7910 op=repeat seconds=36.0022 eta_seconds=942.614 bootstraps=22
node=301/7910 op=mul seconds=36.3109 eta_seconds=917.905 bootstraps=22
node=311/7910 op=scatter seconds=38.7211 eta_seconds=946.114 bootstraps=24
node=321/7910 op=mul seconds=39.5375 eta_seconds=934.735 bootstraps=24
node=341/7910 op=add seconds=40.7168 eta_seconds=903.769 bootstraps=24
node=351/7910 op=cheb seconds=43.0649 eta_seconds=927.429 bootstraps=26
node=361/7910 op=add seconds=45.5152 eta_seconds=951.784 bootstraps=28
node=371/7910 op=linear seconds=47.5509 eta_seconds=966.27 bootstraps=30
node=381/7910 op=cheb seconds=49.284 eta_seconds=973.908 bootstraps=32
node=391/7910 op=add seconds=49.746 eta_seconds=956.625 bootstraps=32
node=401/7910 op=mulp seconds=50.0256 eta_seconds=936.764 bootstraps=32
node=411/7910 op=addp seconds=50.1722 eta_seconds=915.428 bootstraps=32
