GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=27.2607
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.15999 eta_seconds=1265.36 bootstraps=0
node=11/7910 op=public seconds=1.55342 eta_seconds=1115.5 bootstraps=0
node=21/7910 op=mul seconds=2.54182 eta_seconds=954.877 bootstraps=0
node=31/7910 op=gather seconds=5.61699 eta_seconds=1427.62 bootstraps=0
node=41/7910 op=mul seconds=7.01459 eta_seconds=1346.29 bootstraps=0
node=51/7910 op=repeat seconds=7.87953 eta_seconds=1214.22 bootstraps=0
node=61/7910 op=mulp seconds=8.36211 eta_seconds=1075.97 bootstraps=0
node=71/7910 op=add seconds=9.25175 eta_seconds=1021.47 bootstraps=0
node=81/7910 op=add seconds=10.5303 eta_seconds=1017.8 bootstraps=0
node=91/7910 op=scatter seconds=11.5888 eta_seconds=995.744 bootstraps=0
node=111/7910 op=mul seconds=15.0231 eta_seconds=1055.54 bootstraps=2
node=121/7910 op=mul seconds=16.4128 eta_seconds=1056.52 bootstraps=2
node=131/7910 op=scatter seconds=20.4669 eta_seconds=1215.36 bootstraps=4
node=141/7910 op=gather seconds=24.5578 eta_seconds=1353.12 bootstraps=8
node=161/7910 op=cheb seconds=27.113 eta_seconds=1304.96 bootstraps=10
node=171/7910 op=sum seconds=27.4127 eta_seconds=1240.63 bootstraps=10
node=181/7910 op=addp seconds=27.627 eta_seconds=1179.72 bootstraps=10
node=191/7910 op=scatter seconds=30.2648 eta_seconds=1223.11 bootstraps=12
node=201/7910 op=mul seconds=32.4243 eta_seconds=1243.58 bootstraps=12
node=211/7910 op=scatter seconds=33.5104 eta_seconds=1222.73 bootstraps=12
node=221/7910 op=sum seconds=34.0949 eta_seconds=1186.22 bootstraps=12
node=231/7910 op=scatter seconds=36.6542 eta_seconds=1218.47 bootstraps=14
node=241/7910 op=gather seconds=39.4143 eta_seconds=1254.22 bootstraps=16
node=251/7910 op=cheb seconds=43.4647 eta_seconds=1326.28 bootstraps=20
