GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.6053
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.188184 eta_seconds=1488.35 bootstraps=0
node=11/7910 op=public seconds=1.52891 eta_seconds=1097.9 bootstraps=0
node=21/7910 op=mul seconds=2.46508 eta_seconds=926.049 bootstraps=0
node=31/7910 op=gather seconds=5.34092 eta_seconds=1357.45 bootstraps=0
node=41/7910 op=mul seconds=6.65074 eta_seconds=1276.45 bootstraps=0
node=51/7910 op=repeat seconds=7.45622 eta_seconds=1148.99 bootstraps=0
node=61/7910 op=mulp seconds=7.90013 eta_seconds=1016.53 bootstraps=0
node=71/7910 op=add seconds=8.7256 eta_seconds=963.38 bootstraps=0
node=81/7910 op=add seconds=9.87651 eta_seconds=954.608 bootstraps=0
node=91/7910 op=scatter seconds=10.8477 eta_seconds=932.071 bootstraps=0
node=111/7910 op=mul seconds=14.0844 eta_seconds=989.589 bootstraps=2
node=121/7910 op=mul seconds=15.3477 eta_seconds=987.959 bootstraps=2
node=131/7910 op=scatter seconds=19.1369 eta_seconds=1136.38 bootstraps=4
node=141/7910 op=gather seconds=23.1408 eta_seconds=1275.04 bootstraps=8
node=161/7910 op=cheb seconds=25.6158 eta_seconds=1232.9 bootstraps=10
node=171/7910 op=sum seconds=25.896 eta_seconds=1171.98 bootstraps=10
node=181/7910 op=addp seconds=26.092 eta_seconds=1114.17 bootstraps=10
node=191/7910 op=scatter seconds=28.6384 eta_seconds=1157.38 bootstraps=12
node=201/7910 op=mul seconds=30.6269 eta_seconds=1174.64 bootstraps=12
node=211/7910 op=scatter seconds=31.6167 eta_seconds=1153.64 bootstraps=12
node=221/7910 op=sum seconds=32.1545 eta_seconds=1118.71 bootstraps=12
node=231/7910 op=scatter seconds=34.5949 eta_seconds=1150.02 bootstraps=14
node=241/7910 op=gather seconds=37.2717 eta_seconds=1186.04 bootstraps=16
node=251/7910 op=cheb seconds=41.1923 eta_seconds=1256.94 bootstraps=20
node=271/7910 op=repeat seconds=44.4552 eta_seconds=1253.11 bootstraps=22
node=281/7910 op=addp seconds=45.1155 eta_seconds=1224.86 bootstraps=22
node=291/7910 op=repeat seconds=45.459 eta_seconds=1190.21 bootstraps=22
node=301/7910 op=mul seconds=45.9306 eta_seconds=1161.08 bootstraps=22
node=311/7910 op=scatter seconds=48.9173 eta_seconds=1195.25 bootstraps=24
node=321/7910 op=mul seconds=50.1646 eta_seconds=1185.98 bootstraps=24
node=341/7910 op=add seconds=52.0752 eta_seconds=1155.89 bootstraps=24
node=351/7910 op=cheb seconds=54.9485 eta_seconds=1183.35 bootstraps=26
node=361/7910 op=add seconds=58.0504 eta_seconds=1213.91 bootstraps=28
node=371/7910 op=linear seconds=60.4631 eta_seconds=1228.66 bootstraps=30
node=381/7910 op=cheb seconds=62.3529 eta_seconds=1232.17 bootstraps=32
node=391/7910 op=add seconds=63.0015 eta_seconds=1211.53 bootstraps=32
node=401/7910 op=mulp seconds=63.3593 eta_seconds=1186.45 bootstraps=32
node=411/7910 op=addp seconds=63.5589 eta_seconds=1159.68 bootstraps=32
node=421/7910 op=mul seconds=64.0063 eta_seconds=1138.58 bootstraps=32
node=431/7910 op=gather seconds=69.5822 eta_seconds=1207.44 bootstraps=36
node=441/7910 op=add seconds=70.1843 eta_seconds=1188.68 bootstraps=36
node=451/7910 op=mulp seconds=71.0659 eta_seconds=1175.35 bootstraps=36
node=461/7910 op=add seconds=74.2215 eta_seconds=1199.3 bootstraps=38
node=471/7910 op=linear seconds=76.6374 eta_seconds=1210.41 bootstraps=40
node=481/7910 op=mulp seconds=79.0046 eta_seconds=1220.22 bootstraps=42
node=491/7910 op=gather seconds=81.4228 eta_seconds=1230.3 bootstraps=44
node=501/7910 op=cheb seconds=83.5271 eta_seconds=1235.23 bootstraps=46
node=511/7910 op=sum seconds=84.1625 eta_seconds=1218.63 bootstraps=46
node=521/7910 op=addp seconds=84.4452 eta_seconds=1197.63 bootstraps=46
node=531/7910 op=gather seconds=85.0113 eta_seconds=1181.35 bootstraps=46
node=541/7910 op=add seconds=87.3721 eta_seconds=1190.1 bootstraps=48
node=551/7910 op=add seconds=89.2192 eta_seconds=1191.59 bootstraps=48
node=561/7910 op=add seconds=90.6943 eta_seconds=1188.08 bootstraps=48
node=571/7910 op=repeat seconds=91.1543 eta_seconds=1171.6 bootstraps=48
node=581/7910 op=mulp seconds=93.8976 eta_seconds=1184.47 bootstraps=50
node=591/7910 op=mul seconds=97.9263 eta_seconds=1212.73 bootstraps=54
node=601/7910 op=mul seconds=100.287 eta_seconds=1219.63 bootstraps=56
node=611/7910 op=gather seconds=101.411 eta_seconds=1211.45 bootstraps=56
node=621/7910 op=mul seconds=103.934 eta_seconds=1219.92 bootstraps=58
node=631/7910 op=repeat seconds=104.289 eta_seconds=1203.04 bootstraps=58
node=641/7910 op=mulp seconds=104.508 eta_seconds=1185.13 bootstraps=58
node=651/7910 op=add seconds=104.971 eta_seconds=1170.48 bootstraps=58
node=661/7910 op=add seconds=109.644 eta_seconds=1202.44 bootstraps=62
node=671/7910 op=scatter seconds=110.862 eta_seconds=1196.02 bootstraps=62
node=691/7910 op=mul seconds=112.635 eta_seconds=1176.72 bootstraps=62
node=701/7910 op=mul seconds=115.386 eta_seconds=1186.62 bootstraps=64
node=711/7910 op=scatter seconds=118.486 eta_seconds=1199.69 bootstraps=66
node=721/7910 op=gather seconds=121.185 eta_seconds=1208.32 bootstraps=68
node=741/7910 op=cheb seconds=123.975 eta_seconds=1199.43 bootstraps=70
node=751/7910 op=sum seconds=124.227 eta_seconds=1184.2 bootstraps=70
node=761/7910 op=addp seconds=124.408 eta_seconds=1168.71 bootstraps=70
node=771/7910 op=scatter seconds=126.814 eta_seconds=1174.22 bootstraps=72
node=781/7910 op=mul seconds=129.041 eta_seconds=1177.89 bootstraps=72
node=791/7910 op=scatter seconds=130.176 eta_seconds=1171.59 bootstraps=72
node=801/7910 op=sum seconds=130.758 eta_seconds=1160.49 bootstraps=72
node=811/7910 op=scatter seconds=133.677 eta_seconds=1170.13 bootstraps=74
