GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.618
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.195782 eta_seconds=1548.44 bootstraps=0
node=11/7910 op=public seconds=1.54497 eta_seconds=1109.43 bootstraps=0
node=21/7910 op=mul seconds=2.40198 eta_seconds=902.343 bootstraps=0
node=31/7910 op=gather seconds=4.56778 eta_seconds=1160.95 bootstraps=0
node=41/7910 op=mul seconds=5.65797 eta_seconds=1085.92 bootstraps=0
node=51/7910 op=repeat seconds=6.35864 eta_seconds=979.854 bootstraps=0
node=61/7910 op=mulp seconds=6.73772 eta_seconds=866.956 bootstraps=0
node=71/7910 op=add seconds=7.35212 eta_seconds=811.736 bootstraps=0
node=81/7910 op=add seconds=8.17534 eta_seconds=790.182 bootstraps=0
node=91/7910 op=scatter seconds=8.89729 eta_seconds=764.482 bootstraps=0
node=111/7910 op=mul seconds=11.6707 eta_seconds=819.996 bootstraps=2
node=121/7910 op=mul seconds=12.6305 eta_seconds=813.049 bootstraps=2
node=131/7910 op=scatter seconds=15.7714 eta_seconds=936.53 bootstraps=4
node=141/7910 op=gather seconds=19.4374 eta_seconds=1070.99 bootstraps=8
node=161/7910 op=cheb seconds=21.68 eta_seconds=1043.47 bootstraps=10
node=171/7910 op=sum seconds=21.9189 eta_seconds=991.99 bootstraps=10
node=181/7910 op=addp seconds=22.071 eta_seconds=942.47 bootstraps=10
node=191/7910 op=scatter seconds=24.3079 eta_seconds=982.372 bootstraps=12
node=201/7910 op=mul seconds=25.7415 eta_seconds=987.269 bootstraps=12
node=211/7910 op=scatter seconds=26.448 eta_seconds=965.04 bootstraps=12
node=221/7910 op=sum seconds=26.8355 eta_seconds=933.656 bootstraps=12
node=231/7910 op=scatter seconds=28.9877 eta_seconds=963.62 bootstraps=14
node=241/7910 op=gather seconds=31.3276 eta_seconds=996.893 bootstraps=16
node=251/7910 op=cheb seconds=34.9415 eta_seconds=1066.2 bootstraps=20
node=271/7910 op=repeat seconds=37.7555 eta_seconds=1064.26 bootstraps=22
node=281/7910 op=addp seconds=38.2627 eta_seconds=1038.81 bootstraps=22
node=291/7910 op=repeat seconds=38.5424 eta_seconds=1009.12 bootstraps=22
node=301/7910 op=mul seconds=38.8861 eta_seconds=983.005 bootstraps=22
node=311/7910 op=scatter seconds=41.4299 eta_seconds=1012.3 bootstraps=24
node=321/7910 op=mul seconds=42.3502 eta_seconds=1001.23 bootstraps=24
node=341/7910 op=add seconds=43.7429 eta_seconds=970.939 bootstraps=24
node=351/7910 op=cheb seconds=46.2357 eta_seconds=995.715 bootstraps=26
node=361/7910 op=add seconds=48.8593 eta_seconds=1021.71 bootstraps=28
node=371/7910 op=linear seconds=51.0037 eta_seconds=1036.43 bootstraps=30
node=381/7910 op=cheb seconds=52.7656 eta_seconds=1042.71 bootstraps=32
node=391/7910 op=add seconds=53.2905 eta_seconds=1024.79 bootstraps=32
node=401/7910 op=mulp seconds=53.5765 eta_seconds=1003.26 bootstraps=32
node=411/7910 op=addp seconds=53.7288 eta_seconds=980.322 bootstraps=32
node=421/7910 op=mul seconds=54.0552 eta_seconds=961.567 bootstraps=32
node=431/7910 op=gather seconds=58.8476 eta_seconds=1021.16 bootstraps=36
node=441/7910 op=add seconds=59.3016 eta_seconds=1004.36 bootstraps=36
node=451/7910 op=mulp seconds=59.9158 eta_seconds=990.936 bootstraps=36
node=461/7910 op=add seconds=62.6174 eta_seconds=1011.79 bootstraps=38
node=471/7910 op=linear seconds=64.7558 eta_seconds=1022.76 bootstraps=40
node=481/7910 op=mulp seconds=66.8547 eta_seconds=1032.57 bootstraps=42
node=491/7910 op=gather seconds=68.9922 eta_seconds=1042.47 bootstraps=44
node=501/7910 op=cheb seconds=70.971 eta_seconds=1049.55 bootstraps=46
node=511/7910 op=sum seconds=71.48 eta_seconds=1034.99 bootstraps=46
node=521/7910 op=addp seconds=71.7126 eta_seconds=1017.05 bootstraps=46
node=531/7910 op=gather seconds=72.1427 eta_seconds=1002.53 bootstraps=46
node=541/7910 op=add seconds=74.2506 eta_seconds=1011.37 bootstraps=48
node=551/7910 op=add seconds=75.5806 eta_seconds=1009.43 bootstraps=48
node=561/7910 op=add seconds=76.6261 eta_seconds=1003.79 bootstraps=48
node=571/7910 op=repeat seconds=76.9812 eta_seconds=989.43 bootstraps=48
node=581/7910 op=mulp seconds=79.362 eta_seconds=1001.11 bootstraps=50
node=591/7910 op=mul seconds=83.0466 eta_seconds=1028.46 bootstraps=54
node=601/7910 op=mul seconds=85.1512 eta_seconds=1035.56 bootstraps=56
node=611/7910 op=gather seconds=85.968 eta_seconds=1026.97 bootstraps=56
node=621/7910 op=mul seconds=88.2466 eta_seconds=1035.8 bootstraps=58
node=631/7910 op=repeat seconds=88.5324 eta_seconds=1021.28 bootstraps=58
node=641/7910 op=mulp seconds=88.7089 eta_seconds=1005.97 bootstraps=58
node=651/7910 op=add seconds=89.0461 eta_seconds=992.911 bootstraps=58
node=661/7910 op=add seconds=93.1701 eta_seconds=1021.77 bootstraps=62
node=671/7910 op=scatter seconds=94.0825 eta_seconds=1015 bootstraps=62
node=691/7910 op=mul seconds=95.3889 eta_seconds=996.545 bootstraps=62
node=701/7910 op=mul seconds=97.7766 eta_seconds=1005.52 bootstraps=64
node=711/7910 op=scatter seconds=100.405 eta_seconds=1016.62 bootstraps=66
node=721/7910 op=gather seconds=102.74 eta_seconds=1024.41 bootstraps=68
node=741/7910 op=cheb seconds=105.235 eta_seconds=1018.12 bootstraps=70
node=751/7910 op=sum seconds=105.442 eta_seconds=1005.13 bootstraps=70
