GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.4832
planned_logical_refreshes=94
node=1/1414 op=public seconds=0.155458 eta_seconds=219.662 bootstraps=0
node=11/1414 op=public seconds=1.6271 eta_seconds=207.53 bootstraps=0
node=21/1414 op=mul seconds=2.65318 eta_seconds=175.994 bootstraps=0
node=31/1414 op=gather seconds=5.73827 eta_seconds=256.001 bootstraps=0
node=41/1414 op=mul seconds=7.0839 eta_seconds=237.224 bootstraps=0
node=51/1414 op=repeat seconds=7.90602 eta_seconds=211.292 bootstraps=0
node=61/1414 op=mulp seconds=8.36215 eta_seconds=185.475 bootstraps=0
node=71/1414 op=add seconds=9.22085 eta_seconds=174.417 bootstraps=0
node=81/1414 op=add seconds=10.4252 eta_seconds=171.565 bootstraps=0
node=91/1414 op=scatter seconds=11.437 eta_seconds=166.277 bootstraps=0
node=111/1414 op=mul seconds=14.6681 eta_seconds=172.185 bootstraps=2
node=121/1414 op=mul seconds=15.9749 eta_seconds=170.707 bootstraps=2
node=131/1414 op=scatter seconds=19.862 eta_seconds=194.527 bootstraps=4
node=141/1414 op=gather seconds=23.9191 eta_seconds=215.951 bootstraps=8
node=161/1414 op=cheb seconds=26.3676 eta_seconds=205.208 bootstraps=10
node=171/1414 op=sum seconds=26.6621 eta_seconds=193.807 bootstraps=10
node=181/1414 op=addp seconds=26.8959 eta_seconds=183.219 bootstraps=10
node=191/1414 op=scatter seconds=29.7674 eta_seconds=190.605 bootstraps=12
node=201/1414 op=mul seconds=32.2788 eta_seconds=194.797 bootstraps=12
node=211/1414 op=scatter seconds=33.5738 eta_seconds=191.419 bootstraps=12
node=221/1414 op=sum seconds=34.2343 eta_seconds=184.803 bootstraps=12
node=231/1414 op=scatter seconds=36.8387 eta_seconds=188.659 bootstraps=14
node=241/1414 op=gather seconds=39.8178 eta_seconds=193.802 bootstraps=16
node=251/1414 op=cheb seconds=43.9901 eta_seconds=203.827 bootstraps=20
node=271/1414 op=repeat seconds=47.6541 eta_seconds=200.991 bootstraps=22
node=281/1414 op=addp seconds=48.456 eta_seconds=195.376 bootstraps=22
node=291/1414 op=repeat seconds=48.8466 eta_seconds=188.504 bootstraps=22
node=301/1414 op=mul seconds=49.453 eta_seconds=182.861 bootstraps=22
node=311/1414 op=scatter seconds=52.8816 eta_seconds=187.551 bootstraps=24
node=321/1414 op=mul seconds=54.4262 eta_seconds=185.321 bootstraps=24
node=341/1414 op=add seconds=56.8377 eta_seconds=178.847 bootstraps=24
node=351/1414 op=cheb seconds=60.0772 eta_seconds=181.943 bootstraps=26
node=361/1414 op=add seconds=63.6841 eta_seconds=185.76 bootstraps=28
node=371/1414 op=linear seconds=66.4164 eta_seconds=186.718 bootstraps=30
node=381/1414 op=cheb seconds=68.416 eta_seconds=185.495 bootstraps=32
node=391/1414 op=add seconds=69.1818 eta_seconds=181.005 bootstraps=32
node=401/1414 op=mulp seconds=69.6057 eta_seconds=175.837 bootstraps=32
node=411/1414 op=addp seconds=69.8468 eta_seconds=170.453 bootstraps=32
node=421/1414 op=mul seconds=70.4415 eta_seconds=166.148 bootstraps=32
node=431/1414 op=gather seconds=75.4778 eta_seconds=172.145 bootstraps=34
