Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.3,10112150480,18208,555368.5,113912.0,992,33501824,1690475.6,cudaDeviceSynchronize
4.6,527688336,70409,7494.6,5648.0,400,323808,6662.2,cudaLaunchKernel
3.3,380183488,26362,14421.6,16960.0,1808,152832,8769.9,cudaMemcpyAsync
1.8,209032912,6134,34077.7,4944.0,288,36867776,932262.9,cudaMallocAsync_v11020
0.8,90616000,103864,872.4,496.0,160,76832,1245.3,cudaStreamWaitEvent
0.6,71845168,74138,969.1,432.0,176,50240,1705.2,cudaEventRecordWithFlags_v11010
0.2,22773792,1796,12680.3,7544.0,2592,110976,12204.4,cudaGraphLaunch_v10000
0.1,12252544,67,182873.8,106464.0,47744,862720,186054.4,cudaGraphInstantiateWithFlags_v11040
0.1,11414560,70409,162.1,32.0,0,37760,485.5,cuKernelGetName
0.1,9088816,6093,1491.7,464.0,384,41696,2808.1,cudaFreeAsync_v11020
0.1,6703728,1920,3491.5,2896.0,2144,36720,2125.1,cudaMemsetAsync
0.0,1431376,1796,797.0,192.0,128,41600,2126.1,cudaEventDestroy
0.0,1262512,1942,650.1,336.0,160,15616,834.9,cudaEventCreateWithFlags
0.0,770112,67,11494.2,11920.0,1264,55088,9682.2,cudaStreamBeginCapture_v10000
0.0,677616,1,677616.0,677616.0,677616,677616,0.0,cudaMalloc
0.0,122896,67,1834.3,1904.0,544,7968,956.7,cudaStreamEndCapture_v10000
0.0,44240,25,1769.6,896.0,592,9728,2046.1,cuLibraryGetKernel
0.0,34128,59,578.4,560.0,192,2144,372.6,cudaEventRecord
0.0,4928,1,4928.0,4928.0,4928,4928,0.0,cuProfilerStart
