Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.2,1561017152,15832,98598.9,89184.0,6880,358336,46888.2,"FIDESlib::CKKS::copy_(void **, void **)"
16.8,1520512352,1231,1235184.7,636992.0,237280,19239264,2788804.3,"FIDESlib::CKKS::hoistedRotateDotKSK_2_(void ***, void **, void ***, void ***, void ***, void ***, int, const int *, void ***, int, int, int, int, void **, bool)"
14.6,1318515712,6822,193274.1,192960.0,8160,572128,112752.9,"void FIDESlib::NTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)1>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
9.6,870998080,5510,158075.9,163344.0,5408,368192,71638.1,"FIDESlib::add_(void **, void **, int)"
7.1,647198496,6822,94869.3,88784.0,13280,379904,42021.6,"void FIDESlib::NTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)1>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
4.9,443168544,128,3462254.3,2469536.0,1197920,7291232,1863909.9,"FIDESlib::CKKS::dotProductLtBatchedPt2___(void ***, void ***, void ***, void ***, void ***, int, int, int, int)"
3.9,355134432,2406,147603.7,116992.0,29440,537760,93958.1,"void FIDESlib::NTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)3>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
3.4,308456992,3276,94156.6,94896.0,3552,288384,59711.8,"void FIDESlib::CKKS::Scalar_mult_<(FIDESlib::ALGO)4>(void **, const unsigned long *, int, const unsigned long *)"
3.3,302598752,8388,36075.2,16736.0,5024,188320,32393.5,"void FIDESlib::INTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, void **, void **, void **, void **, void **, void **)"
3.3,299754336,8388,35736.1,15792.0,8096,193536,30021.9,"void FIDESlib::INTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, void **, void **, void **, void **, void **, void **)"
3.1,279334208,2406,116099.0,103472.0,41952,521760,57820.4,"void FIDESlib::CKKS::ModDown2<(FIDESlib::ALGO)3>(void **, int, void **, int, const FIDESlib::Global::Globals *)"
3.0,273824960,2406,113809.2,86688.0,26880,522080,73478.1,"void FIDESlib::NTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)3>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
2.9,265487904,480,553099.8,543728.0,455776,747872,46332.6,"FIDESlib::CKKS::eval_linear_w_sum_(int, void **, void ***, unsigned long *, int)"
1.9,170952768,1744,98023.4,84160.0,16992,358528,59784.0,"FIDESlib::CKKS::Mult_(void **, void **, void **, int)"
1.9,169057792,373,453238.0,538112.0,50176,680320,156969.4,"FIDESlib::CKKS::binomialMult_(int, void **, void **, void **, void **, void **)"
0.9,80936736,562,144015.5,148656.0,15968,367744,43097.5,"FIDESlib::scalar_add_(void **, unsigned long *, int)"
0.8,72817184,192,379256.2,389136.0,286848,499488,54400.6,"FIDESlib::CKKS::binomialSquare_(int, void **, void **, void **)"
0.8,68681248,300,228937.5,254352.0,12512,404736,76695.6,"FIDESlib::sub_(void **, void **, int)"
0.3,22817536,128,178262.0,197408.0,109728,284000,51094.3,"FIDESlib::CKKS::scaleByP_(void **, int)"
0.1,7364992,856,8604.0,8096.0,5696,31520,2275.3,"void FIDESlib::INTT_<unsigned long, (bool)0, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, T1 *, int, T1 *, const T1 *, T1 *, T1 *, const T1 *, const T1 *, T1 *, const T1 *)"
0.1,7067648,856,8256.6,7872.0,7232,42304,2661.1,"void FIDESlib::INTT_<unsigned long, (bool)1, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, T1 *, int, T1 *, const T1 *, T1 *, T1 *, const T1 *, const T1 *, T1 *, const T1 *)"
0.1,4868000,18,270444.4,282896.0,160768,296576,33038.7,"void FIDESlib::NTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
0.1,4603040,18,255724.4,258496.0,88288,297920,45511.9,"void FIDESlib::NTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
0.0,2048800,16,128050.0,121360.0,98944,153376,16339.9,FIDESlib::CKKS::broadcastLimb0_(void **)
