Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.4,10411599856,20519,507412.6,3440.0,992,34786416,1600970.3,cudaDeviceSynchronize
4.7,555378464,75031,7402.0,5696.0,368,149184,6180.0,cudaLaunchKernel
3.1,369750080,26418,13996.1,16448.0,1824,150160,8625.7,cudaMemcpyAsync
1.7,200587824,6134,32701.0,5152.0,256,36733088,929516.3,cudaMallocAsync_v11020
0.8,94250496,112978,834.2,480.0,144,287680,1350.5,cudaStreamWaitEvent
0.7,80119856,79241,1011.1,448.0,176,94784,1704.2,cudaEventRecordWithFlags_v11010
0.2,20247280,1796,11273.5,7712.0,2592,82528,9553.0,cudaGraphLaunch_v10000
0.1,12558640,67,187442.4,108544.0,44704,901952,190705.5,cudaGraphInstantiateWithFlags_v11040
0.1,10988096,75031,146.4,32.0,0,29968,432.4,cuKernelGetName
0.1,9335040,6093,1532.1,464.0,352,37744,3157.4,cudaFreeAsync_v11020
0.1,6399376,1920,3333.0,2848.0,2144,59440,2324.8,cudaMemsetAsync
0.0,1203488,1946,618.4,320.0,160,8352,715.5,cudaEventCreateWithFlags
0.0,1026608,1796,571.6,192.0,112,12880,1051.8,cudaEventDestroy
0.0,753168,67,11241.3,12288.0,1056,38384,8225.3,cudaStreamBeginCapture_v10000
0.0,654736,1,654736.0,654736.0,654736,654736,0.0,cudaMalloc
0.0,117872,67,1759.3,1792.0,464,7296,914.5,cudaStreamEndCapture_v10000
0.0,40544,25,1621.8,848.0,592,6688,1580.2,cuLibraryGetKernel
0.0,33312,59,564.6,528.0,176,1152,313.9,cudaEventRecord
0.0,4528,1,4528.0,4528.0,4528,4528,0.0,cuProfilerStart
