Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.0,1988033440,20454,97195.3,88736.0,7232,337376,45787.1,"FIDESlib::CKKS::copy_(void **, void **)"
16.0,1511962912,1231,1228239.6,635936.0,236768,19141120,2771158.4,"FIDESlib::CKKS::hoistedRotateDotKSK_2_(void ***, void **, void ***, void ***, void ***, void ***, int, const int *, void ***, int, int, int, int, void **, bool)"
13.9,1315067520,6822,192768.6,200560.0,8896,567328,112727.6,"void FIDESlib::NTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)1>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
9.0,855151584,5510,155199.9,159760.0,5344,372768,72564.6,"FIDESlib::add_(void **, void **, int)"
6.9,650606304,6822,95368.9,89280.0,13024,384448,43520.2,"void FIDESlib::NTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)1>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
4.7,440314176,128,3439954.5,2433008.0,1179104,7414848,1871783.7,"FIDESlib::CKKS::dotProductLtBatchedPt2___(void ***, void ***, void ***, void ***, void ***, int, int, int, int)"
3.9,367916448,2406,152916.2,120224.0,23424,551488,95656.9,"void FIDESlib::NTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)3>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
3.3,307916928,3276,93991.7,94608.0,3648,251136,58286.7,"void FIDESlib::CKKS::Scalar_mult_<(FIDESlib::ALGO)4>(void **, const unsigned long *, int, const unsigned long *)"
3.1,293773856,8388,35023.1,16768.0,4576,215936,31182.3,"void FIDESlib::INTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, void **, void **, void **, void **, void **, void **)"
3.1,290765088,8388,34664.4,15680.0,8128,192480,29053.7,"void FIDESlib::INTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, void **, void **, void **, void **, void **, void **)"
3.1,289251872,2406,120221.1,90784.0,25344,536928,76135.5,"void FIDESlib::NTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)3>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
3.1,289034560,2406,120130.7,102944.0,32224,560480,61731.5,"void FIDESlib::CKKS::ModDown2<(FIDESlib::ALGO)3>(void **, int, void **, int, const FIDESlib::Global::Globals *)"
2.8,263501536,480,548961.5,542128.0,450976,744416,45227.0,"FIDESlib::CKKS::eval_linear_w_sum_(int, void **, void ***, unsigned long *, int)"
1.8,168963200,373,452984.5,538848.0,52800,681408,157869.7,"FIDESlib::CKKS::binomialMult_(int, void **, void **, void **, void **, void **)"
1.8,167795392,1744,96213.0,81216.0,13760,334944,59513.6,"FIDESlib::CKKS::Mult_(void **, void **, void **, int)"
0.8,80154112,562,142623.0,147808.0,15232,242816,41061.0,"FIDESlib::scalar_add_(void **, unsigned long *, int)"
0.8,72205728,192,376071.5,381872.0,283872,483424,53408.8,"FIDESlib::CKKS::binomialSquare_(int, void **, void **, void **)"
0.7,67346624,300,224488.7,249984.0,11808,329536,74025.4,"FIDESlib::sub_(void **, void **, int)"
0.2,22574432,128,176362.8,183072.0,106240,287872,52056.3,"FIDESlib::CKKS::scaleByP_(void **, int)"
0.1,7555072,856,8826.0,8416.0,5376,40960,2380.3,"void FIDESlib::INTT_<unsigned long, (bool)0, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, T1 *, int, T1 *, const T1 *, T1 *, T1 *, const T1 *, const T1 *, T1 *, const T1 *)"
0.1,7046464,856,8231.9,8000.0,7424,38496,1727.4,"void FIDESlib::INTT_<unsigned long, (bool)1, (FIDESlib::ALGO)3, (FIDESlib::INTT_MODE)0>(const FIDESlib::Global::Globals *, T1 *, int, T1 *, const T1 *, T1 *, T1 *, const T1 *, const T1 *, T1 *, const T1 *)"
0.1,4831392,18,268410.7,276784.0,161920,306496,32710.8,"void FIDESlib::NTT_<(bool)0, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
0.1,4764224,18,264679.1,263984.0,78912,435424,65893.2,"void FIDESlib::NTT_<(bool)1, (FIDESlib::ALGO)3, (FIDESlib::NTT_MODE)0>(const FIDESlib::Global::Globals *, void **, int, void **, void **, int, void **, void **)"
0.0,2015904,16,125994.0,124192.0,89920,152544,16646.2,FIDESlib::CKKS::broadcastLimb0_(void **)
