GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 1024 slots.
Plaintexts loaded: 120 ~ 3030MB
Rotation keys loaded: 50 ~ 9000MB
setup_seconds=15.4891
planned_logical_refreshes=0
node=1/428 op=public seconds=0.170975 eta_seconds=73.0063 bootstraps=0
node=11/428 op=gather seconds=1.10429 eta_seconds=41.8626 bootstraps=0
node=21/428 op=cheb seconds=3.93803 eta_seconds=76.3228 bootstraps=0
node=31/428 op=mulp seconds=4.29326 eta_seconds=54.9814 bootstraps=0
node=41/428 op=cheb seconds=5.09507 eta_seconds=48.0925 bootstraps=0
node=51/428 op=mul seconds=5.58291 eta_seconds=41.2697 bootstraps=0
node=61/428 op=gather seconds=5.96746 eta_seconds=35.9026 bootstraps=0
node=71/428 op=mul seconds=6.49874 eta_seconds=32.6768 bootstraps=0
node=81/428 op=mulp seconds=6.95692 eta_seconds=29.8031 bootstraps=0
node=91/428 op=mul seconds=8.14143 eta_seconds=30.1501 bootstraps=0
node=101/428 op=mul seconds=9.35801 eta_seconds=30.2977 bootstraps=0
node=111/428 op=input seconds=10.2177 eta_seconds=29.1803 bootstraps=0
node=121/428 op=addp seconds=10.6776 eta_seconds=27.0912 bootstraps=0
node=131/428 op=mulp seconds=13.3889 eta_seconds=30.355 bootstraps=0
node=141/428 op=mul seconds=14.1185 eta_seconds=28.7377 bootstraps=0
node=151/428 op=repeat seconds=14.5115 eta_seconds=26.6204 bootstraps=0
node=161/428 op=mul seconds=14.8399 eta_seconds=24.6102 bootstraps=0
node=171/428 op=gather seconds=15.2649 eta_seconds=22.9419 bootstraps=0
node=181/428 op=scatter seconds=15.5605 eta_seconds=21.2345 bootstraps=0
node=191/428 op=mul seconds=15.6892 eta_seconds=19.4678 bootstraps=0
node=201/428 op=add seconds=16.6167 eta_seconds=18.7661 bootstraps=0
node=211/428 op=sum seconds=17.5555 eta_seconds=18.0547 bootstraps=0
node=221/428 op=gather seconds=18.3243 eta_seconds=17.1635 bootstraps=0
node=231/428 op=cheb seconds=20.799 eta_seconds=17.7377 bootstraps=0
node=241/428 op=mul seconds=21.4027 eta_seconds=16.607 bootstraps=0
node=251/428 op=mulp seconds=21.982 eta_seconds=15.5013 bootstraps=0
node=261/428 op=gather seconds=22.5199 eta_seconds=14.4093 bootstraps=0
node=271/428 op=scatter seconds=22.8086 eta_seconds=13.2139 bootstraps=0
node=281/428 op=mulp seconds=23.1788 eta_seconds=12.1255 bootstraps=0
node=291/428 op=scatter seconds=23.4482 eta_seconds=11.0392 bootstraps=0
node=301/428 op=repeat seconds=24.2659 eta_seconds=10.2384 bootstraps=0
node=311/428 op=repeat seconds=24.9009 eta_seconds=9.36786 bootstraps=0
node=321/428 op=mul seconds=25.5595 eta_seconds=8.51983 bootstraps=0
node=331/428 op=gather seconds=26.2064 eta_seconds=7.67983 bootstraps=0
node=341/428 op=repeat seconds=28.9942 eta_seconds=7.39734 bootstraps=0
node=351/428 op=cheb seconds=29.7137 eta_seconds=6.51839 bootstraps=0
node=361/428 op=mul seconds=30.1271 eta_seconds=5.59145 bootstraps=0
node=371/428 op=mulp seconds=30.4565 eta_seconds=4.67929 bootstraps=0
node=381/428 op=scatter seconds=30.716 eta_seconds=3.78912 bootstraps=0
node=391/428 op=add seconds=31.0165 eta_seconds=2.93507 bootstraps=0
node=401/428 op=mul seconds=31.2991 eta_seconds=2.10742 bootstraps=0
node=411/428 op=repeat seconds=32.3037 eta_seconds=1.33616 bootstraps=0
node=421/428 op=repeat seconds=32.9864 eta_seconds=0.548468 bootstraps=0
node=428/428 op=linear seconds=33.5682 eta_seconds=0 bootstraps=0
passed=1 polynomial_error=6.46877e-12 exact_error=7.72264e-08 eval_seconds=33.5684
