GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 1024 slots.
Plaintexts loaded: 120 ~ 3030MB
Rotation keys loaded: 50 ~ 9000MB
setup_seconds=15.3465
node=1/852 op=public seconds=0.172221 eta_seconds=146.56 bootstraps=0
node=11/852 op=gather seconds=9.80636 eta_seconds=749.741 bootstraps=0
node=21/852 op=cheb seconds=13.0937 eta_seconds=518.136 bootstraps=0
node=31/852 op=mulp seconds=13.529 eta_seconds=358.299 bootstraps=0
node=41/852 op=cheb seconds=14.4855 eta_seconds=286.529 bootstraps=0
node=51/852 op=mul seconds=14.9859 eta_seconds=235.367 bootstraps=0
node=61/852 op=gather seconds=15.2924 eta_seconds=198.3 bootstraps=0
node=71/852 op=mul seconds=15.6692 eta_seconds=172.361 bootstraps=0
node=81/852 op=mulp seconds=16.0259 eta_seconds=152.542 bootstraps=0
node=91/852 op=mul seconds=19.4333 eta_seconds=162.513 bootstraps=0
node=101/852 op=mul seconds=22.9371 eta_seconds=170.552 bootstraps=0
node=111/852 op=input seconds=25.8543 eta_seconds=172.595 bootstraps=0
node=121/852 op=addp seconds=34.0492 eta_seconds=205.702 bootstraps=0
node=131/852 op=mulp seconds=37.005 eta_seconds=203.669 bootstraps=0
node=141/852 op=mul seconds=37.7742 eta_seconds=190.478 bootstraps=0
node=151/852 op=repeat seconds=38.23 eta_seconds=177.478 bootstraps=0
node=161/852 op=mul seconds=38.593 eta_seconds=165.638 bootstraps=0
node=171/852 op=gather seconds=39.0709 eta_seconds=155.598 bootstraps=0
node=181/852 op=scatter seconds=39.5087 eta_seconds=146.466 bootstraps=0
node=191/852 op=mul seconds=39.6498 eta_seconds=137.217 bootstraps=0
node=201/852 op=add seconds=43.0988 eta_seconds=139.589 bootstraps=0
node=211/852 op=sum seconds=47.737 eta_seconds=145.021 bootstraps=0
node=221/852 op=gather seconds=57.2361 eta_seconds=163.421 bootstraps=0
node=231/852 op=cheb seconds=59.9801 eta_seconds=161.245 bootstraps=0
node=241/852 op=mul seconds=60.6081 eta_seconds=153.658 bootstraps=0
node=251/852 op=mulp seconds=61.2558 eta_seconds=146.672 bootstraps=0
node=261/852 op=gather seconds=61.8215 eta_seconds=139.987 bootstraps=0
node=271/852 op=scatter seconds=62.2517 eta_seconds=133.462 bootstraps=0
node=281/852 op=mulp seconds=62.6537 eta_seconds=127.314 bootstraps=0
node=291/852 op=scatter seconds=63.0025 eta_seconds=121.458 bootstraps=0
node=301/852 op=repeat seconds=66.3513 eta_seconds=121.46 bootstraps=0
node=311/852 op=repeat seconds=69.8344 eta_seconds=121.48 bootstraps=0
node=321/852 op=mul seconds=71.3395 eta_seconds=118.01 bootstraps=0
node=331/852 op=gather seconds=80.5389 eta_seconds=126.77 bootstraps=0
node=341/852 op=repeat seconds=83.5779 eta_seconds=125.244 bootstraps=0
node=351/852 op=cheb seconds=84.3278 eta_seconds=120.365 bootstraps=0
node=361/852 op=mul seconds=84.8111 eta_seconds=115.352 bootstraps=0
node=371/852 op=mulp seconds=85.1931 eta_seconds=110.453 bootstraps=0
node=381/852 op=scatter seconds=85.5305 eta_seconds=105.735 bootstraps=0
node=391/852 op=add seconds=85.8692 eta_seconds=101.242 bootstraps=0
node=401/852 op=mul seconds=86.2471 eta_seconds=97.0011 bootstraps=0
node=411/852 op=repeat seconds=89.6986 eta_seconds=96.246 bootstraps=0
node=421/852 op=repeat seconds=93.1607 eta_seconds=95.3736 bootstraps=0
node=431/852 op=gather seconds=104.204 eta_seconds=101.786 bootstraps=0
node=441/852 op=cheb seconds=106.993 eta_seconds=99.715 bootstraps=0
node=451/852 op=cheb seconds=107.698 eta_seconds=95.7578 bootstraps=0
node=461/852 op=mul seconds=108.459 eta_seconds=91.99 bootstraps=0
node=471/852 op=repeat seconds=108.991 eta_seconds=88.1645 bootstraps=0
node=481/852 op=add seconds=109.4 eta_seconds=84.3809 bootstraps=0
node=491/852 op=mul seconds=110.153 eta_seconds=80.9886 bootstraps=0
node=501/852 op=gather seconds=110.536 eta_seconds=77.4411 bootstraps=0
node=511/852 op=repeat seconds=110.833 eta_seconds=73.961 bootstraps=0
node=521/852 op=repeat seconds=118.135 eta_seconds=75.0532 bootstraps=0
node=531/852 op=add seconds=119.403 eta_seconds=72.1812 bootstraps=0
node=541/852 op=gather seconds=129.854 eta_seconds=74.6482 bootstraps=0
node=551/852 op=cheb seconds=132.974 eta_seconds=72.6408 bootstraps=0
node=561/852 op=mulp seconds=133.408 eta_seconds=69.2008 bootstraps=0
node=571/852 op=cheb seconds=134.374 eta_seconds=66.1278 bootstraps=0
node=581/852 op=mul seconds=134.876 eta_seconds=62.9113 bootstraps=0
