GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=27.3881
node=1/7910 op=public seconds=0.177106 eta_seconds=1400.73 bootstraps=0
node=11/7910 op=public seconds=1.65786 eta_seconds=1190.49 bootstraps=0
node=21/7910 op=mul seconds=2.69578 eta_seconds=1012.71 bootstraps=0
node=31/7910 op=gather seconds=6.21852 eta_seconds=1580.51 bootstraps=0
node=41/7910 op=mul seconds=9.4316 eta_seconds=1810.18 bootstraps=0
node=51/7910 op=repeat seconds=10.2065 eta_seconds=1572.8 bootstraps=0
node=61/7910 op=mulp seconds=10.6683 eta_seconds=1372.71 bootstraps=0
node=71/7910 op=add seconds=11.5468 eta_seconds=1274.86 bootstraps=0
node=81/7910 op=add seconds=16.3396 eta_seconds=1579.29 bootstraps=4
node=91/7910 op=scatter seconds=18.9536 eta_seconds=1628.55 bootstraps=6
node=101/7910 op=mul seconds=21.9659 eta_seconds=1698.33 bootstraps=8
node=111/7910 op=mul seconds=23.093 eta_seconds=1622.54 bootstraps=8
node=121/7910 op=mul seconds=27.4968 eta_seconds=1770.02 bootstraps=12
node=131/7910 op=scatter seconds=31.599 eta_seconds=1876.4 bootstraps=14
node=141/7910 op=gather seconds=35.518 eta_seconds=1957.02 bootstraps=18
node=151/7910 op=mul seconds=36.2947 eta_seconds=1864.97 bootstraps=18
node=161/7910 op=cheb seconds=40.0514 eta_seconds=1927.69 bootstraps=22
node=171/7910 op=sum seconds=41.6635 eta_seconds=1885.58 bootstraps=24
node=181/7910 op=addp seconds=43.2492 eta_seconds=1846.81 bootstraps=26
node=191/7910 op=scatter seconds=44.5429 eta_seconds=1800.14 bootstraps=26
node=201/7910 op=mul seconds=49.7396 eta_seconds=1907.67 bootstraps=30
node=211/7910 op=scatter seconds=52.3404 eta_seconds=1909.81 bootstraps=32
node=221/7910 op=sum seconds=54.9374 eta_seconds=1911.37 bootstraps=34
node=231/7910 op=scatter seconds=58.2421 eta_seconds=1936.11 bootstraps=36
node=241/7910 op=gather seconds=62.141 eta_seconds=1977.43 bootstraps=40
node=251/7910 op=cheb seconds=64.6867 eta_seconds=1973.85 bootstraps=42
node=261/7910 op=gather seconds=68.164 eta_seconds=1997.65 bootstraps=44
node=271/7910 op=repeat seconds=72.1612 eta_seconds=2034.09 bootstraps=48
node=281/7910 op=addp seconds=74.2164 eta_seconds=2014.94 bootstraps=50
node=291/7910 op=repeat seconds=77.2778 eta_seconds=2023.3 bootstraps=54
node=301/7910 op=mul seconds=80.5418 eta_seconds=2036.02 bootstraps=58
node=311/7910 op=scatter seconds=82.8805 eta_seconds=2025.11 bootstraps=60
node=321/7910 op=mul seconds=87.673 eta_seconds=2072.74 bootstraps=66
node=331/7910 op=addp seconds=91.5804 eta_seconds=2096.94 bootstraps=70
node=341/7910 op=add seconds=96.7012 eta_seconds=2146.43 bootstraps=76
node=351/7910 op=cheb seconds=100.256 eta_seconds=2159.07 bootstraps=80
node=361/7910 op=add seconds=105.559 eta_seconds=2207.38 bootstraps=84
node=371/7910 op=linear seconds=110.353 eta_seconds=2242.47 bootstraps=88
node=381/7910 op=cheb seconds=110.62 eta_seconds=2185.99 bootstraps=88
node=391/7910 op=add seconds=115.766 eta_seconds=2226.21 bootstraps=94
