GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.6821
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.19878 eta_seconds=1572.15 bootstraps=0
node=11/7910 op=public seconds=1.55041 eta_seconds=1113.34 bootstraps=0
node=21/7910 op=mul seconds=2.39841 eta_seconds=901.001 bootstraps=0
node=31/7910 op=gather seconds=4.11286 eta_seconds=1045.33 bootstraps=0
node=41/7910 op=mul seconds=5.12383 eta_seconds=983.4 bootstraps=0
node=51/7910 op=repeat seconds=5.86406 eta_seconds=903.64 bootstraps=0
node=61/7910 op=mulp seconds=6.2309 eta_seconds=801.743 bootstraps=0
node=71/7910 op=add seconds=6.719 eta_seconds=741.835 bootstraps=0
node=81/7910 op=add seconds=7.28508 eta_seconds=704.134 bootstraps=0
node=91/7910 op=scatter seconds=7.76849 eta_seconds=667.492 bootstraps=0
node=111/7910 op=mul seconds=10.2023 eta_seconds=716.824 bootstraps=2
node=121/7910 op=mul seconds=11.0168 eta_seconds=709.17 bootstraps=2
node=131/7910 op=scatter seconds=13.8382 eta_seconds=821.736 bootstraps=4
node=141/7910 op=gather seconds=17.3716 eta_seconds=957.164 bootstraps=8
node=161/7910 op=cheb seconds=19.5303 eta_seconds=940.004 bootstraps=10
node=171/7910 op=sum seconds=19.7553 eta_seconds=894.072 bootstraps=10
node=181/7910 op=addp seconds=19.8931 eta_seconds=849.469 bootstraps=10
node=191/7910 op=scatter seconds=21.8379 eta_seconds=882.548 bootstraps=12
node=201/7910 op=mul seconds=22.8263 eta_seconds=875.464 bootstraps=12
node=211/7910 op=scatter seconds=23.3164 eta_seconds=850.774 bootstraps=12
node=221/7910 op=sum seconds=23.5804 eta_seconds=820.406 bootstraps=12
node=231/7910 op=scatter seconds=25.6052 eta_seconds=851.179 bootstraps=14
node=241/7910 op=gather seconds=27.799 eta_seconds=884.608 bootstraps=16
node=251/7910 op=cheb seconds=31.3111 eta_seconds=955.424 bootstraps=20
node=271/7910 op=repeat seconds=33.938 eta_seconds=956.65 bootstraps=22
node=281/7910 op=addp seconds=34.3499 eta_seconds=932.581 bootstraps=22
node=291/7910 op=repeat seconds=34.6137 eta_seconds=906.261 bootstraps=22
node=301/7910 op=mul seconds=34.8661 eta_seconds=881.382 bootstraps=22
node=311/7910 op=scatter seconds=37.0909 eta_seconds=906.283 bootstraps=24
node=321/7910 op=mul seconds=37.718 eta_seconds=891.719 bootstraps=24
node=341/7910 op=add seconds=38.6867 eta_seconds=858.708 bootstraps=24
node=351/7910 op=cheb seconds=41.0213 eta_seconds=883.419 bootstraps=26
node=361/7910 op=add seconds=43.4474 eta_seconds=908.545 bootstraps=28
node=371/7910 op=linear seconds=45.4692 eta_seconds=923.968 bootstraps=30
node=381/7910 op=cheb seconds=47.2034 eta_seconds=932.794 bootstraps=32
node=391/7910 op=add seconds=47.6582 eta_seconds=916.476 bootstraps=32
node=401/7910 op=mulp seconds=47.9294 eta_seconds=897.51 bootstraps=32
node=411/7910 op=addp seconds=48.0646 eta_seconds=876.975 bootstraps=32
node=421/7910 op=mul seconds=48.3014 eta_seconds=859.214 bootstraps=32
node=431/7910 op=gather seconds=52.4112 eta_seconds=909.475 bootstraps=36
node=441/7910 op=add seconds=52.6869 eta_seconds=892.332 bootstraps=36
node=451/7910 op=mulp seconds=53.1386 eta_seconds=878.848 bootstraps=36
node=461/7910 op=add seconds=55.5827 eta_seconds=898.125 bootstraps=38
node=471/7910 op=linear seconds=57.6065 eta_seconds=909.841 bootstraps=40
node=481/7910 op=mulp seconds=59.5984 eta_seconds=920.491 bootstraps=42
node=491/7910 op=gather seconds=61.6123 eta_seconds=930.96 bootstraps=44
node=501/7910 op=cheb seconds=63.5575 eta_seconds=939.916 bootstraps=46
node=511/7910 op=sum seconds=64.0044 eta_seconds=926.749 bootstraps=46
node=521/7910 op=addp seconds=64.2168 eta_seconds=910.745 bootstraps=46
node=531/7910 op=gather seconds=64.5588 eta_seconds=897.137 bootstraps=46
node=541/7910 op=add seconds=66.4179 eta_seconds=904.683 bootstraps=48
node=551/7910 op=add seconds=67.3648 eta_seconds=899.705 bootstraps=48
node=561/7910 op=add seconds=68.0786 eta_seconds=891.817 bootstraps=48
node=571/7910 op=repeat seconds=68.335 eta_seconds=878.302 bootstraps=48
node=581/7910 op=mulp seconds=70.5662 eta_seconds=890.154 bootstraps=50
node=591/7910 op=mul seconds=74.1383 eta_seconds=918.136 bootstraps=54
node=601/7910 op=mul seconds=76.1401 eta_seconds=925.97 bootstraps=56
node=611/7910 op=gather seconds=76.7994 eta_seconds=917.445 bootstraps=56
node=621/7910 op=mul seconds=78.9747 eta_seconds=926.968 bootstraps=58
node=631/7910 op=repeat seconds=79.2441 eta_seconds=914.133 bootstraps=58
node=641/7910 op=mulp seconds=79.4025 eta_seconds=900.432 bootstraps=58
node=651/7910 op=add seconds=79.6508 eta_seconds=888.149 bootstraps=58
node=661/7910 op=add seconds=83.337 eta_seconds=913.933 bootstraps=62
node=671/7910 op=scatter seconds=83.9415 eta_seconds=905.593 bootstraps=62
node=691/7910 op=mul seconds=84.893 eta_seconds=886.892 bootstraps=62
node=701/7910 op=mul seconds=87.1302 eta_seconds=896.036 bootstraps=64
node=711/7910 op=scatter seconds=89.5736 eta_seconds=906.948 bootstraps=66
node=721/7910 op=gather seconds=91.7612 eta_seconds=914.94 bootstraps=68
node=741/7910 op=cheb seconds=94.1289 eta_seconds=910.675 bootstraps=70
node=751/7910 op=sum seconds=94.3211 eta_seconds=899.127 bootstraps=70
node=761/7910 op=addp seconds=94.4409 eta_seconds=887.198 bootstraps=70
node=771/7910 op=scatter seconds=96.3391 eta_seconds=892.043 bootstraps=72
node=781/7910 op=mul seconds=97.4457 eta_seconds=889.489 bootstraps=72
node=791/7910 op=scatter seconds=98.0068 eta_seconds=882.061 bootstraps=72
node=801/7910 op=sum seconds=98.2988 eta_seconds=872.417 bootstraps=72
node=811/7910 op=scatter seconds=100.619 eta_seconds=880.754 bootstraps=74
node=821/7910 op=gather seconds=101.227 eta_seconds=874.054 bootstraps=74
node=831/7910 op=cheb seconds=104.707 eta_seconds=891.964 bootstraps=78
node=851/7910 op=repeat seconds=107.15 eta_seconds=888.806 bootstraps=80
node=861/7910 op=addp seconds=107.497 eta_seconds=880.077 bootstraps=80
node=871/7910 op=repeat seconds=110.578 eta_seconds=893.637 bootstraps=84
node=881/7910 op=mul seconds=111.1 eta_seconds=886.407 bootstraps=84
node=891/7910 op=scatter seconds=111.663 eta_seconds=879.641 bootstraps=84
node=901/7910 op=mul seconds=112.034 eta_seconds=871.53 bootstraps=84
node=921/7910 op=add seconds=114.517 eta_seconds=869.011 bootstraps=86
node=931/7910 op=cheb seconds=116.766 eta_seconds=875.304 bootstraps=88
node=941/7910 op=add seconds=119.237 eta_seconds=883.066 bootstraps=90
node=951/7910 op=linear seconds=121.411 eta_seconds=888.434 bootstraps=92
node=961/7910 op=cheb seconds=121.513 eta_seconds=878.665 bootstraps=92
node=971/7910 op=add seconds=123.339 eta_seconds=881.413 bootstraps=94
node=981/7910 op=mulp seconds=125.053 eta_seconds=883.273 bootstraps=96
node=991/7910 op=addp seconds=126.577 eta_seconds=883.741 bootstraps=98
node=1001/7910 op=mul seconds=127.062 eta_seconds=876.993 bootstraps=98
node=1011/7910 op=gather seconds=127.858 eta_seconds=872.494 bootstraps=98
node=1021/7910 op=add seconds=129.665 eta_seconds=874.887 bootstraps=100
node=1031/7910 op=mulp seconds=130.156 eta_seconds=868.419 bootstraps=100
node=1041/7910 op=add seconds=131.068 eta_seconds=864.847 bootstraps=100
node=1051/7910 op=linear seconds=133.245 eta_seconds=869.579 bootstraps=102
node=1061/7910 op=mulp seconds=135.179 eta_seconds=872.613 bootstraps=104
node=1071/7910 op=gather seconds=137.347 eta_seconds=877.047 bootstraps=106
node=1081/7910 op=cheb seconds=139.249 eta_seconds=879.677 bootstraps=108
node=1091/7910 op=sum seconds=139.761 eta_seconds=873.541 bootstraps=108
node=1101/7910 op=addp seconds=139.976 eta_seconds=865.665 bootstraps=108
node=1111/7910 op=gather seconds=140.367 eta_seconds=859.004 bootstraps=108
node=1121/7910 op=add seconds=142.222 eta_seconds=861.327 bootstraps=110
node=1131/7910 op=add seconds=143.162 eta_seconds=858.086 bootstraps=110
node=1141/7910 op=add seconds=143.873 eta_seconds=853.532 bootstraps=110
node=1151/7910 op=repeat seconds=144.129 eta_seconds=846.368 bootstraps=110
node=1161/7910 op=mulp seconds=146.438 eta_seconds=851.259 bootstraps=112
node=1171/7910 op=mul seconds=148.549 eta_seconds=854.889 bootstraps=114
