GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.6668
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.191107 eta_seconds=1511.47 bootstraps=0
node=11/7910 op=public seconds=1.53912 eta_seconds=1105.22 bootstraps=0
node=21/7910 op=mul seconds=2.36435 eta_seconds=888.209 bootstraps=0
node=31/7910 op=gather seconds=4.00734 eta_seconds=1018.51 bootstraps=0
node=41/7910 op=mul seconds=4.94823 eta_seconds=949.698 bootstraps=0
node=51/7910 op=repeat seconds=5.6306 eta_seconds=867.665 bootstraps=0
node=61/7910 op=mulp seconds=5.96537 eta_seconds=767.576 bootstraps=0
node=71/7910 op=add seconds=6.44182 eta_seconds=711.231 bootstraps=0
node=81/7910 op=add seconds=6.97171 eta_seconds=673.846 bootstraps=0
node=91/7910 op=scatter seconds=7.42726 eta_seconds=638.173 bootstraps=0
node=111/7910 op=mul seconds=9.79166 eta_seconds=687.975 bootstraps=2
node=121/7910 op=mul seconds=10.5644 eta_seconds=680.048 bootstraps=2
node=131/7910 op=scatter seconds=13.2982 eta_seconds=789.672 bootstraps=4
node=141/7910 op=gather seconds=16.7784 eta_seconds=924.475 bootstraps=8
node=161/7910 op=cheb seconds=18.8798 eta_seconds=908.692 bootstraps=10
node=171/7910 op=sum seconds=19.0903 eta_seconds=863.977 bootstraps=10
node=181/7910 op=addp seconds=19.2215 eta_seconds=820.789 bootstraps=10
node=191/7910 op=scatter seconds=21.1414 eta_seconds=854.399 bootstraps=12
node=201/7910 op=mul seconds=22.0772 eta_seconds=846.731 bootstraps=12
node=211/7910 op=scatter seconds=22.5425 eta_seconds=822.535 bootstraps=12
node=221/7910 op=sum seconds=22.7946 eta_seconds=793.067 bootstraps=12
node=231/7910 op=scatter seconds=24.788 eta_seconds=824.013 bootstraps=14
node=241/7910 op=gather seconds=26.9359 eta_seconds=857.142 bootstraps=16
node=251/7910 op=cheb seconds=30.3959 eta_seconds=927.498 bootstraps=20
node=271/7910 op=repeat seconds=32.9668 eta_seconds=929.275 bootstraps=22
node=281/7910 op=addp seconds=33.3609 eta_seconds=905.73 bootstraps=22
node=291/7910 op=repeat seconds=33.6055 eta_seconds=879.864 bootstraps=22
node=301/7910 op=mul seconds=33.85 eta_seconds=855.697 bootstraps=22
node=311/7910 op=scatter seconds=36.0195 eta_seconds=880.103 bootstraps=24
node=321/7910 op=mul seconds=36.6092 eta_seconds=865.505 bootstraps=24
node=341/7910 op=add seconds=37.519 eta_seconds=832.789 bootstraps=24
node=351/7910 op=cheb seconds=39.7829 eta_seconds=856.749 bootstraps=26
node=361/7910 op=add seconds=42.1582 eta_seconds=881.586 bootstraps=28
node=371/7910 op=linear seconds=44.1514 eta_seconds=897.189 bootstraps=30
node=381/7910 op=cheb seconds=45.8831 eta_seconds=906.702 bootstraps=32
node=391/7910 op=add seconds=46.3095 eta_seconds=890.541 bootstraps=32
node=401/7910 op=mulp seconds=46.564 eta_seconds=871.944 bootstraps=32
node=411/7910 op=addp seconds=46.6958 eta_seconds=851.999 bootstraps=32
node=421/7910 op=mul seconds=46.9253 eta_seconds=834.735 bootstraps=32
node=431/7910 op=gather seconds=50.9683 eta_seconds=884.435 bootstraps=36
node=441/7910 op=add seconds=51.2327 eta_seconds=867.703 bootstraps=36
node=451/7910 op=mulp seconds=51.6566 eta_seconds=854.338 bootstraps=36
node=461/7910 op=add seconds=54.0436 eta_seconds=873.256 bootstraps=38
node=471/7910 op=linear seconds=56.0255 eta_seconds=884.869 bootstraps=40
node=481/7910 op=mulp seconds=57.9819 eta_seconds=895.526 bootstraps=42
node=491/7910 op=gather seconds=59.9624 eta_seconds=906.031 bootstraps=44
node=501/7910 op=cheb seconds=61.88 eta_seconds=915.107 bootstraps=46
node=511/7910 op=sum seconds=62.302 eta_seconds=902.098 bootstraps=46
node=521/7910 op=addp seconds=62.4978 eta_seconds=886.364 bootstraps=46
node=531/7910 op=gather seconds=62.8235 eta_seconds=873.022 bootstraps=46
node=541/7910 op=add seconds=64.6612 eta_seconds=880.755 bootstraps=48
node=551/7910 op=add seconds=65.543 eta_seconds=875.374 bootstraps=48
node=561/7910 op=add seconds=66.2119 eta_seconds=867.365 bootstraps=48
node=571/7910 op=repeat seconds=66.4599 eta_seconds=854.202 bootstraps=48
node=581/7910 op=mulp seconds=68.6293 eta_seconds=865.722 bootstraps=50
node=591/7910 op=mul seconds=72.1342 eta_seconds=893.317 bootstraps=54
node=601/7910 op=mul seconds=74.1002 eta_seconds=901.162 bootstraps=56
node=611/7910 op=gather seconds=74.7273 eta_seconds=892.691 bootstraps=56
node=621/7910 op=mul seconds=76.8705 eta_seconds=902.269 bootstraps=58
node=631/7910 op=repeat seconds=77.1246 eta_seconds=889.683 bootstraps=58
node=641/7910 op=mulp seconds=77.2755 eta_seconds=876.311 bootstraps=58
node=651/7910 op=add seconds=77.5156 eta_seconds=864.341 bootstraps=58
node=661/7910 op=add seconds=81.1516 eta_seconds=889.966 bootstraps=62
node=671/7910 op=scatter seconds=81.7237 eta_seconds=881.666 bootstraps=62
node=691/7910 op=mul seconds=82.6238 eta_seconds=863.185 bootstraps=62
node=701/7910 op=mul seconds=84.8126 eta_seconds=872.203 bootstraps=64
node=711/7910 op=scatter seconds=87.2038 eta_seconds=882.953 bootstraps=66
node=721/7910 op=gather seconds=89.3491 eta_seconds=890.888 bootstraps=68
node=741/7910 op=cheb seconds=91.6714 eta_seconds=886.899 bootstraps=70
node=751/7910 op=sum seconds=91.8585 eta_seconds=875.652 bootstraps=70
node=761/7910 op=addp seconds=91.975 eta_seconds=864.034 bootstraps=70
node=771/7910 op=scatter seconds=93.8605 eta_seconds=869.092 bootstraps=72
node=781/7910 op=mul seconds=94.9006 eta_seconds=866.257 bootstraps=72
