GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 1024 slots.
Plaintexts loaded: 120 ~ 3030MB
Rotation keys loaded: 50 ~ 9000MB
setup_seconds=15.4511
planned_logical_refreshes=0
node=1/428 op=public seconds=0.184815 eta_seconds=78.9161 bootstraps=0
node=11/428 op=gather seconds=0.986025 eta_seconds=37.3793 bootstraps=0
node=21/428 op=cheb seconds=3.26354 eta_seconds=63.2505 bootstraps=0
node=31/428 op=mulp seconds=3.53239 eta_seconds=45.2374 bootstraps=0
node=41/428 op=cheb seconds=4.16325 eta_seconds=39.297 bootstraps=0
node=51/428 op=mul seconds=4.42445 eta_seconds=32.7062 bootstraps=0
node=61/428 op=gather seconds=4.61035 eta_seconds=27.7377 bootstraps=0
node=71/428 op=mul seconds=4.92685 eta_seconds=24.773 bootstraps=0
node=81/428 op=mulp seconds=5.1347 eta_seconds=21.9968 bootstraps=0
node=91/428 op=mul seconds=5.59634 eta_seconds=20.7249 bootstraps=0
node=101/428 op=mul seconds=6.11481 eta_seconds=19.7975 bootstraps=0
node=111/428 op=input seconds=6.63181 eta_seconds=18.9395 bootstraps=0
node=121/428 op=addp seconds=6.93771 eta_seconds=17.6023 bootstraps=0
node=131/428 op=mulp seconds=9.07143 eta_seconds=20.5665 bootstraps=0
node=141/428 op=mul seconds=9.63065 eta_seconds=19.6028 bootstraps=0
node=151/428 op=repeat seconds=9.93809 eta_seconds=18.2308 bootstraps=0
node=161/428 op=mul seconds=10.1401 eta_seconds=16.8163 bootstraps=0
node=171/428 op=gather seconds=10.3606 eta_seconds=15.5712 bootstraps=0
node=181/428 op=scatter seconds=10.5543 eta_seconds=14.4029 bootstraps=0
node=191/428 op=mul seconds=10.6285 eta_seconds=13.1882 bootstraps=0
node=201/428 op=add seconds=11.053 eta_seconds=12.4828 bootstraps=0
node=211/428 op=sum seconds=11.5508 eta_seconds=11.8793 bootstraps=0
node=221/428 op=gather seconds=12.0997 eta_seconds=11.3332 bootstraps=0
node=231/428 op=cheb seconds=14.0691 eta_seconds=11.9983 bootstraps=0
node=241/428 op=mul seconds=14.4888 eta_seconds=11.2423 bootstraps=0
node=251/428 op=mulp seconds=14.9505 eta_seconds=10.5428 bootstraps=0
node=261/428 op=gather seconds=15.31 eta_seconds=9.79607 bootstraps=0
node=271/428 op=scatter seconds=15.4997 eta_seconds=8.97951 bootstraps=0
node=281/428 op=mulp seconds=15.7267 eta_seconds=8.22715 bootstraps=0
node=291/428 op=scatter seconds=15.878 eta_seconds=7.4752 bootstraps=0
node=301/428 op=repeat seconds=16.2396 eta_seconds=6.85191 bootstraps=0
node=311/428 op=repeat seconds=16.6331 eta_seconds=6.25748 bootstraps=0
node=321/428 op=mul seconds=16.9937 eta_seconds=5.66457 bootstraps=0
node=331/428 op=gather seconds=17.4789 eta_seconds=5.12223 bootstraps=0
node=341/428 op=repeat seconds=19.6751 eta_seconds=5.01975 bootstraps=0
node=351/428 op=cheb seconds=20.2059 eta_seconds=4.43263 bootstraps=0
node=361/428 op=mul seconds=20.5361 eta_seconds=3.81141 bootstraps=0
node=371/428 op=mulp seconds=20.7426 eta_seconds=3.18686 bootstraps=0
node=381/428 op=scatter seconds=20.8786 eta_seconds=2.57557 bootstraps=0
node=391/428 op=add seconds=21.0758 eta_seconds=1.99438 bootstraps=0
node=401/428 op=mul seconds=21.2192 eta_seconds=1.42873 bootstraps=0
node=411/428 op=repeat seconds=21.6572 eta_seconds=0.895798 bootstraps=0
node=421/428 op=repeat seconds=22.0499 eta_seconds=0.366626 bootstraps=0
node=428/428 op=linear seconds=22.3567 eta_seconds=0 bootstraps=0
passed=1 polynomial_error=3.78919e-12 exact_error=7.72249e-08 eval_seconds=22.3568
