GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.6467
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.180558 eta_seconds=1428.04 bootstraps=0
node=11/7910 op=public seconds=1.52333 eta_seconds=1093.89 bootstraps=0
node=21/7910 op=mul seconds=2.36529 eta_seconds=888.559 bootstraps=0
node=31/7910 op=gather seconds=4.0781 eta_seconds=1036.5 bootstraps=0
node=41/7910 op=mul seconds=5.08114 eta_seconds=975.207 bootstraps=0
node=51/7910 op=repeat seconds=5.81494 eta_seconds=896.072 bootstraps=0
node=61/7910 op=mulp seconds=6.17412 eta_seconds=794.437 bootstraps=0
node=71/7910 op=add seconds=6.6677 eta_seconds=736.17 bootstraps=0
node=81/7910 op=add seconds=7.22512 eta_seconds=698.339 bootstraps=0
node=91/7910 op=scatter seconds=7.7027 eta_seconds=661.84 bootstraps=0
node=111/7910 op=mul seconds=10.1066 eta_seconds=710.104 bootstraps=2
node=121/7910 op=mul seconds=10.9188 eta_seconds=702.866 bootstraps=2
node=131/7910 op=scatter seconds=13.7256 eta_seconds=815.049 bootstraps=4
node=141/7910 op=gather seconds=17.2319 eta_seconds=949.467 bootstraps=8
node=161/7910 op=cheb seconds=19.384 eta_seconds=932.963 bootstraps=10
node=171/7910 op=sum seconds=19.6081 eta_seconds=887.408 bootstraps=10
node=181/7910 op=addp seconds=19.7473 eta_seconds=843.241 bootstraps=10
node=191/7910 op=scatter seconds=21.6847 eta_seconds=876.358 bootstraps=12
node=201/7910 op=mul seconds=22.6792 eta_seconds=869.821 bootstraps=12
node=211/7910 op=scatter seconds=23.1723 eta_seconds=845.516 bootstraps=12
node=221/7910 op=sum seconds=23.4366 eta_seconds=815.403 bootstraps=12
node=231/7910 op=scatter seconds=25.4541 eta_seconds=846.157 bootstraps=14
node=241/7910 op=gather seconds=27.6466 eta_seconds=879.76 bootstraps=16
node=251/7910 op=cheb seconds=31.1304 eta_seconds=949.912 bootstraps=20
