GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.6007
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.184208 eta_seconds=1456.9 bootstraps=0
node=11/7910 op=public seconds=1.53225 eta_seconds=1100.29 bootstraps=0
node=21/7910 op=mul seconds=2.36127 eta_seconds=887.051 bootstraps=0
node=31/7910 op=gather seconds=4.00254 eta_seconds=1017.29 bootstraps=0
node=41/7910 op=mul seconds=4.94319 eta_seconds=948.731 bootstraps=0
node=51/7910 op=repeat seconds=5.62188 eta_seconds=866.32 bootstraps=0
node=61/7910 op=mulp seconds=5.95873 eta_seconds=766.722 bootstraps=0
node=71/7910 op=add seconds=6.42314 eta_seconds=709.169 bootstraps=0
node=81/7910 op=add seconds=6.95814 eta_seconds=672.534 bootstraps=0
node=91/7910 op=scatter seconds=7.41935 eta_seconds=637.494 bootstraps=0
node=111/7910 op=mul seconds=9.7927 eta_seconds=688.048 bootstraps=2
node=121/7910 op=mul seconds=10.5725 eta_seconds=680.571 bootstraps=2
node=131/7910 op=scatter seconds=13.3139 eta_seconds=790.604 bootstraps=4
node=141/7910 op=gather seconds=16.7911 eta_seconds=925.179 bootstraps=8
node=161/7910 op=cheb seconds=18.8854 eta_seconds=908.963 bootstraps=10
node=171/7910 op=sum seconds=19.0957 eta_seconds=864.222 bootstraps=10
node=181/7910 op=addp seconds=19.2252 eta_seconds=820.949 bootstraps=10
node=191/7910 op=scatter seconds=21.1388 eta_seconds=854.293 bootstraps=12
node=201/7910 op=mul seconds=22.0828 eta_seconds=846.947 bootstraps=12
node=211/7910 op=scatter seconds=22.5542 eta_seconds=822.96 bootstraps=12
node=221/7910 op=sum seconds=22.8079 eta_seconds=793.529 bootstraps=12
node=231/7910 op=scatter seconds=24.8029 eta_seconds=824.51 bootstraps=14
node=241/7910 op=gather seconds=26.9661 eta_seconds=858.103 bootstraps=16
node=251/7910 op=cheb seconds=30.4196 eta_seconds=928.223 bootstraps=20
node=271/7910 op=repeat seconds=32.976 eta_seconds=929.534 bootstraps=22
node=281/7910 op=addp seconds=33.3686 eta_seconds=905.939 bootstraps=22
node=291/7910 op=repeat seconds=33.6118 eta_seconds=880.027 bootstraps=22
node=301/7910 op=mul seconds=33.8565 eta_seconds=855.86 bootstraps=22
node=311/7910 op=scatter seconds=36.0303 eta_seconds=880.368 bootstraps=24
node=321/7910 op=mul seconds=36.6219 eta_seconds=865.804 bootstraps=24
node=341/7910 op=add seconds=37.5302 eta_seconds=833.039 bootstraps=24
node=351/7910 op=cheb seconds=39.7983 eta_seconds=857.08 bootstraps=26
node=361/7910 op=add seconds=42.1681 eta_seconds=881.792 bootstraps=28
node=371/7910 op=linear seconds=44.1556 eta_seconds=897.274 bootstraps=30
node=381/7910 op=cheb seconds=45.872 eta_seconds=906.484 bootstraps=32
node=391/7910 op=add seconds=46.2965 eta_seconds=890.291 bootstraps=32
node=401/7910 op=mulp seconds=46.5506 eta_seconds=871.693 bootstraps=32
node=411/7910 op=addp seconds=46.6818 eta_seconds=851.744 bootstraps=32
node=421/7910 op=mul seconds=46.9098 eta_seconds=834.46 bootstraps=32
node=431/7910 op=gather seconds=50.9541 eta_seconds=884.19 bootstraps=36
node=441/7910 op=add seconds=51.2172 eta_seconds=867.441 bootstraps=36
node=451/7910 op=mulp seconds=51.6409 eta_seconds=854.078 bootstraps=36
node=461/7910 op=add seconds=54.0401 eta_seconds=873.199 bootstraps=38
node=471/7910 op=linear seconds=56.0244 eta_seconds=884.852 bootstraps=40
node=481/7910 op=mulp seconds=57.9782 eta_seconds=895.467 bootstraps=42
node=491/7910 op=gather seconds=59.9627 eta_seconds=906.035 bootstraps=44
node=501/7910 op=cheb seconds=61.8781 eta_seconds=915.08 bootstraps=46
node=511/7910 op=sum seconds=62.2975 eta_seconds=902.033 bootstraps=46
node=521/7910 op=addp seconds=62.4942 eta_seconds=886.313 bootstraps=46
node=531/7910 op=gather seconds=62.8211 eta_seconds=872.988 bootstraps=46
node=541/7910 op=add seconds=64.6567 eta_seconds=880.693 bootstraps=48
node=551/7910 op=add seconds=65.5435 eta_seconds=875.38 bootstraps=48
node=561/7910 op=add seconds=66.2121 eta_seconds=867.367 bootstraps=48
node=571/7910 op=repeat seconds=66.4592 eta_seconds=854.193 bootstraps=48
node=581/7910 op=mulp seconds=68.6412 eta_seconds=865.871 bootstraps=50
node=591/7910 op=mul seconds=72.1458 eta_seconds=893.46 bootstraps=54
node=601/7910 op=mul seconds=74.1157 eta_seconds=901.35 bootstraps=56
node=611/7910 op=gather seconds=74.743 eta_seconds=892.879 bootstraps=56
node=621/7910 op=mul seconds=76.8757 eta_seconds=902.331 bootstraps=58
node=631/7910 op=repeat seconds=77.1288 eta_seconds=889.732 bootstraps=58
node=641/7910 op=mulp seconds=77.2797 eta_seconds=876.359 bootstraps=58
node=651/7910 op=add seconds=77.519 eta_seconds=864.379 bootstraps=58
node=661/7910 op=add seconds=81.1595 eta_seconds=890.053 bootstraps=62
node=671/7910 op=scatter seconds=81.7351 eta_seconds=881.789 bootstraps=62
node=691/7910 op=mul seconds=82.6334 eta_seconds=863.286 bootstraps=62
node=701/7910 op=mul seconds=84.8355 eta_seconds=872.438 bootstraps=64
node=711/7910 op=scatter seconds=87.2283 eta_seconds=883.202 bootstraps=66
node=721/7910 op=gather seconds=89.3767 eta_seconds=891.164 bootstraps=68
node=741/7910 op=cheb seconds=91.686 eta_seconds=887.04 bootstraps=70
node=751/7910 op=sum seconds=91.8711 eta_seconds=875.773 bootstraps=70
node=761/7910 op=addp seconds=91.9867 eta_seconds=864.143 bootstraps=70
node=771/7910 op=scatter seconds=93.8586 eta_seconds=869.075 bootstraps=72
node=781/7910 op=mul seconds=94.8993 eta_seconds=866.244 bootstraps=72
node=791/7910 op=scatter seconds=95.4292 eta_seconds=858.863 bootstraps=72
node=801/7910 op=sum seconds=95.7072 eta_seconds=849.416 bootstraps=72
node=811/7910 op=scatter seconds=97.9696 eta_seconds=857.566 bootstraps=74
node=821/7910 op=gather seconds=98.554 eta_seconds=850.974 bootstraps=74
node=831/7910 op=cheb seconds=101.977 eta_seconds=868.71 bootstraps=78
node=851/7910 op=repeat seconds=104.35 eta_seconds=865.579 bootstraps=80
node=861/7910 op=addp seconds=104.68 eta_seconds=857.012 bootstraps=80
node=871/7910 op=repeat seconds=107.73 eta_seconds=870.622 bootstraps=84
node=881/7910 op=mul seconds=108.228 eta_seconds=863.487 bootstraps=84
node=891/7910 op=scatter seconds=108.76 eta_seconds=856.774 bootstraps=84
node=901/7910 op=mul seconds=109.115 eta_seconds=848.821 bootstraps=84
node=921/7910 op=add seconds=111.552 eta_seconds=846.512 bootstraps=86
node=931/7910 op=cheb seconds=113.75 eta_seconds=852.698 bootstraps=88
node=941/7910 op=add seconds=116.167 eta_seconds=860.327 bootstraps=90
node=951/7910 op=linear seconds=118.303 eta_seconds=865.69 bootstraps=92
node=961/7910 op=cheb seconds=118.402 eta_seconds=856.167 bootstraps=92
node=971/7910 op=add seconds=120.22 eta_seconds=859.124 bootstraps=94
node=981/7910 op=mulp seconds=121.913 eta_seconds=861.095 bootstraps=96
node=991/7910 op=addp seconds=123.424 eta_seconds=861.729 bootstraps=98
node=1001/7910 op=mul seconds=123.888 eta_seconds=855.084 bootstraps=98
node=1011/7910 op=gather seconds=124.644 eta_seconds=850.561 bootstraps=98
node=1021/7910 op=add seconds=126.423 eta_seconds=853.013 bootstraps=100
node=1031/7910 op=mulp seconds=126.882 eta_seconds=846.575 bootstraps=100
node=1041/7910 op=add seconds=127.74 eta_seconds=842.885 bootstraps=100
node=1051/7910 op=linear seconds=129.881 eta_seconds=847.627 bootstraps=102
node=1061/7910 op=mulp seconds=131.778 eta_seconds=850.656 bootstraps=104
node=1071/7910 op=gather seconds=133.898 eta_seconds=855.023 bootstraps=106
node=1081/7910 op=cheb seconds=135.776 eta_seconds=857.738 bootstraps=108
node=1091/7910 op=sum seconds=136.248 eta_seconds=851.581 bootstraps=108
node=1101/7910 op=addp seconds=136.447 eta_seconds=843.838 bootstraps=108
node=1111/7910 op=gather seconds=136.815 eta_seconds=837.27 bootstraps=108
node=1121/7910 op=add seconds=138.647 eta_seconds=839.671 bootstraps=110
node=1131/7910 op=add seconds=139.534 eta_seconds=836.341 bootstraps=110
node=1141/7910 op=add seconds=140.204 eta_seconds=831.761 bootstraps=110
node=1151/7910 op=repeat seconds=140.452 eta_seconds=824.776 bootstraps=110
node=1161/7910 op=mulp seconds=142.71 eta_seconds=829.586 bootstraps=112
node=1171/7910 op=mul seconds=144.782 eta_seconds=833.208 bootstraps=114
node=1181/7910 op=mul seconds=146.764 eta_seconds=836.218 bootstraps=116
node=1191/7910 op=gather seconds=147.398 eta_seconds=831.544 bootstraps=116
node=1201/7910 op=mul seconds=149.58 eta_seconds=835.58 bootstraps=118
node=1211/7910 op=repeat seconds=149.824 eta_seconds=828.793 bootstraps=118
node=1221/7910 op=mulp seconds=149.946 eta_seconds=821.451 bootstraps=118
node=1231/7910 op=add seconds=151.695 eta_seconds=823.049 bootstraps=120
node=1241/7910 op=add seconds=152.498 eta_seconds=819.506 bootstraps=120
node=1251/7910 op=scatter seconds=153.076 eta_seconds=814.813 bootstraps=120
node=1271/7910 op=mul seconds=153.979 eta_seconds=804.299 bootstraps=120
node=1281/7910 op=mul seconds=156.17 eta_seconds=808.158 bootstraps=122
node=1291/7910 op=scatter seconds=158.556 eta_seconds=812.924 bootstraps=124
node=1301/7910 op=gather seconds=160.698 eta_seconds=816.337 bootstraps=126
node=1321/7910 op=cheb seconds=162.98 eta_seconds=812.927 bootstraps=128
node=1331/7910 op=sum seconds=163.165 eta_seconds=806.506 bootstraps=128
node=1341/7910 op=addp seconds=163.28 eta_seconds=799.84 bootstraps=128
node=1351/7910 op=scatter seconds=165.158 eta_seconds=801.831 bootstraps=130
node=1361/7910 op=mul seconds=166.217 eta_seconds=799.82 bootstraps=130
node=1371/7910 op=scatter seconds=166.748 eta_seconds=795.308 bootstraps=130
node=1381/7910 op=sum seconds=167.024 eta_seconds=789.647 bootstraps=130
node=1391/7910 op=scatter seconds=170.621 eta_seconds=799.624 bootstraps=134
node=1401/7910 op=gather seconds=171.289 eta_seconds=795.802 bootstraps=134
node=1411/7910 op=cheb seconds=174.813 eta_seconds=805.182 bootstraps=138
node=1421/7910 op=cheb seconds=175.367 eta_seconds=800.816 bootstraps=138
