GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.8116
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.195303 eta_seconds=1544.65 bootstraps=0
node=11/7910 op=public seconds=1.54711 eta_seconds=1110.97 bootstraps=0
node=21/7910 op=mul seconds=2.39106 eta_seconds=898.242 bootstraps=0
node=31/7910 op=gather seconds=4.10506 eta_seconds=1043.35 bootstraps=0
node=41/7910 op=mul seconds=5.11212 eta_seconds=981.152 bootstraps=0
node=51/7910 op=repeat seconds=5.84718 eta_seconds=901.04 bootstraps=0
node=61/7910 op=mulp seconds=6.21051 eta_seconds=799.12 bootstraps=0
node=71/7910 op=add seconds=6.6993 eta_seconds=739.659 bootstraps=0
node=81/7910 op=add seconds=7.25774 eta_seconds=701.492 bootstraps=0
node=91/7910 op=scatter seconds=7.7379 eta_seconds=664.864 bootstraps=0
node=111/7910 op=mul seconds=10.1551 eta_seconds=713.507 bootstraps=2
node=121/7910 op=mul seconds=10.9682 eta_seconds=706.041 bootstraps=2
node=131/7910 op=scatter seconds=13.7773 eta_seconds=818.121 bootstraps=4
node=141/7910 op=gather seconds=17.2953 eta_seconds=952.958 bootstraps=8
node=161/7910 op=cheb seconds=19.4458 eta_seconds=935.933 bootstraps=10
node=171/7910 op=sum seconds=19.6702 eta_seconds=890.221 bootstraps=10
node=181/7910 op=addp seconds=19.8089 eta_seconds=845.871 bootstraps=10
node=191/7910 op=scatter seconds=21.7509 eta_seconds=879.032 bootstraps=12
node=201/7910 op=mul seconds=22.7437 eta_seconds=872.294 bootstraps=12
node=211/7910 op=scatter seconds=23.2339 eta_seconds=847.761 bootstraps=12
node=221/7910 op=sum seconds=23.4981 eta_seconds=817.543 bootstraps=12
node=231/7910 op=scatter seconds=25.5162 eta_seconds=848.22 bootstraps=14
node=241/7910 op=gather seconds=27.7098 eta_seconds=881.771 bootstraps=16
node=251/7910 op=cheb seconds=31.1978 eta_seconds=951.968 bootstraps=20
node=271/7910 op=repeat seconds=33.806 eta_seconds=952.931 bootstraps=22
node=281/7910 op=addp seconds=34.2205 eta_seconds=929.069 bootstraps=22
node=291/7910 op=repeat seconds=34.4813 eta_seconds=902.793 bootstraps=22
node=301/7910 op=mul seconds=34.7338 eta_seconds=878.038 bootstraps=22
node=311/7910 op=scatter seconds=36.9497 eta_seconds=902.831 bootstraps=24
node=321/7910 op=mul seconds=37.572 eta_seconds=888.267 bootstraps=24
node=341/7910 op=add seconds=38.5285 eta_seconds=855.197 bootstraps=24
node=351/7910 op=cheb seconds=40.8516 eta_seconds=879.765 bootstraps=26
node=361/7910 op=add seconds=43.2714 eta_seconds=904.863 bootstraps=28
node=371/7910 op=linear seconds=45.2933 eta_seconds=920.394 bootstraps=30
node=381/7910 op=cheb seconds=47.0205 eta_seconds=929.178 bootstraps=32
node=391/7910 op=add seconds=47.4733 eta_seconds=912.92 bootstraps=32
node=401/7910 op=mulp seconds=47.7463 eta_seconds=894.082 bootstraps=32
node=411/7910 op=addp seconds=47.8807 eta_seconds=873.619 bootstraps=32
node=421/7910 op=mul seconds=48.1149 eta_seconds=855.896 bootstraps=32
node=431/7910 op=gather seconds=52.2125 eta_seconds=906.027 bootstraps=36
node=441/7910 op=add seconds=52.4886 eta_seconds=888.974 bootstraps=36
node=451/7910 op=mulp seconds=52.9401 eta_seconds=875.566 bootstraps=36
node=461/7910 op=add seconds=55.3771 eta_seconds=894.803 bootstraps=38
node=471/7910 op=linear seconds=57.3991 eta_seconds=906.565 bootstraps=40
node=481/7910 op=mulp seconds=59.3814 eta_seconds=917.14 bootstraps=42
node=491/7910 op=gather seconds=61.3929 eta_seconds=927.645 bootstraps=44
node=501/7910 op=cheb seconds=63.3318 eta_seconds=936.578 bootstraps=46
node=511/7910 op=sum seconds=63.7779 eta_seconds=923.468 bootstraps=46
node=521/7910 op=addp seconds=63.99 eta_seconds=907.528 bootstraps=46
node=531/7910 op=gather seconds=64.3332 eta_seconds=894.002 bootstraps=46
node=541/7910 op=add seconds=66.1816 eta_seconds=901.464 bootstraps=48
node=551/7910 op=add seconds=67.1186 eta_seconds=896.417 bootstraps=48
node=561/7910 op=add seconds=67.8275 eta_seconds=888.528 bootstraps=48
node=571/7910 op=repeat seconds=68.0831 eta_seconds=875.065 bootstraps=48
node=581/7910 op=mulp seconds=70.2942 eta_seconds=886.724 bootstraps=50
node=591/7910 op=mul seconds=73.8529 eta_seconds=914.602 bootstraps=54
node=601/7910 op=mul seconds=75.8508 eta_seconds=922.452 bootstraps=56
node=611/7910 op=gather seconds=76.5126 eta_seconds=914.019 bootstraps=56
node=621/7910 op=mul seconds=78.6761 eta_seconds=923.462 bootstraps=58
node=631/7910 op=repeat seconds=78.9458 eta_seconds=910.691 bootstraps=58
node=641/7910 op=mulp seconds=79.1045 eta_seconds=897.052 bootstraps=58
node=651/7910 op=add seconds=79.352 eta_seconds=884.817 bootstraps=58
node=661/7910 op=add seconds=83.044 eta_seconds=910.72 bootstraps=62
node=671/7910 op=scatter seconds=83.6477 eta_seconds=902.423 bootstraps=62
node=691/7910 op=mul seconds=84.6006 eta_seconds=883.838 bootstraps=62
node=701/7910 op=mul seconds=86.8367 eta_seconds=893.018 bootstraps=64
node=711/7910 op=scatter seconds=89.2807 eta_seconds=903.983 bootstraps=66
node=721/7910 op=gather seconds=91.4597 eta_seconds=911.933 bootstraps=68
node=741/7910 op=cheb seconds=93.8284 eta_seconds=907.768 bootstraps=70
node=751/7910 op=sum seconds=94.0222 eta_seconds=896.278 bootstraps=70
node=761/7910 op=addp seconds=94.1409 eta_seconds=884.38 bootstraps=70
node=771/7910 op=scatter seconds=96.0353 eta_seconds=889.23 bootstraps=72
node=781/7910 op=mul seconds=97.1378 eta_seconds=886.678 bootstraps=72
node=791/7910 op=scatter seconds=97.6988 eta_seconds=879.289 bootstraps=72
node=801/7910 op=sum seconds=97.989 eta_seconds=869.668 bootstraps=72
node=811/7910 op=scatter seconds=100.301 eta_seconds=877.978 bootstraps=74
node=821/7910 op=gather seconds=100.908 eta_seconds=871.3 bootstraps=74
node=831/7910 op=cheb seconds=104.373 eta_seconds=889.118 bootstraps=78
node=851/7910 op=repeat seconds=106.801 eta_seconds=885.91 bootstraps=80
node=861/7910 op=addp seconds=107.146 eta_seconds=877.201 bootstraps=80
node=871/7910 op=repeat seconds=110.215 eta_seconds=890.701 bootstraps=84
node=881/7910 op=mul seconds=110.737 eta_seconds=883.506 bootstraps=84
node=891/7910 op=scatter seconds=111.299 eta_seconds=876.78 bootstraps=84
node=901/7910 op=mul seconds=111.67 eta_seconds=868.699 bootstraps=84
node=921/7910 op=add seconds=114.155 eta_seconds=866.267 bootstraps=86
node=931/7910 op=cheb seconds=116.398 eta_seconds=872.546 bootstraps=88
node=941/7910 op=add seconds=118.872 eta_seconds=880.364 bootstraps=90
node=951/7910 op=linear seconds=121.046 eta_seconds=885.762 bootstraps=92
node=961/7910 op=cheb seconds=121.148 eta_seconds=876.022 bootstraps=92
node=971/7910 op=add seconds=122.97 eta_seconds=878.776 bootstraps=94
node=981/7910 op=mulp seconds=124.678 eta_seconds=880.628 bootstraps=96
node=991/7910 op=addp seconds=126.197 eta_seconds=881.086 bootstraps=98
node=1001/7910 op=mul seconds=126.68 eta_seconds=874.355 bootstraps=98
node=1011/7910 op=gather seconds=127.474 eta_seconds=869.874 bootstraps=98
node=1021/7910 op=add seconds=129.268 eta_seconds=872.21 bootstraps=100
node=1031/7910 op=mulp seconds=129.755 eta_seconds=865.743 bootstraps=100
node=1041/7910 op=add seconds=130.66 eta_seconds=862.156 bootstraps=100
node=1051/7910 op=linear seconds=132.83 eta_seconds=866.871 bootstraps=102
node=1061/7910 op=mulp seconds=134.764 eta_seconds=869.932 bootstraps=104
node=1071/7910 op=gather seconds=136.924 eta_seconds=874.345 bootstraps=106
node=1081/7910 op=cheb seconds=138.816 eta_seconds=876.942 bootstraps=108
node=1091/7910 op=sum seconds=139.325 eta_seconds=870.812 bootstraps=108
node=1101/7910 op=addp seconds=139.538 eta_seconds=862.955 bootstraps=108
node=1111/7910 op=gather seconds=139.928 eta_seconds=856.32 bootstraps=108
node=1121/7910 op=add seconds=141.788 eta_seconds=858.694 bootstraps=110
node=1131/7910 op=add seconds=142.727 eta_seconds=855.481 bootstraps=110
node=1141/7910 op=add seconds=143.438 eta_seconds=850.951 bootstraps=110
node=1151/7910 op=repeat seconds=143.694 eta_seconds=843.812 bootstraps=110
node=1161/7910 op=mulp seconds=146.005 eta_seconds=848.742 bootstraps=112
node=1171/7910 op=mul seconds=148.117 eta_seconds=852.398 bootstraps=114
node=1181/7910 op=mul seconds=150.12 eta_seconds=855.343 bootstraps=116
node=1191/7910 op=gather seconds=150.781 eta_seconds=850.625 bootstraps=116
node=1201/7910 op=mul seconds=153.005 eta_seconds=854.715 bootstraps=118
node=1211/7910 op=repeat seconds=153.265 eta_seconds=847.831 bootstraps=118
node=1221/7910 op=mulp seconds=153.391 eta_seconds=840.323 bootstraps=118
node=1231/7910 op=add seconds=155.141 eta_seconds=841.744 bootstraps=120
node=1241/7910 op=add seconds=155.988 eta_seconds=838.263 bootstraps=120
node=1251/7910 op=scatter seconds=156.59 eta_seconds=833.52 bootstraps=120
node=1271/7910 op=mul seconds=157.546 eta_seconds=822.933 bootstraps=120
node=1281/7910 op=mul seconds=159.77 eta_seconds=826.786 bootstraps=122
node=1291/7910 op=scatter seconds=162.215 eta_seconds=831.68 bootstraps=124
node=1301/7910 op=gather seconds=164.404 eta_seconds=835.164 bootstraps=126
node=1321/7910 op=cheb seconds=166.72 eta_seconds=831.582 bootstraps=128
node=1331/7910 op=sum seconds=166.913 eta_seconds=825.033 bootstraps=128
