GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 1024 slots.
Plaintexts loaded: 120 ~ 3030MB
Rotation keys loaded: 50 ~ 9000MB
setup_seconds=15.6611
planned_logical_refreshes=0
node=1/428 op=public seconds=0.198083 eta_seconds=84.5814 bootstraps=0
node=11/428 op=gather seconds=1.03593 eta_seconds=39.2713 bootstraps=0
node=21/428 op=cheb seconds=3.7154 eta_seconds=72.0081 bootstraps=0
node=31/428 op=mulp seconds=4.01075 eta_seconds=51.3635 bootstraps=0
node=41/428 op=cheb seconds=4.71715 eta_seconds=44.5253 bootstraps=0
node=51/428 op=mul seconds=4.99522 eta_seconds=36.9255 bootstraps=0
node=61/428 op=gather seconds=5.18709 eta_seconds=31.2076 bootstraps=0
node=71/428 op=mul seconds=5.51725 eta_seconds=27.7417 bootstraps=0
node=81/428 op=mulp seconds=5.73902 eta_seconds=24.5857 bootstraps=0
node=91/428 op=mul seconds=6.42211 eta_seconds=23.783 bootstraps=0
node=101/428 op=mul seconds=7.09095 eta_seconds=22.9578 bootstraps=0
node=111/428 op=input seconds=7.7105 eta_seconds=22.0201 bootstraps=0
node=121/428 op=addp seconds=8.05068 eta_seconds=20.4261 bootstraps=0
node=131/428 op=mulp seconds=10.5966 eta_seconds=24.0243 bootstraps=0
node=141/428 op=mul seconds=11.2147 eta_seconds=22.8271 bootstraps=0
node=151/428 op=repeat seconds=11.5508 eta_seconds=21.1892 bootstraps=0
node=161/428 op=mul seconds=11.7785 eta_seconds=19.5334 bootstraps=0
node=171/428 op=gather seconds=12.0398 eta_seconds=18.0949 bootstraps=0
node=181/428 op=scatter seconds=12.2584 eta_seconds=16.7284 bootstraps=0
node=191/428 op=mul seconds=12.3419 eta_seconds=15.3143 bootstraps=0
node=201/428 op=add seconds=12.9473 eta_seconds=14.6221 bootstraps=0
node=211/428 op=sum seconds=13.658 eta_seconds=14.0464 bootstraps=0
node=221/428 op=gather seconds=14.2555 eta_seconds=13.3525 bootstraps=0
node=231/428 op=cheb seconds=16.6122 eta_seconds=14.1671 bootstraps=0
node=241/428 op=mul seconds=17.0706 eta_seconds=13.2456 bootstraps=0
node=251/428 op=mulp seconds=17.5824 eta_seconds=12.3987 bootstraps=0
node=261/428 op=gather seconds=17.9871 eta_seconds=11.509 bootstraps=0
node=271/428 op=scatter seconds=18.2035 eta_seconds=10.5459 bootstraps=0
node=281/428 op=mulp seconds=18.4589 eta_seconds=9.65641 bootstraps=0
node=291/428 op=scatter seconds=18.6268 eta_seconds=8.76932 bootstraps=0
node=301/428 op=repeat seconds=19.1933 eta_seconds=8.09818 bootstraps=0
node=311/428 op=repeat seconds=19.7276 eta_seconds=7.42162 bootstraps=0
node=321/428 op=mul seconds=20.1731 eta_seconds=6.72437 bootstraps=0
node=331/428 op=gather seconds=20.6649 eta_seconds=6.05589 bootstraps=0
node=341/428 op=repeat seconds=23.2535 eta_seconds=5.93272 bootstraps=0
node=351/428 op=cheb seconds=23.8503 eta_seconds=5.23212 bootstraps=0
node=361/428 op=mul seconds=24.2093 eta_seconds=4.49314 bootstraps=0
node=371/428 op=mulp seconds=24.4405 eta_seconds=3.75501 bootstraps=0
node=381/428 op=scatter seconds=24.6038 eta_seconds=3.03511 bootstraps=0
node=391/428 op=add seconds=24.8229 eta_seconds=2.34897 bootstraps=0
node=401/428 op=mul seconds=24.9947 eta_seconds=1.68293 bootstraps=0
node=411/428 op=repeat seconds=25.6063 eta_seconds=1.05914 bootstraps=0
node=421/428 op=repeat seconds=26.1339 eta_seconds=0.43453 bootstraps=0
node=428/428 op=linear seconds=26.5309 eta_seconds=0 bootstraps=0
passed=1 polynomial_error=4.45841e-12 exact_error=7.72229e-08 eval_seconds=26.531
