GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.7549
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.183698 eta_seconds=1452.87 bootstraps=0
node=11/7910 op=public seconds=1.52875 eta_seconds=1097.78 bootstraps=0
node=21/7910 op=mul seconds=2.38495 eta_seconds=895.946 bootstraps=0
node=31/7910 op=gather seconds=4.2685 eta_seconds=1084.89 bootstraps=0
node=41/7910 op=mul seconds=5.28197 eta_seconds=1013.75 bootstraps=0
node=51/7910 op=repeat seconds=5.97199 eta_seconds=920.272 bootstraps=0
node=61/7910 op=mulp seconds=6.34768 eta_seconds=816.77 bootstraps=0
node=71/7910 op=add seconds=6.91308 eta_seconds=763.262 bootstraps=0
node=81/7910 op=add seconds=7.67186 eta_seconds=741.518 bootstraps=0
node=91/7910 op=scatter seconds=8.33488 eta_seconds=716.159 bootstraps=0
node=111/7910 op=mul seconds=10.9304 eta_seconds=767.983 bootstraps=2
node=121/7910 op=mul seconds=11.7941 eta_seconds=759.211 bootstraps=2
node=131/7910 op=scatter seconds=14.7271 eta_seconds=874.517 bootstraps=4
node=141/7910 op=gather seconds=18.3 eta_seconds=1008.32 bootstraps=8
node=161/7910 op=cheb seconds=20.4974 eta_seconds=986.55 bootstraps=10
node=171/7910 op=sum seconds=20.7307 eta_seconds=938.217 bootstraps=10
node=181/7910 op=addp seconds=20.8765 eta_seconds=891.463 bootstraps=10
node=191/7910 op=scatter seconds=23.0355 eta_seconds=930.946 bootstraps=12
node=201/7910 op=mul seconds=24.3567 eta_seconds=934.16 bootstraps=12
node=211/7910 op=scatter seconds=25.0088 eta_seconds=912.525 bootstraps=12
node=221/7910 op=sum seconds=25.3415 eta_seconds=881.676 bootstraps=12
node=231/7910 op=scatter seconds=27.4055 eta_seconds=911.026 bootstraps=14
node=241/7910 op=gather seconds=29.657 eta_seconds=943.733 bootstraps=16
node=251/7910 op=cheb seconds=33.2084 eta_seconds=1013.32 bootstraps=20
node=271/7910 op=repeat seconds=35.9097 eta_seconds=1012.23 bootstraps=22
node=281/7910 op=addp seconds=36.3436 eta_seconds=986.71 bootstraps=22
node=291/7910 op=repeat seconds=36.6205 eta_seconds=958.802 bootstraps=22
node=301/7910 op=mul seconds=36.9383 eta_seconds=933.765 bootstraps=22
node=311/7910 op=scatter seconds=39.3898 eta_seconds=962.453 bootstraps=24
node=321/7910 op=mul seconds=40.2393 eta_seconds=951.326 bootstraps=24
node=341/7910 op=add seconds=41.4669 eta_seconds=920.42 bootstraps=24
node=351/7910 op=cheb seconds=43.8551 eta_seconds=944.446 bootstraps=26
node=361/7910 op=add seconds=46.3449 eta_seconds=969.134 bootstraps=28
node=371/7910 op=linear seconds=48.4148 eta_seconds=983.824 bootstraps=30
node=381/7910 op=cheb seconds=50.1665 eta_seconds=991.348 bootstraps=32
node=391/7910 op=add seconds=50.6356 eta_seconds=973.732 bootstraps=32
node=401/7910 op=mulp seconds=50.9189 eta_seconds=953.491 bootstraps=32
node=411/7910 op=addp seconds=51.0667 eta_seconds=931.75 bootstraps=32
node=421/7910 op=mul seconds=51.3665 eta_seconds=913.738 bootstraps=32
node=431/7910 op=gather seconds=55.9901 eta_seconds=971.577 bootstraps=36
node=441/7910 op=add seconds=56.4044 eta_seconds=955.293 bootstraps=36
node=451/7910 op=mulp seconds=56.9795 eta_seconds=942.372 bootstraps=36
node=461/7910 op=add seconds=59.4924 eta_seconds=961.299 bootstraps=38
node=471/7910 op=linear seconds=61.5639 eta_seconds=972.343 bootstraps=40
node=481/7910 op=mulp seconds=63.6043 eta_seconds=982.362 bootstraps=42
node=491/7910 op=gather seconds=65.6753 eta_seconds=992.353 bootstraps=44
node=501/7910 op=cheb seconds=67.6338 eta_seconds=1000.2 bootstraps=46
node=511/7910 op=sum seconds=68.0985 eta_seconds=986.029 bootstraps=46
node=521/7910 op=addp seconds=68.3262 eta_seconds=969.025 bootstraps=46
node=531/7910 op=gather seconds=68.7303 eta_seconds=955.105 bootstraps=46
node=541/7910 op=add seconds=70.7738 eta_seconds=964.014 bootstraps=48
node=551/7910 op=add seconds=72.0024 eta_seconds=961.644 bootstraps=48
node=561/7910 op=add seconds=72.9704 eta_seconds=955.899 bootstraps=48
node=571/7910 op=repeat seconds=73.2374 eta_seconds=941.312 bootstraps=48
node=581/7910 op=mulp seconds=75.5128 eta_seconds=952.553 bootstraps=50
node=591/7910 op=mul seconds=79.1261 eta_seconds=979.906 bootstraps=54
node=601/7910 op=mul seconds=81.1621 eta_seconds=987.045 bootstraps=56
node=611/7910 op=gather seconds=81.8838 eta_seconds=978.184 bootstraps=56
node=621/7910 op=mul seconds=84.0773 eta_seconds=986.859 bootstraps=58
node=631/7910 op=repeat seconds=84.3556 eta_seconds=973.098 bootstraps=58
node=641/7910 op=mulp seconds=84.5289 eta_seconds=958.565 bootstraps=58
node=651/7910 op=add seconds=84.841 eta_seconds=946.023 bootstraps=58
node=661/7910 op=add seconds=88.8218 eta_seconds=974.084 bootstraps=62
node=671/7910 op=scatter seconds=89.6618 eta_seconds=967.305 bootstraps=62
node=691/7910 op=mul seconds=90.8154 eta_seconds=948.765 bootstraps=62
node=701/7910 op=mul seconds=93.1041 eta_seconds=957.472 bootstraps=64
node=711/7910 op=scatter seconds=95.6095 eta_seconds=968.063 bootstraps=66
node=721/7910 op=gather seconds=97.847 eta_seconds=975.62 bootstraps=68
node=741/7910 op=cheb seconds=100.255 eta_seconds=969.946 bootstraps=70
