GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.669
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.194974 eta_seconds=1542.05 bootstraps=0
node=11/7910 op=public seconds=1.5418 eta_seconds=1107.15 bootstraps=0
node=21/7910 op=mul seconds=2.4035 eta_seconds=902.916 bootstraps=0
node=31/7910 op=gather seconds=4.55429 eta_seconds=1157.52 bootstraps=0
node=41/7910 op=mul seconds=5.64302 eta_seconds=1083.05 bootstraps=0
node=51/7910 op=repeat seconds=6.34001 eta_seconds=976.983 bootstraps=0
node=61/7910 op=mulp seconds=6.72163 eta_seconds=864.887 bootstraps=0
node=71/7910 op=add seconds=7.33611 eta_seconds=809.968 bootstraps=0
node=81/7910 op=add seconds=8.15961 eta_seconds=788.661 bootstraps=0
node=91/7910 op=scatter seconds=8.885 eta_seconds=763.427 bootstraps=0
node=111/7910 op=mul seconds=11.6542 eta_seconds=818.839 bootstraps=2
node=121/7910 op=mul seconds=12.6106 eta_seconds=811.77 bootstraps=2
node=131/7910 op=scatter seconds=15.7471 eta_seconds=935.09 bootstraps=4
node=141/7910 op=gather seconds=19.42 eta_seconds=1070.03 bootstraps=8
node=161/7910 op=cheb seconds=21.6677 eta_seconds=1042.88 bootstraps=10
node=171/7910 op=sum seconds=21.9061 eta_seconds=991.41 bootstraps=10
node=181/7910 op=addp seconds=22.0558 eta_seconds=941.818 bootstraps=10
node=191/7910 op=scatter seconds=24.2859 eta_seconds=981.481 bootstraps=12
node=201/7910 op=mul seconds=25.7148 eta_seconds=986.247 bootstraps=12
node=211/7910 op=scatter seconds=26.421 eta_seconds=964.055 bootstraps=12
node=221/7910 op=sum seconds=26.8119 eta_seconds=932.836 bootstraps=12
node=231/7910 op=scatter seconds=28.9632 eta_seconds=962.805 bootstraps=14
node=241/7910 op=gather seconds=31.3015 eta_seconds=996.062 bootstraps=16
node=251/7910 op=cheb seconds=34.9268 eta_seconds=1065.75 bootstraps=20
node=271/7910 op=repeat seconds=37.7363 eta_seconds=1063.72 bootstraps=22
node=281/7910 op=addp seconds=38.2431 eta_seconds=1038.28 bootstraps=22
node=291/7910 op=repeat seconds=38.5238 eta_seconds=1008.63 bootstraps=22
