GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.1755
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.187108 eta_seconds=1479.84 bootstraps=0
node=11/7910 op=public seconds=1.53055 eta_seconds=1099.07 bootstraps=0
node=21/7910 op=mul seconds=2.38834 eta_seconds=897.218 bootstraps=0
node=31/7910 op=gather seconds=4.54509 eta_seconds=1155.18 bootstraps=0
node=41/7910 op=mul seconds=5.63937 eta_seconds=1082.35 bootstraps=0
node=51/7910 op=repeat seconds=6.34337 eta_seconds=977.501 bootstraps=0
node=61/7910 op=mulp seconds=6.72438 eta_seconds=865.24 bootstraps=0
node=71/7910 op=add seconds=7.34105 eta_seconds=810.514 bootstraps=0
node=81/7910 op=add seconds=8.1668 eta_seconds=789.357 bootstraps=0
node=91/7910 op=scatter seconds=8.8899 eta_seconds=763.847 bootstraps=0
node=111/7910 op=mul seconds=11.661 eta_seconds=819.32 bootstraps=2
node=121/7910 op=mul seconds=12.6231 eta_seconds=812.574 bootstraps=2
node=131/7910 op=scatter seconds=15.7668 eta_seconds=936.259 bootstraps=4
node=141/7910 op=gather seconds=19.4309 eta_seconds=1070.63 bootstraps=8
node=161/7910 op=cheb seconds=21.6757 eta_seconds=1043.26 bootstraps=10
node=171/7910 op=sum seconds=21.9152 eta_seconds=991.822 bootstraps=10
node=181/7910 op=addp seconds=22.0649 eta_seconds=942.209 bootstraps=10
node=191/7910 op=scatter seconds=24.2974 eta_seconds=981.947 bootstraps=12
node=201/7910 op=mul seconds=25.7323 eta_seconds=986.919 bootstraps=12
node=211/7910 op=scatter seconds=26.4368 eta_seconds=964.629 bootstraps=12
node=221/7910 op=sum seconds=26.8266 eta_seconds=933.348 bootstraps=12
node=231/7910 op=scatter seconds=28.976 eta_seconds=963.233 bootstraps=14
node=241/7910 op=gather seconds=31.3153 eta_seconds=996.501 bootstraps=16
node=251/7910 op=cheb seconds=34.9195 eta_seconds=1065.53 bootstraps=20
node=271/7910 op=repeat seconds=37.7365 eta_seconds=1063.72 bootstraps=22
node=281/7910 op=addp seconds=38.2459 eta_seconds=1038.36 bootstraps=22
node=291/7910 op=repeat seconds=38.528 eta_seconds=1008.74 bootstraps=22
node=301/7910 op=mul seconds=38.8749 eta_seconds=982.721 bootstraps=22
node=311/7910 op=scatter seconds=41.4157 eta_seconds=1011.95 bootstraps=24
node=321/7910 op=mul seconds=42.3383 eta_seconds=1000.95 bootstraps=24
node=341/7910 op=add seconds=43.7334 eta_seconds=970.728 bootstraps=24
node=351/7910 op=cheb seconds=46.2235 eta_seconds=995.451 bootstraps=26
node=361/7910 op=add seconds=48.8478 eta_seconds=1021.47 bootstraps=28
