GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.2717
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.38199 eta_seconds=1078.5 bootstraps=0
node=20/7814 op=repeat seconds=2.30633 eta_seconds=898.779 bootstraps=0
node=30/7814 op=gather seconds=3.94773 eta_seconds=1024.3 bootstraps=0
node=40/7814 op=cheb seconds=5.0148 eta_seconds=974.627 bootstraps=0
node=50/7814 op=mul seconds=5.52898 eta_seconds=858.54 bootstraps=0
node=60/7814 op=repeat seconds=5.89154 eta_seconds=761.383 bootstraps=0
node=70/7814 op=add seconds=6.30019 eta_seconds=696.981 bootstraps=0
node=80/7814 op=mulp seconds=7.1114 eta_seconds=687.495 bootstraps=0
node=90/7814 op=mul seconds=7.57714 eta_seconds=650.287 bootstraps=0
node=100/7814 op=repeat seconds=8.34111 eta_seconds=643.433 bootstraps=0
node=110/7814 op=gather seconds=10.0016 eta_seconds=700.473 bootstraps=0
node=120/7814 op=repeat seconds=12.1635 eta_seconds=779.882 bootstraps=0
node=130/7814 op=cheb seconds=12.7859 eta_seconds=755.746 bootstraps=0
node=140/7814 op=mul seconds=13.1328 eta_seconds=719.866 bootstraps=0
node=150/7814 op=mulp seconds=13.5572 eta_seconds=692.685 bootstraps=0
node=160/7814 op=gather seconds=14.214 eta_seconds=679.96 bootstraps=0
node=170/7814 op=scatter seconds=14.5732 eta_seconds=655.278 bootstraps=0
node=180/7814 op=add seconds=14.8703 eta_seconds=630.667 bootstraps=0
node=190/7814 op=repeat seconds=16.5425 eta_seconds=663.791 bootstraps=2
node=200/7814 op=mul seconds=16.8092 eta_seconds=639.928 bootstraps=2
node=210/7814 op=mul seconds=17.0259 eta_seconds=616.5 bootstraps=2
node=220/7814 op=mul seconds=18.9317 eta_seconds=653.487 bootstraps=4
node=230/7814 op=mulp seconds=20.303 eta_seconds=669.471 bootstraps=4
node=240/7814 op=mul seconds=22.0497 eta_seconds=695.853 bootstraps=6
node=250/7814 op=linear_ref seconds=23.396 eta_seconds=707.868 bootstraps=6
node=260/7814 op=mulp seconds=24.5342 eta_seconds=712.814 bootstraps=8
node=270/7814 op=mul seconds=25.1933 eta_seconds=703.919 bootstraps=8
node=280/7814 op=repeat seconds=25.481 eta_seconds=685.621 bootstraps=8
node=290/7814 op=gather seconds=26.132 eta_seconds=677.99 bootstraps=8
node=300/7814 op=addp seconds=26.1779 eta_seconds=655.669 bootstraps=8
node=310/7814 op=cheb seconds=28.527 eta_seconds=690.537 bootstraps=10
node=320/7814 op=repeat seconds=29.0137 eta_seconds=679.465 bootstraps=10
node=330/7814 op=mul seconds=29.3559 eta_seconds=665.756 bootstraps=10
node=340/7814 op=add seconds=29.9382 eta_seconds=658.111 bootstraps=10
node=350/7814 op=mulp seconds=30.9931 eta_seconds=660.95 bootstraps=10
node=360/7814 op=add seconds=33.0954 eta_seconds=685.259 bootstraps=12
node=370/7814 op=linear seconds=34.0359 eta_seconds=684.766 bootstraps=12
node=380/7814 op=cheb seconds=34.3257 eta_seconds=671.519 bootstraps=12
node=390/7814 op=mul seconds=34.9468 eta_seconds=665.243 bootstraps=12
node=400/7814 op=gather seconds=35.3301 eta_seconds=654.844 bootstraps=12
node=410/7814 op=scatter seconds=35.723 eta_seconds=645.105 bootstraps=12
node=420/7814 op=gather seconds=36.212 eta_seconds=637.504 bootstraps=12
node=430/7814 op=gather seconds=38.555 eta_seconds=662.071 bootstraps=14
node=440/7814 op=add seconds=39.3766 eta_seconds=659.916 bootstraps=14
node=450/7814 op=mul seconds=39.822 eta_seconds=651.665 bootstraps=14
node=460/7814 op=scatter seconds=40.5734 eta_seconds=648.645 bootstraps=14
node=470/7814 op=addp seconds=42.3131 eta_seconds=661.165 bootstraps=16
node=480/7814 op=cheb seconds=44.3102 eta_seconds=677.022 bootstraps=18
node=490/7814 op=gather seconds=45.1956 eta_seconds=675.536 bootstraps=18
node=500/7814 op=mulp seconds=45.2992 eta_seconds=662.637 bootstraps=18
node=510/7814 op=mulp seconds=46.0889 eta_seconds=660.066 bootstraps=18
node=520/7814 op=cheb seconds=48.2572 eta_seconds=676.9 bootstraps=20
node=530/7814 op=addp seconds=48.6153 eta_seconds=668.139 bootstraps=20
node=540/7814 op=mul seconds=48.9816 eta_seconds=659.801 bootstraps=20
node=550/7814 op=mul seconds=49.575 eta_seconds=654.75 bootstraps=20
