GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.4807
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.4188 eta_seconds=1107.23 bootstraps=0
node=20/7814 op=repeat seconds=2.34236 eta_seconds=912.817 bootstraps=0
node=30/7814 op=gather seconds=3.3837 eta_seconds=877.957 bootstraps=0
node=40/7814 op=cheb seconds=4.31891 eta_seconds=839.381 bootstraps=0
node=50/7814 op=mul seconds=4.80336 eta_seconds=745.865 bootstraps=0
node=60/7814 op=repeat seconds=5.15609 eta_seconds=666.339 bootstraps=0
node=70/7814 op=add seconds=5.39426 eta_seconds=596.759 bootstraps=0
node=80/7814 op=mulp seconds=5.91507 eta_seconds=571.84 bootstraps=0
node=90/7814 op=mul seconds=6.21878 eta_seconds=533.709 bootstraps=0
node=100/7814 op=repeat seconds=6.95382 eta_seconds=536.418 bootstraps=0
node=110/7814 op=gather seconds=7.99228 eta_seconds=559.75 bootstraps=0
node=120/7814 op=repeat seconds=10.0228 eta_seconds=642.631 bootstraps=0
node=130/7814 op=cheb seconds=10.6132 eta_seconds=627.323 bootstraps=0
node=140/7814 op=mul seconds=10.9512 eta_seconds=600.283 bootstraps=0
node=150/7814 op=mulp seconds=11.2382 eta_seconds=574.199 bootstraps=0
node=160/7814 op=gather seconds=11.6518 eta_seconds=557.394 bootstraps=0
node=170/7814 op=scatter seconds=11.8921 eta_seconds=534.723 bootstraps=0
node=180/7814 op=add seconds=12.0852 eta_seconds=512.545 bootstraps=0
node=190/7814 op=repeat seconds=13.5636 eta_seconds=544.256 bootstraps=2
node=200/7814 op=mul seconds=13.8272 eta_seconds=526.401 bootstraps=2
node=210/7814 op=mul seconds=14.0463 eta_seconds=508.61 bootstraps=2
node=220/7814 op=mul seconds=15.6082 eta_seconds=538.768 bootstraps=4
node=230/7814 op=mulp seconds=16.4909 eta_seconds=543.77 bootstraps=4
node=240/7814 op=mul seconds=18.0318 eta_seconds=569.055 bootstraps=6
node=250/7814 op=linear_ref seconds=18.9483 eta_seconds=573.301 bootstraps=6
node=260/7814 op=mulp seconds=20.0567 eta_seconds=582.724 bootstraps=8
node=270/7814 op=mul seconds=20.4818 eta_seconds=572.278 bootstraps=8
node=280/7814 op=repeat seconds=20.7639 eta_seconds=558.697 bootstraps=8
node=290/7814 op=gather seconds=21.1856 eta_seconds=549.656 bootstraps=8
node=300/7814 op=addp seconds=21.2322 eta_seconds=531.796 bootstraps=8
node=310/7814 op=cheb seconds=23.3184 eta_seconds=564.457 bootstraps=10
node=320/7814 op=repeat seconds=23.783 eta_seconds=556.967 bootstraps=10
node=330/7814 op=mul seconds=24.0113 eta_seconds=544.548 bootstraps=10
node=340/7814 op=add seconds=24.3708 eta_seconds=535.727 bootstraps=10
node=350/7814 op=mulp seconds=25.3168 eta_seconds=539.898 bootstraps=10
node=360/7814 op=add seconds=27.1163 eta_seconds=561.458 bootstraps=12
node=370/7814 op=linear seconds=27.7657 eta_seconds=558.617 bootstraps=12
node=380/7814 op=cheb seconds=28.0427 eta_seconds=548.605 bootstraps=12
node=390/7814 op=mul seconds=28.5709 eta_seconds=543.872 bootstraps=12
node=400/7814 op=gather seconds=28.8809 eta_seconds=535.308 bootstraps=12
node=410/7814 op=scatter seconds=29.1345 eta_seconds=526.126 bootstraps=12
node=420/7814 op=gather seconds=29.4397 eta_seconds=518.278 bootstraps=12
node=430/7814 op=gather seconds=31.4244 eta_seconds=539.623 bootstraps=14
node=440/7814 op=add seconds=32.0262 eta_seconds=536.73 bootstraps=14
node=450/7814 op=mul seconds=32.3246 eta_seconds=528.975 bootstraps=14
node=460/7814 op=scatter seconds=32.8484 eta_seconds=525.146 bootstraps=14
node=470/7814 op=addp seconds=34.3489 eta_seconds=536.72 bootstraps=16
node=480/7814 op=cheb seconds=36.05 eta_seconds=550.814 bootstraps=18
node=490/7814 op=gather seconds=36.6437 eta_seconds=547.711 bootstraps=18
node=500/7814 op=mulp seconds=36.7387 eta_seconds=537.414 bootstraps=18
node=510/7814 op=mulp seconds=37.3216 eta_seconds=534.503 bootstraps=18
node=520/7814 op=cheb seconds=39.2393 eta_seconds=550.407 bootstraps=20
node=530/7814 op=addp seconds=39.5752 eta_seconds=543.898 bootstraps=20
node=540/7814 op=mul seconds=39.8158 eta_seconds=536.334 bootstraps=20
node=550/7814 op=mul seconds=40.1883 eta_seconds=530.777 bootstraps=20
node=560/7814 op=mulp seconds=40.6663 eta_seconds=526.773 bootstraps=20
node=570/7814 op=addp seconds=41.2285 eta_seconds=523.964 bootstraps=20
node=580/7814 op=mulp seconds=41.3138 eta_seconds=515.283 bootstraps=20
node=590/7814 op=add seconds=43.3086 eta_seconds=530.273 bootstraps=22
node=600/7814 op=mul seconds=43.8861 eta_seconds=527.657 bootstraps=22
node=610/7814 op=repeat seconds=45.2387 eta_seconds=534.262 bootstraps=22
node=620/7814 op=cheb seconds=45.664 eta_seconds=529.849 bootstraps=22
node=630/7814 op=mul seconds=45.9541 eta_seconds=524.022 bootstraps=22
node=640/7814 op=gather seconds=46.3264 eta_seconds=519.29 bootstraps=22
node=650/7814 op=mulp seconds=46.5012 eta_seconds=512.515 bootstraps=22
node=660/7814 op=gather seconds=48.5563 eta_seconds=526.321 bootstraps=24
node=670/7814 op=add seconds=49.1681 eta_seconds=524.264 bootstraps=24
node=680/7814 op=mul seconds=49.5343 eta_seconds=519.673 bootstraps=24
node=690/7814 op=add seconds=50.0627 eta_seconds=516.88 bootstraps=24
node=700/7814 op=sum seconds=51.5086 eta_seconds=523.474 bootstraps=26
node=710/7814 op=gather seconds=52.1751 eta_seconds=522.045 bootstraps=26
node=720/7814 op=gather seconds=53.6277 eta_seconds=528.382 bootstraps=28
node=730/7814 op=sum seconds=53.6881 eta_seconds=520.995 bootstraps=28
node=740/7814 op=sum seconds=54.2256 eta_seconds=518.367 bootstraps=28
node=750/7814 op=add seconds=55.997 eta_seconds=527.417 bootstraps=30
node=760/7814 op=mulp seconds=56.3934 eta_seconds=523.42 bootstraps=30
node=770/7814 op=add seconds=56.659 eta_seconds=518.319 bootstraps=30
node=780/7814 op=mulp seconds=57.0515 eta_seconds=514.488 bootstraps=30
node=790/7814 op=repeat seconds=57.536 eta_seconds=511.561 bootstraps=30
node=800/7814 op=gather seconds=57.9632 eta_seconds=508.192 bootstraps=30
node=810/7814 op=addp seconds=58.0129 eta_seconds=501.632 bootstraps=30
node=820/7814 op=scatter seconds=60.0351 eta_seconds=512.056 bootstraps=32
node=830/7814 op=cheb seconds=60.8582 eta_seconds=512.088 bootstraps=32
node=840/7814 op=cheb seconds=61.3805 eta_seconds=509.605 bootstraps=32
node=850/7814 op=repeat seconds=61.7367 eta_seconds=505.805 bootstraps=32
node=860/7814 op=mul seconds=61.9834 eta_seconds=501.201 bootstraps=32
node=870/7814 op=add seconds=62.3748 eta_seconds=497.851 bootstraps=32
node=880/7814 op=mul seconds=62.5679 eta_seconds=493.007 bootstraps=32
node=890/7814 op=addp seconds=64.1972 eta_seconds=499.44 bootstraps=34
node=900/7814 op=add seconds=64.7961 eta_seconds=497.778 bootstraps=34
node=910/7814 op=repeat seconds=65.165 eta_seconds=494.394 bootstraps=34
node=920/7814 op=gather seconds=66.5657 eta_seconds=498.809 bootstraps=36
node=930/7814 op=linear seconds=68.4586 eta_seconds=506.741 bootstraps=38
node=940/7814 op=mulp seconds=68.6804 eta_seconds=502.244 bootstraps=38
node=950/7814 op=gather seconds=70.508 eta_seconds=509.439 bootstraps=40
node=960/7814 op=addp seconds=70.5655 eta_seconds=503.808 bootstraps=40
node=970/7814 op=mul seconds=71.0887 eta_seconds=501.578 bootstraps=40
node=980/7814 op=mul seconds=72.9897 eta_seconds=508.991 bootstraps=42
node=990/7814 op=repeat seconds=73.4832 eta_seconds=506.515 bootstraps=42
node=1000/7814 op=mul seconds=73.738 eta_seconds=502.451 bootstraps=42
node=1010/7814 op=cheb seconds=74.3919 eta_seconds=501.151 bootstraps=42
node=1020/7814 op=gather seconds=74.9845 eta_seconds=499.456 bootstraps=42
node=1030/7814 op=sum seconds=75.0469 eta_seconds=494.29 bootstraps=42
node=1040/7814 op=scatter seconds=76.5756 eta_seconds=498.773 bootstraps=44
node=1050/7814 op=scatter seconds=76.8671 eta_seconds=495.17 bootstraps=44
node=1060/7814 op=mul seconds=77.2216 eta_seconds=492.033 bootstraps=44
node=1070/7814 op=cheb seconds=79.7806 eta_seconds=502.841 bootstraps=46
node=1080/7814 op=cheb seconds=80.6945 eta_seconds=503.145 bootstraps=46
node=1090/7814 op=repeat seconds=81.3248 eta_seconds=501.677 bootstraps=46
node=1100/7814 op=addp seconds=81.5422 eta_seconds=497.704 bootstraps=46
node=1110/7814 op=mul seconds=82.1017 eta_seconds=495.865 bootstraps=46
node=1120/7814 op=cheb seconds=83.7053 eta_seconds=500.288 bootstraps=48
node=1130/7814 op=mulp seconds=84.108 eta_seconds=497.503 bootstraps=48
node=1140/7814 op=mulp seconds=84.4491 eta_seconds=494.398 bootstraps=48
node=1150/7814 op=sum seconds=84.8544 eta_seconds=491.713 bootstraps=48
