GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.7742
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.203284 eta_seconds=1607.77 bootstraps=0
node=11/7910 op=public seconds=1.56271 eta_seconds=1122.17 bootstraps=0
node=21/7910 op=mul seconds=2.38225 eta_seconds=894.933 bootstraps=0
node=31/7910 op=gather seconds=4.05125 eta_seconds=1029.67 bootstraps=0
node=41/7910 op=mul seconds=4.97534 eta_seconds=954.902 bootstraps=0
node=51/7910 op=repeat seconds=5.64269 eta_seconds=869.527 bootstraps=0
node=61/7910 op=mulp seconds=5.96997 eta_seconds=768.169 bootstraps=0
node=71/7910 op=add seconds=6.44226 eta_seconds=711.28 bootstraps=0
node=81/7910 op=add seconds=6.97028 eta_seconds=673.708 bootstraps=0
node=91/7910 op=scatter seconds=7.42754 eta_seconds=638.197 bootstraps=0
node=111/7910 op=mul seconds=9.77663 eta_seconds=686.918 bootstraps=2
node=121/7910 op=mul seconds=10.5552 eta_seconds=679.456 bootstraps=2
node=131/7910 op=scatter seconds=13.2981 eta_seconds=789.662 bootstraps=4
node=141/7910 op=gather seconds=16.7669 eta_seconds=923.846 bootstraps=8
node=161/7910 op=cheb seconds=18.848 eta_seconds=907.161 bootstraps=10
node=171/7910 op=sum seconds=19.0532 eta_seconds=862.298 bootstraps=10
node=181/7910 op=addp seconds=19.1789 eta_seconds=818.971 bootstraps=10
node=191/7910 op=scatter seconds=21.0873 eta_seconds=852.214 bootstraps=12
node=201/7910 op=mul seconds=22.025 eta_seconds=844.731 bootstraps=12
node=211/7910 op=scatter seconds=22.4956 eta_seconds=820.823 bootstraps=12
node=221/7910 op=sum seconds=22.7489 eta_seconds=791.475 bootstraps=12
node=231/7910 op=scatter seconds=24.7357 eta_seconds=822.275 bootstraps=14
node=241/7910 op=gather seconds=26.8756 eta_seconds=855.223 bootstraps=16
node=251/7910 op=cheb seconds=30.3229 eta_seconds=925.27 bootstraps=20
node=271/7910 op=repeat seconds=32.8648 eta_seconds=926.398 bootstraps=22
node=281/7910 op=addp seconds=33.2534 eta_seconds=902.811 bootstraps=22
node=291/7910 op=repeat seconds=33.4925 eta_seconds=876.904 bootstraps=22
node=301/7910 op=mul seconds=33.7363 eta_seconds=852.822 bootstraps=22
node=311/7910 op=scatter seconds=35.9085 eta_seconds=877.39 bootstraps=24
node=321/7910 op=mul seconds=36.4979 eta_seconds=862.874 bootstraps=24
node=341/7910 op=add seconds=37.4074 eta_seconds=830.313 bootstraps=24
node=351/7910 op=cheb seconds=39.6605 eta_seconds=854.112 bootstraps=26
node=361/7910 op=add seconds=42.0397 eta_seconds=879.106 bootstraps=28
node=371/7910 op=linear seconds=44.0165 eta_seconds=894.449 bootstraps=30
node=381/7910 op=cheb seconds=45.726 eta_seconds=903.599 bootstraps=32
node=391/7910 op=add seconds=46.1401 eta_seconds=887.283 bootstraps=32
node=401/7910 op=mulp seconds=46.3881 eta_seconds=868.648 bootstraps=32
node=411/7910 op=addp seconds=46.5179 eta_seconds=848.754 bootstraps=32
node=421/7910 op=mul seconds=46.7459 eta_seconds=831.544 bootstraps=32
node=431/7910 op=gather seconds=50.7704 eta_seconds=881.001 bootstraps=36
node=441/7910 op=add seconds=51.0342 eta_seconds=864.342 bootstraps=36
node=451/7910 op=mulp seconds=51.4601 eta_seconds=851.089 bootstraps=36
node=461/7910 op=add seconds=53.8401 eta_seconds=869.967 bootstraps=38
node=471/7910 op=linear seconds=55.8198 eta_seconds=881.621 bootstraps=40
node=481/7910 op=mulp seconds=57.7593 eta_seconds=892.086 bootstraps=42
node=491/7910 op=gather seconds=59.7315 eta_seconds=902.542 bootstraps=44
node=501/7910 op=cheb seconds=61.6257 eta_seconds=911.347 bootstraps=46
node=511/7910 op=sum seconds=62.0427 eta_seconds=898.344 bootstraps=46
node=521/7910 op=addp seconds=62.2364 eta_seconds=882.658 bootstraps=46
node=531/7910 op=gather seconds=62.5634 eta_seconds=869.407 bootstraps=46
node=541/7910 op=add seconds=64.4039 eta_seconds=877.25 bootstraps=48
node=551/7910 op=add seconds=65.2979 eta_seconds=872.101 bootstraps=48
node=561/7910 op=add seconds=65.9712 eta_seconds=864.211 bootstraps=48
node=571/7910 op=repeat seconds=66.2203 eta_seconds=851.123 bootstraps=48
node=581/7910 op=mulp seconds=68.3818 eta_seconds=862.599 bootstraps=50
node=591/7910 op=mul seconds=71.8745 eta_seconds=890.101 bootstraps=54
node=601/7910 op=mul seconds=73.8312 eta_seconds=897.89 bootstraps=56
node=611/7910 op=gather seconds=74.459 eta_seconds=889.486 bootstraps=56
node=621/7910 op=mul seconds=76.572 eta_seconds=898.766 bootstraps=58
node=631/7910 op=repeat seconds=76.817 eta_seconds=886.135 bootstraps=58
node=641/7910 op=mulp seconds=76.9624 eta_seconds=872.761 bootstraps=58
node=651/7910 op=add seconds=77.2015 eta_seconds=860.838 bootstraps=58
node=661/7910 op=add seconds=80.84 eta_seconds=886.55 bootstraps=62
node=671/7910 op=scatter seconds=81.4174 eta_seconds=878.361 bootstraps=62
node=691/7910 op=mul seconds=82.3158 eta_seconds=859.967 bootstraps=62
node=701/7910 op=mul seconds=84.489 eta_seconds=868.875 bootstraps=64
node=711/7910 op=scatter seconds=86.8633 eta_seconds=879.506 bootstraps=66
node=721/7910 op=gather seconds=88.9881 eta_seconds=887.289 bootstraps=68
node=741/7910 op=cheb seconds=91.2809 eta_seconds=883.121 bootstraps=70
node=751/7910 op=sum seconds=91.462 eta_seconds=871.872 bootstraps=70
node=761/7910 op=addp seconds=91.5773 eta_seconds=860.297 bootstraps=70
node=771/7910 op=scatter seconds=93.4558 eta_seconds=865.345 bootstraps=72
node=781/7910 op=mul seconds=94.4986 eta_seconds=862.587 bootstraps=72
node=791/7910 op=scatter seconds=95.0296 eta_seconds=855.267 bootstraps=72
node=801/7910 op=sum seconds=95.3056 eta_seconds=845.852 bootstraps=72
node=811/7910 op=scatter seconds=97.556 eta_seconds=853.946 bootstraps=74
node=821/7910 op=gather seconds=98.1403 eta_seconds=847.402 bootstraps=74
node=831/7910 op=cheb seconds=101.542 eta_seconds=865 bootstraps=78
node=851/7910 op=repeat seconds=103.912 eta_seconds=861.947 bootstraps=80
node=861/7910 op=addp seconds=104.243 eta_seconds=853.434 bootstraps=80
node=871/7910 op=repeat seconds=107.282 eta_seconds=867.001 bootstraps=84
