GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.5818
planned_logical_refreshes=899
node=10/7814 op=public seconds=1.3936 eta_seconds=1087.57 bootstraps=0
node=20/7814 op=repeat seconds=2.32146 eta_seconds=904.675 bootstraps=0
node=30/7814 op=gather seconds=3.95639 eta_seconds=1026.55 bootstraps=0
node=40/7814 op=cheb seconds=5.03022 eta_seconds=977.623 bootstraps=0
node=50/7814 op=mul seconds=5.544 eta_seconds=860.872 bootstraps=0
node=60/7814 op=repeat seconds=5.90416 eta_seconds=763.014 bootstraps=0
node=70/7814 op=add seconds=6.33671 eta_seconds=701.021 bootstraps=0
node=80/7814 op=mul seconds=7.2117 eta_seconds=697.191 bootstraps=0
node=90/7814 op=gather seconds=7.56473 eta_seconds=649.222 bootstraps=0
node=100/7814 op=input seconds=8.14139 eta_seconds=628.027 bootstraps=0
node=110/7814 op=linear_ref seconds=10.0898 eta_seconds=706.652 bootstraps=0
node=120/7814 op=cheb seconds=10.422 eta_seconds=668.227 bootstraps=0
node=130/7814 op=add seconds=12.3579 eta_seconds=730.449 bootstraps=0
node=140/7814 op=mulp seconds=12.9566 eta_seconds=710.209 bootstraps=0
node=150/7814 op=addp seconds=13.2964 eta_seconds=679.356 bootstraps=0
node=160/7814 op=mul seconds=13.7026 eta_seconds=655.497 bootstraps=0
node=170/7814 op=gather seconds=14.5802 eta_seconds=655.596 bootstraps=0
node=180/7814 op=add seconds=14.7778 eta_seconds=626.745 bootstraps=0
node=190/7814 op=mul seconds=15.1429 eta_seconds=607.629 bootstraps=0
node=200/7814 op=repeat seconds=17.2302 eta_seconds=655.956 bootstraps=2
node=210/7814 op=addp seconds=17.9201 eta_seconds=648.878 bootstraps=2
node=220/7814 op=mul seconds=18.2867 eta_seconds=631.225 bootstraps=2
node=230/7814 op=mul seconds=19.0449 eta_seconds=627.984 bootstraps=2
node=240/7814 op=scatter seconds=21.809 eta_seconds=688.255 bootstraps=4
node=250/7814 op=linear_ref seconds=23.2252 eta_seconds=702.702 bootstraps=4
node=260/7814 op=mulp seconds=24.8589 eta_seconds=722.246 bootstraps=6
