GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.8676
planned_logical_refreshes=899
node=10/7910 op=public seconds=1.42248 eta_seconds=1123.76 bootstraps=0
node=20/7910 op=repeat seconds=2.35762 eta_seconds=930.079 bootstraps=0
node=30/7910 op=gather seconds=4.01042 eta_seconds=1053.4 bootstraps=0
node=40/7910 op=cheb seconds=5.09288 eta_seconds=1002.03 bootstraps=0
node=50/7910 op=mul seconds=5.61274 eta_seconds=882.323 bootstraps=0
node=60/7910 op=repeat seconds=5.97554 eta_seconds=781.799 bootstraps=0
node=70/7910 op=add seconds=6.39554 eta_seconds=716.301 bootstraps=0
node=80/7910 op=mul seconds=7.27723 eta_seconds=712.259 bootstraps=0
node=90/7910 op=gather seconds=7.6321 eta_seconds=663.145 bootstraps=0
node=100/7910 op=input seconds=8.21672 eta_seconds=641.725 bootstraps=0
node=110/7910 op=linear_ref seconds=10.1927 eta_seconds=722.754 bootstraps=0
node=120/7910 op=cheb seconds=10.5279 eta_seconds=683.434 bootstraps=0
node=130/7910 op=add seconds=12.4698 eta_seconds=746.27 bootstraps=0
node=140/7910 op=mulp seconds=13.0682 eta_seconds=725.287 bootstraps=0
node=150/7910 op=addp seconds=13.4101 eta_seconds=693.748 bootstraps=0
node=160/7910 op=mul seconds=13.8191 eta_seconds=669.361 bootstraps=0
node=170/7910 op=gather seconds=14.7014 eta_seconds=669.348 bootstraps=0
node=180/7910 op=add seconds=14.897 eta_seconds=639.744 bootstraps=0
node=190/7910 op=mul seconds=15.2609 eta_seconds=620.075 bootstraps=0
node=200/7910 op=repeat seconds=17.3426 eta_seconds=668.559 bootstraps=2
node=210/7910 op=addp seconds=18.0239 eta_seconds=660.877 bootstraps=2
node=220/7910 op=mul seconds=18.3915 eta_seconds=642.868 bootstraps=2
node=230/7910 op=mul seconds=19.1476 eta_seconds=639.362 bootstraps=2
node=240/7910 op=scatter seconds=21.9219 eta_seconds=700.588 bootstraps=4
node=250/7910 op=linear_ref seconds=23.3495 eta_seconds=715.429 bootstraps=4
node=260/7910 op=mulp seconds=25.0019 eta_seconds=735.633 bootstraps=6
node=270/7910 op=mul seconds=25.5966 eta_seconds=724.288 bootstraps=6
node=280/7910 op=repeat seconds=25.8202 eta_seconds=703.602 bootstraps=6
node=290/7910 op=gather seconds=26.4052 eta_seconds=693.82 bootstraps=6
node=300/7910 op=addp seconds=26.4463 eta_seconds=670.855 bootstraps=6
node=310/7910 op=cheb seconds=29.1042 eta_seconds=713.521 bootstraps=8
node=320/7910 op=repeat seconds=29.4722 eta_seconds=699.044 bootstraps=8
node=330/7910 op=mul seconds=29.7357 eta_seconds=683.019 bootstraps=8
node=340/7910 op=add seconds=30.1749 eta_seconds=671.835 bootstraps=8
node=350/7910 op=mulp seconds=30.9931 eta_seconds=669.451 bootstraps=8
node=360/7910 op=add seconds=33.4132 eta_seconds=700.749 bootstraps=10
node=370/7910 op=linear seconds=34.156 eta_seconds=696.044 bootstraps=10
node=380/7910 op=cheb seconds=34.3852 eta_seconds=681.369 bootstraps=10
node=390/7910 op=mul seconds=34.8595 eta_seconds=672.163 bootstraps=10
node=400/7910 op=gather seconds=35.1541 eta_seconds=660.019 bootstraps=10
node=410/7910 op=scatter seconds=35.4549 eta_seconds=648.565 bootstraps=10
node=420/7910 op=gather seconds=35.8289 eta_seconds=638.95 bootstraps=10
node=430/7910 op=gather seconds=38.3769 eta_seconds=667.58 bootstraps=12
node=440/7910 op=add seconds=39.0457 eta_seconds=662.889 bootstraps=12
node=450/7910 op=mul seconds=39.3816 eta_seconds=652.86 bootstraps=12
node=460/7910 op=scatter seconds=39.9528 eta_seconds=647.062 bootstraps=12
node=470/7910 op=addp seconds=41.9954 eta_seconds=664.778 bootstraps=14
node=480/7910 op=cheb seconds=44.2525 eta_seconds=684.992 bootstraps=16
node=490/7910 op=gather seconds=44.9183 eta_seconds=680.191 bootstraps=16
node=500/7910 op=mulp seconds=44.9926 eta_seconds=666.791 bootstraps=16
node=510/7910 op=mulp seconds=45.5943 eta_seconds=661.565 bootstraps=16
node=520/7910 op=cheb seconds=48.067 eta_seconds=683.105 bootstraps=18
node=530/7910 op=addp seconds=48.3472 eta_seconds=673.212 bootstraps=18
node=540/7910 op=mul seconds=48.6258 eta_seconds=663.653 bootstraps=18
node=550/7910 op=mul seconds=49.079 eta_seconds=656.766 bootstraps=18
node=560/7910 op=mulp seconds=49.5405 eta_seconds=650.219 bootstraps=18
node=570/7910 op=addp seconds=50.179 eta_seconds=646.164 bootstraps=18
