GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.508
planned_logical_refreshes=853
node=10/7985 op=public seconds=1.39726 eta_seconds=1114.32 bootstraps=0
node=20/7985 op=mul seconds=2.0998 eta_seconds=836.246 bootstraps=0
node=30/7985 op=mulp seconds=3.04566 eta_seconds=807.607 bootstraps=0
node=40/7985 op=repeat seconds=4.61834 eta_seconds=917.318 bootstraps=0
node=50/7985 op=gather seconds=6.60006 eta_seconds=1047.43 bootstraps=0
node=60/7985 op=sum seconds=6.74727 eta_seconds=891.202 bootstraps=0
node=70/7985 op=mul seconds=6.82565 eta_seconds=771.786 bootstraps=0
node=80/7985 op=gather seconds=7.60527 eta_seconds=751.496 bootstraps=0
node=90/7985 op=add seconds=8.124 eta_seconds=712.655 bootstraps=0
node=100/7985 op=mul seconds=8.51893 eta_seconds=671.718 bootstraps=0
node=110/7985 op=mulp seconds=8.86857 eta_seconds=634.909 bootstraps=0
node=120/7985 op=mul seconds=9.38027 eta_seconds=614.798 bootstraps=0
node=130/7985 op=gather seconds=9.63135 eta_seconds=581.956 bootstraps=0
node=140/7985 op=mul seconds=10.0114 eta_seconds=560.997 bootstraps=0
node=150/7985 op=mul seconds=11.3637 eta_seconds=593.562 bootstraps=0
node=160/7985 op=mulp seconds=11.4995 eta_seconds=562.4 bootstraps=0
node=170/7985 op=mul seconds=11.8133 eta_seconds=543.065 bootstraps=0
node=180/7985 op=scatter seconds=14.2713 eta_seconds=618.819 bootstraps=2
node=190/7985 op=add seconds=14.6909 eta_seconds=602.713 bootstraps=2
node=200/7985 op=sum seconds=15.5587 eta_seconds=605.623 bootstraps=2
node=210/7985 op=mul seconds=16.1341 eta_seconds=597.347 bootstraps=2
node=220/7985 op=scatter seconds=18.0694 eta_seconds=637.768 bootstraps=4
node=230/7985 op=gather seconds=18.595 eta_seconds=626.974 bootstraps=4
node=240/7985 op=mulp seconds=19.046 eta_seconds=614.631 bootstraps=4
node=250/7985 op=mul seconds=21.5813 eta_seconds=667.726 bootstraps=6
node=260/7985 op=sum seconds=22.0539 eta_seconds=655.255 bootstraps=6
node=270/7985 op=gather seconds=24.484 eta_seconds=699.607 bootstraps=8
node=280/7985 op=mulp seconds=24.5267 eta_seconds=674.921 bootstraps=8
node=290/7985 op=gather seconds=25.0303 eta_seconds=664.166 bootstraps=8
node=300/7985 op=gather seconds=25.0647 eta_seconds=642.074 bootstraps=8
node=310/7985 op=gather seconds=27.2704 eta_seconds=675.161 bootstraps=10
node=320/7985 op=gather seconds=27.647 eta_seconds=662.232 bootstraps=10
node=330/7985 op=add seconds=27.947 eta_seconds=648.287 bootstraps=10
node=340/7985 op=mul seconds=28.4114 eta_seconds=638.839 bootstraps=10
node=350/7985 op=mulp seconds=28.8774 eta_seconds=629.94 bootstraps=10
node=360/7985 op=gather seconds=31.5443 eta_seconds=668.126 bootstraps=12
node=370/7985 op=mul seconds=31.8123 eta_seconds=654.731 bootstraps=12
node=380/7985 op=mulp seconds=31.9945 eta_seconds=640.31 bootstraps=12
node=390/7985 op=mul seconds=32.2423 eta_seconds=627.899 bootstraps=12
node=400/7985 op=scatter seconds=32.3592 eta_seconds=613.611 bootstraps=12
node=410/7985 op=gather seconds=32.9524 eta_seconds=608.816 bootstraps=12
node=420/7985 op=scatter seconds=33.2353 eta_seconds=598.631 bootstraps=12
node=430/7985 op=mul seconds=35.6518 eta_seconds=626.394 bootstraps=14
node=440/7985 op=mul seconds=36.0319 eta_seconds=617.865 bootstraps=14
node=450/7985 op=scatter seconds=36.5885 eta_seconds=612.654 bootstraps=14
node=460/7985 op=mul seconds=37.0521 eta_seconds=606.125 bootstraps=14
node=470/7985 op=gather seconds=39.3083 eta_seconds=628.515 bootstraps=16
node=480/7985 op=linear_ref seconds=40.2058 eta_seconds=628.635 bootstraps=16
node=490/7985 op=scatter seconds=42.5447 eta_seconds=650.76 bootstraps=18
node=500/7985 op=mulp seconds=42.9653 eta_seconds=643.191 bootstraps=18
node=510/7985 op=gather seconds=45.2734 eta_seconds=663.566 bootstraps=20
node=520/7985 op=linear_ref seconds=45.8654 eta_seconds=658.433 bootstraps=20
node=530/7985 op=addp seconds=45.9138 eta_seconds=645.825 bootstraps=20
node=540/7985 op=sum seconds=45.9485 eta_seconds=633.494 bootstraps=20
node=550/7985 op=gather seconds=48.1912 eta_seconds=651.457 bootstraps=22
node=560/7985 op=gather seconds=50.3078 eta_seconds=667.028 bootstraps=24
node=570/7985 op=mulp seconds=50.3655 eta_seconds=655.193 bootstraps=24
node=580/7985 op=repeat seconds=50.4522 eta_seconds=644.136 bootstraps=24
node=590/7985 op=mul seconds=51.2943 eta_seconds=642.917 bootstraps=24
node=600/7985 op=cheb seconds=52.4254 eta_seconds=645.269 bootstraps=24
node=610/7985 op=gather seconds=52.6212 eta_seconds=636.199 bootstraps=24
node=620/7985 op=mul seconds=55.0786 eta_seconds=654.281 bootstraps=26
node=630/7985 op=scatter seconds=55.3284 eta_seconds=645.938 bootstraps=26
node=640/7985 op=scatter seconds=55.4169 eta_seconds=635.996 bootstraps=26
node=650/7985 op=scatter seconds=55.641 eta_seconds=627.887 bootstraps=26
node=660/7985 op=cheb seconds=55.9516 eta_seconds=620.978 bootstraps=26
node=670/7985 op=mul seconds=56.0569 eta_seconds=612.024 bootstraps=26
node=680/7985 op=mul seconds=57.9403 eta_seconds=622.432 bootstraps=28
node=690/7985 op=mul seconds=58.3239 eta_seconds=616.627 bootstraps=28
node=700/7985 op=add seconds=58.8994 eta_seconds=612.975 bootstraps=28
node=710/7985 op=mul seconds=60.6776 eta_seconds=621.732 bootstraps=30
node=720/7985 op=gather seconds=61.6765 eta_seconds=622.334 bootstraps=30
node=730/7985 op=mulp seconds=63.8302 eta_seconds=634.367 bootstraps=32
node=740/7985 op=cheb_batch seconds=65.9766 eta_seconds=645.946 bootstraps=34
node=750/7985 op=gather seconds=66.5613 eta_seconds=642.095 bootstraps=34
node=760/7985 op=mul seconds=66.6293 eta_seconds=633.417 bootstraps=34
node=770/7985 op=mul seconds=67.204 eta_seconds=629.711 bootstraps=34
node=780/7985 op=addp seconds=67.2391 eta_seconds=621.099 bootstraps=34
node=790/7985 op=gather seconds=69.5117 eta_seconds=633.085 bootstraps=36
node=800/7985 op=gather seconds=70.1735 eta_seconds=630.246 bootstraps=36
node=810/7985 op=scatter seconds=70.7533 eta_seconds=626.734 bootstraps=36
node=820/7985 op=repeat seconds=72.8704 eta_seconds=636.727 bootstraps=38
node=830/7985 op=mulp seconds=72.9351 eta_seconds=628.736 bootstraps=38
node=840/7985 op=cheb seconds=73.805 eta_seconds=627.781 bootstraps=38
node=850/7985 op=repeat seconds=73.873 eta_seconds=620.099 bootstraps=38
node=860/7985 op=gather seconds=76.2385 eta_seconds=631.627 bootstraps=40
node=870/7985 op=scatter seconds=76.4339 eta_seconds=625.088 bootstraps=40
node=880/7985 op=add seconds=76.507 eta_seconds=617.707 bootstraps=40
node=890/7985 op=mulp seconds=76.717 eta_seconds=611.581 bootstraps=40
node=900/7985 op=mul seconds=76.9575 eta_seconds=605.827 bootstraps=40
node=910/7985 op=scatter seconds=77.2317 eta_seconds=600.455 bootstraps=40
node=920/7985 op=mul seconds=79.0376 eta_seconds=606.957 bootstraps=42
node=930/7985 op=mul seconds=79.6407 eta_seconds=604.156 bootstraps=42
node=940/7985 op=scatter seconds=80.1169 eta_seconds=600.451 bootstraps=42
node=950/7985 op=linear seconds=82.3926 eta_seconds=610.139 bootstraps=44
node=960/7985 op=gather seconds=84.66 eta_seconds=619.517 bootstraps=46
node=970/7985 op=mul seconds=85.1445 eta_seconds=615.762 bootstraps=46
node=980/7985 op=gather seconds=87.267 eta_seconds=623.781 bootstraps=48
node=990/7985 op=gather seconds=87.7854 eta_seconds=620.262 bootstraps=48
node=1000/7985 op=linear_ref seconds=88.3971 eta_seconds=617.453 bootstraps=48
node=1010/7985 op=mul seconds=88.4322 eta_seconds=610.707 bootstraps=48
node=1020/7985 op=mulp seconds=88.47 eta_seconds=604.112 bootstraps=48
node=1030/7985 op=gather seconds=90.8991 eta_seconds=613.79 bootstraps=50
node=1040/7985 op=mul seconds=91.184 eta_seconds=608.917 bootstraps=50
node=1050/7985 op=gather seconds=91.575 eta_seconds=604.831 bootstraps=50
node=1060/7985 op=scatter seconds=92.119 eta_seconds=601.815 bootstraps=50
node=1070/7985 op=gather seconds=94.746 eta_seconds=612.307 bootstraps=52
node=1080/7985 op=mulp seconds=95.0016 eta_seconds=607.395 bootstraps=52
node=1090/7985 op=add seconds=95.1718 eta_seconds=602.027 bootstraps=52
node=1100/7985 op=mul seconds=95.423 eta_seconds=597.261 bootstraps=52
node=1110/7985 op=scatter seconds=95.5404 eta_seconds=591.748 bootstraps=52
node=1120/7985 op=repeat seconds=96.2607 eta_seconds=590.026 bootstraps=52
node=1130/7985 op=add seconds=96.4757 eta_seconds=585.258 bootstraps=52
node=1140/7985 op=sum seconds=99.0645 eta_seconds=594.822 bootstraps=54
node=1150/7985 op=mul seconds=99.5149 eta_seconds=591.465 bootstraps=54
node=1160/7985 op=scatter seconds=99.9722 eta_seconds=588.198 bootstraps=54
node=1170/7985 op=add seconds=100.595 eta_seconds=585.945 bootstraps=54
node=1180/7985 op=mulp seconds=102.435 eta_seconds=590.739 bootstraps=56
node=1190/7985 op=gather seconds=103.132 eta_seconds=588.89 bootstraps=56
node=1200/7985 op=mul seconds=105.528 eta_seconds=596.674 bootstraps=58
node=1210/7985 op=add seconds=106.319 eta_seconds=595.298 bootstraps=58
node=1220/7985 op=mul seconds=108.105 eta_seconds=599.453 bootstraps=60
node=1230/7985 op=addp seconds=108.625 eta_seconds=596.556 bootstraps=60
node=1240/7985 op=addp seconds=109.201 eta_seconds=594 bootstraps=60
node=1250/7985 op=mulp seconds=109.236 eta_seconds=588.561 bootstraps=60
node=1260/7985 op=mulp seconds=109.263 eta_seconds=583.168 bootstraps=60
node=1270/7985 op=gather seconds=113.612 eta_seconds=600.714 bootstraps=64
node=1280/7985 op=mulp seconds=113.641 eta_seconds=595.282 bootstraps=64
node=1290/7985 op=mul seconds=113.724 eta_seconds=590.218 bootstraps=64
node=1300/7985 op=gather seconds=114.304 eta_seconds=587.788 bootstraps=64
node=1310/7985 op=gather seconds=114.776 eta_seconds=584.83 bootstraps=64
node=1320/7985 op=mul seconds=115.519 eta_seconds=583.283 bootstraps=64
node=1330/7985 op=gather seconds=115.914 eta_seconds=580.006 bootstraps=64
node=1340/7985 op=mulp seconds=118.153 eta_seconds=585.913 bootstraps=66
node=1350/7985 op=mul seconds=118.396 eta_seconds=581.892 bootstraps=66
node=1360/7985 op=scatter seconds=118.507 eta_seconds=577.285 bootstraps=66
node=1370/7985 op=mul seconds=118.71 eta_seconds=573.188 bootstraps=66
node=1380/7985 op=mulp seconds=118.954 eta_seconds=569.339 bootstraps=66
node=1390/7985 op=mul seconds=119.193 eta_seconds=565.522 bootstraps=66
node=1400/7985 op=scatter seconds=121.279 eta_seconds=570.443 bootstraps=68
node=1410/7985 op=mul seconds=121.673 eta_seconds=567.374 bootstraps=68
node=1420/7985 op=cheb_batch seconds=123.743 eta_seconds=572.095 bootstraps=70
node=1430/7985 op=mul seconds=124.295 eta_seconds=569.758 bootstraps=70
node=1440/7985 op=add seconds=127.114 eta_seconds=577.75 bootstraps=72
node=1450/7985 op=scatter seconds=127.516 eta_seconds=574.701 bootstraps=72
node=1460/7985 op=linear seconds=129.815 eta_seconds=580.166 bootstraps=74
node=1470/7985 op=sum seconds=129.837 eta_seconds=575.433 bootstraps=74
node=1480/7985 op=mul seconds=130.398 eta_seconds=573.133 bootstraps=74
node=1490/7985 op=mul seconds=130.435 eta_seconds=568.575 bootstraps=74
node=1500/7985 op=cheb_batch seconds=132.702 eta_seconds=573.716 bootstraps=76
node=1510/7985 op=gather seconds=133.049 eta_seconds=570.525 bootstraps=76
node=1520/7985 op=repeat seconds=133.373 eta_seconds=567.274 bootstraps=76
node=1530/7985 op=gather seconds=134.182 eta_seconds=566.107 bootstraps=76
node=1540/7985 op=gather seconds=134.684 eta_seconds=563.662 bootstraps=76
node=1550/7985 op=gather seconds=134.957 eta_seconds=560.291 bootstraps=76
node=1560/7985 op=mulp seconds=137.786 eta_seconds=567.482 bootstraps=78
node=1570/7985 op=gather seconds=139.989 eta_seconds=571.994 bootstraps=80
node=1580/7985 op=add seconds=140.01 eta_seconds=567.574 bootstraps=80
node=1590/7985 op=mul seconds=140.254 eta_seconds=564.103 bootstraps=80
node=1600/7985 op=mul seconds=140.458 eta_seconds=560.515 bootstraps=80
node=1610/7985 op=scatter seconds=140.706 eta_seconds=557.144 bootstraps=80
node=1620/7985 op=add seconds=140.81 eta_seconds=553.246 bootstraps=80
node=1630/7985 op=sum seconds=141.137 eta_seconds=550.26 bootstraps=80
node=1640/7985 op=sum seconds=143.151 eta_seconds=553.836 bootstraps=82
node=1650/7985 op=add seconds=143.42 eta_seconds=550.645 bootstraps=82
node=1660/7985 op=gather seconds=145.372 eta_seconds=553.904 bootstraps=84
node=1670/7985 op=mulp seconds=145.963 eta_seconds=551.952 bootstraps=84
node=1680/7985 op=mul seconds=148.809 eta_seconds=558.478 bootstraps=86
node=1690/7985 op=sum seconds=149.225 eta_seconds=555.84 bootstraps=86
