GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.5662
planned_logical_refreshes=623
node=1/7910 op=public seconds=0.192265 eta_seconds=1520.62 bootstraps=0
node=11/7910 op=public seconds=1.53524 eta_seconds=1102.44 bootstraps=0
node=21/7910 op=mul seconds=2.34613 eta_seconds=881.362 bootstraps=0
node=31/7910 op=gather seconds=3.98236 eta_seconds=1012.16 bootstraps=0
node=41/7910 op=mul seconds=4.89271 eta_seconds=939.043 bootstraps=0
node=51/7910 op=repeat seconds=5.55025 eta_seconds=855.283 bootstraps=0
node=61/7910 op=mulp seconds=5.87428 eta_seconds=755.856 bootstraps=0
node=71/7910 op=add seconds=6.34446 eta_seconds=700.482 bootstraps=0
node=81/7910 op=add seconds=6.87259 eta_seconds=664.265 bootstraps=0
node=91/7910 op=scatter seconds=7.32619 eta_seconds=629.489 bootstraps=0
node=111/7910 op=mul seconds=9.65935 eta_seconds=678.678 bootstraps=2
node=121/7910 op=mul seconds=10.426 eta_seconds=671.143 bootstraps=2
node=131/7910 op=scatter seconds=13.1377 eta_seconds=780.14 bootstraps=4
node=141/7910 op=gather seconds=16.5716 eta_seconds=913.081 bootstraps=8
node=161/7910 op=cheb seconds=18.6294 eta_seconds=896.643 bootstraps=10
node=171/7910 op=sum seconds=18.8319 eta_seconds=852.279 bootstraps=10
node=181/7910 op=addp seconds=18.9581 eta_seconds=809.544 bootstraps=10
node=191/7910 op=scatter seconds=20.8573 eta_seconds=842.918 bootstraps=12
node=201/7910 op=mul seconds=21.7921 eta_seconds=835.796 bootstraps=12
node=211/7910 op=scatter seconds=22.2571 eta_seconds=812.119 bootstraps=12
node=221/7910 op=sum seconds=22.5072 eta_seconds=783.069 bootstraps=12
node=231/7910 op=scatter seconds=24.4735 eta_seconds=813.559 bootstraps=14
node=241/7910 op=gather seconds=26.5943 eta_seconds=846.273 bootstraps=16
node=251/7910 op=cheb seconds=30.0059 eta_seconds=915.599 bootstraps=20
node=271/7910 op=repeat seconds=32.5417 eta_seconds=917.291 bootstraps=22
node=281/7910 op=addp seconds=32.9296 eta_seconds=894.021 bootstraps=22
node=291/7910 op=repeat seconds=33.165 eta_seconds=868.329 bootstraps=22
node=301/7910 op=mul seconds=33.4115 eta_seconds=844.613 bootstraps=22
node=311/7910 op=scatter seconds=35.5783 eta_seconds=869.324 bootstraps=24
node=321/7910 op=mul seconds=36.1719 eta_seconds=855.166 bootstraps=24
node=341/7910 op=add seconds=37.0818 eta_seconds=823.085 bootstraps=24
node=351/7910 op=cheb seconds=39.3265 eta_seconds=846.919 bootstraps=26
node=361/7910 op=add seconds=41.6866 eta_seconds=871.723 bootstraps=28
node=371/7910 op=linear seconds=43.6545 eta_seconds=887.092 bootstraps=30
node=381/7910 op=cheb seconds=45.36 eta_seconds=896.366 bootstraps=32
node=391/7910 op=add seconds=45.7773 eta_seconds=880.306 bootstraps=32
node=401/7910 op=mulp seconds=46.0233 eta_seconds=861.817 bootstraps=32
node=411/7910 op=addp seconds=46.1492 eta_seconds=842.026 bootstraps=32
node=421/7910 op=mul seconds=46.3752 eta_seconds=824.95 bootstraps=32
node=431/7910 op=gather seconds=50.3924 eta_seconds=874.443 bootstraps=36
node=441/7910 op=add seconds=50.6578 eta_seconds=857.966 bootstraps=36
node=451/7910 op=mulp seconds=51.0833 eta_seconds=844.856 bootstraps=36
node=461/7910 op=add seconds=53.457 eta_seconds=863.778 bootstraps=38
node=471/7910 op=linear seconds=55.4399 eta_seconds=875.621 bootstraps=40
node=481/7910 op=mulp seconds=57.3811 eta_seconds=886.246 bootstraps=42
node=491/7910 op=gather seconds=59.3424 eta_seconds=896.663 bootstraps=44
node=501/7910 op=cheb seconds=61.243 eta_seconds=905.687 bootstraps=46
node=511/7910 op=sum seconds=61.6502 eta_seconds=892.661 bootstraps=46
node=521/7910 op=addp seconds=61.839 eta_seconds=877.021 bootstraps=46
node=531/7910 op=gather seconds=62.1625 eta_seconds=863.837 bootstraps=46
node=541/7910 op=add seconds=63.9847 eta_seconds=871.541 bootstraps=48
node=551/7910 op=add seconds=64.8656 eta_seconds=866.326 bootstraps=48
node=561/7910 op=add seconds=65.5302 eta_seconds=858.433 bootstraps=48
node=571/7910 op=repeat seconds=65.7768 eta_seconds=845.421 bootstraps=48
node=581/7910 op=mulp seconds=67.9239 eta_seconds=856.823 bootstraps=50
node=591/7910 op=mul seconds=71.4013 eta_seconds=884.241 bootstraps=54
node=601/7910 op=mul seconds=73.3474 eta_seconds=892.007 bootstraps=56
node=611/7910 op=gather seconds=73.9755 eta_seconds=883.71 bootstraps=56
node=621/7910 op=mul seconds=76.0794 eta_seconds=892.983 bootstraps=58
node=631/7910 op=repeat seconds=76.3244 eta_seconds=880.452 bootstraps=58
node=641/7910 op=mulp seconds=76.4703 eta_seconds=867.181 bootstraps=58
node=651/7910 op=add seconds=76.71 eta_seconds=855.357 bootstraps=58
node=661/7910 op=add seconds=80.321 eta_seconds=880.858 bootstraps=62
node=671/7910 op=scatter seconds=80.9016 eta_seconds=872.797 bootstraps=62
node=691/7910 op=mul seconds=81.8091 eta_seconds=854.675 bootstraps=62
node=701/7910 op=mul seconds=83.9838 eta_seconds=863.679 bootstraps=64
node=711/7910 op=scatter seconds=86.3523 eta_seconds=874.333 bootstraps=66
node=721/7910 op=gather seconds=88.475 eta_seconds=882.173 bootstraps=68
node=741/7910 op=cheb seconds=90.7604 eta_seconds=878.086 bootstraps=70
node=751/7910 op=sum seconds=90.9386 eta_seconds=866.884 bootstraps=70
node=761/7910 op=addp seconds=91.0496 eta_seconds=855.339 bootstraps=70
node=771/7910 op=scatter seconds=92.9279 eta_seconds=860.457 bootstraps=72
node=781/7910 op=mul seconds=93.9701 eta_seconds=857.763 bootstraps=72
node=791/7910 op=scatter seconds=94.498 eta_seconds=850.482 bootstraps=72
node=801/7910 op=sum seconds=94.774 eta_seconds=841.134 bootstraps=72
