GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 1024 slots.
Plaintexts loaded: 120 ~ 3030MB
Rotation keys loaded: 50 ~ 9000MB
setup_seconds=15.4367
planned_logical_refreshes=0
node=1/428 op=public seconds=0.203504 eta_seconds=86.8962 bootstraps=0
node=11/428 op=gather seconds=0.915863 eta_seconds=34.7195 bootstraps=0
node=21/428 op=cheb seconds=3.18218 eta_seconds=61.6736 bootstraps=0
node=31/428 op=mulp seconds=3.45157 eta_seconds=44.2024 bootstraps=0
node=41/428 op=cheb seconds=4.09026 eta_seconds=38.608 bootstraps=0
node=51/428 op=mul seconds=4.38013 eta_seconds=32.3786 bootstraps=0
node=61/428 op=gather seconds=4.56621 eta_seconds=27.4721 bootstraps=0
node=71/428 op=mul seconds=4.84538 eta_seconds=24.3634 bootstraps=0
node=81/428 op=mulp seconds=5.0948 eta_seconds=21.8259 bootstraps=0
node=91/428 op=mul seconds=5.60855 eta_seconds=20.7701 bootstraps=0
node=101/428 op=mul seconds=6.14208 eta_seconds=19.8857 bootstraps=0
node=111/428 op=input seconds=6.66031 eta_seconds=19.0209 bootstraps=0
node=121/428 op=addp seconds=6.83746 eta_seconds=17.3479 bootstraps=0
node=131/428 op=mulp seconds=9.02124 eta_seconds=20.4527 bootstraps=0
node=141/428 op=mul seconds=9.58813 eta_seconds=19.5163 bootstraps=0
node=151/428 op=repeat seconds=9.9174 eta_seconds=18.1928 bootstraps=0
node=161/428 op=mul seconds=10.121 eta_seconds=16.7845 bootstraps=0
node=171/428 op=gather seconds=10.3397 eta_seconds=15.5398 bootstraps=0
node=181/428 op=scatter seconds=10.5361 eta_seconds=14.3779 bootstraps=0
node=191/428 op=mul seconds=10.6446 eta_seconds=13.2082 bootstraps=0
node=201/428 op=add seconds=11.0669 eta_seconds=12.4984 bootstraps=0
node=211/428 op=sum seconds=11.58 eta_seconds=11.9093 bootstraps=0
node=221/428 op=gather seconds=12.1026 eta_seconds=11.3359 bootstraps=0
node=231/428 op=cheb seconds=14.0102 eta_seconds=11.9481 bootstraps=0
node=241/428 op=mul seconds=14.4482 eta_seconds=11.2108 bootstraps=0
node=251/428 op=mulp seconds=14.9321 eta_seconds=10.5298 bootstraps=0
node=261/428 op=gather seconds=15.2964 eta_seconds=9.78737 bootstraps=0
node=271/428 op=scatter seconds=15.4871 eta_seconds=8.97224 bootstraps=0
node=281/428 op=mulp seconds=15.715 eta_seconds=8.22102 bootstraps=0
node=291/428 op=scatter seconds=15.8568 eta_seconds=7.46523 bootstraps=0
node=301/428 op=repeat seconds=16.2468 eta_seconds=6.85497 bootstraps=0
node=311/428 op=repeat seconds=16.661 eta_seconds=6.26797 bootstraps=0
node=321/428 op=mul seconds=17.0112 eta_seconds=5.67038 bootstraps=0
node=331/428 op=gather seconds=17.3738 eta_seconds=5.09143 bootstraps=0
node=341/428 op=repeat seconds=19.5554 eta_seconds=4.98922 bootstraps=0
node=351/428 op=cheb seconds=20.0959 eta_seconds=4.40851 bootstraps=0
node=361/428 op=mul seconds=20.4551 eta_seconds=3.79638 bootstraps=0
node=371/428 op=mulp seconds=20.6627 eta_seconds=3.17459 bootstraps=0
node=381/428 op=scatter seconds=20.8016 eta_seconds=2.56607 bootstraps=0
node=391/428 op=add seconds=21.0052 eta_seconds=1.98771 bootstraps=0
node=401/428 op=mul seconds=21.1661 eta_seconds=1.42515 bootstraps=0
node=411/428 op=repeat seconds=21.6548 eta_seconds=0.895696 bootstraps=0
node=421/428 op=repeat seconds=22.0627 eta_seconds=0.366839 bootstraps=0
node=428/428 op=linear seconds=22.3684 eta_seconds=0 bootstraps=0
passed=1 polynomial_error=6.60205e-12 exact_error=7.72203e-08 eval_seconds=22.3686
