GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.2297
planned_logical_refreshes=853
node=10/7985 op=public seconds=1.40981 eta_seconds=1124.33 bootstraps=0
node=20/7985 op=mul seconds=2.11349 eta_seconds=841.698 bootstraps=0
node=30/7985 op=mulp seconds=3.04305 eta_seconds=806.915 bootstraps=0
node=40/7985 op=repeat seconds=4.64218 eta_seconds=922.053 bootstraps=0
node=50/7985 op=gather seconds=6.63411 eta_seconds=1052.83 bootstraps=0
node=60/7985 op=sum seconds=6.77872 eta_seconds=895.356 bootstraps=0
node=70/7985 op=mul seconds=6.85559 eta_seconds=775.171 bootstraps=0
node=80/7985 op=gather seconds=7.63709 eta_seconds=754.64 bootstraps=0
node=90/7985 op=add seconds=8.14317 eta_seconds=714.337 bootstraps=0
node=100/7985 op=mul seconds=8.54038 eta_seconds=673.409 bootstraps=0
node=110/7985 op=mulp seconds=8.88997 eta_seconds=636.441 bootstraps=0
node=120/7985 op=mul seconds=9.41072 eta_seconds=616.794 bootstraps=0
node=130/7985 op=gather seconds=9.66336 eta_seconds=583.89 bootstraps=0
node=140/7985 op=mul seconds=10.0472 eta_seconds=563.004 bootstraps=0
node=150/7985 op=mul seconds=11.4018 eta_seconds=595.554 bootstraps=0
node=160/7985 op=mulp seconds=11.5375 eta_seconds=564.257 bootstraps=0
node=170/7985 op=mul seconds=11.859 eta_seconds=545.164 bootstraps=0
node=180/7985 op=scatter seconds=14.0888 eta_seconds=610.907 bootstraps=2
node=190/7985 op=add seconds=14.5146 eta_seconds=595.482 bootstraps=2
node=200/7985 op=sum seconds=15.3955 eta_seconds=599.269 bootstraps=2
node=210/7985 op=mul seconds=16.0041 eta_seconds=592.532 bootstraps=2
node=220/7985 op=scatter seconds=17.9228 eta_seconds=632.593 bootstraps=4
node=230/7985 op=gather seconds=18.4341 eta_seconds=621.55 bootstraps=4
node=240/7985 op=gather seconds=20.5606 eta_seconds=663.508 bootstraps=6
node=250/7985 op=scatter seconds=21.3143 eta_seconds=659.466 bootstraps=6
node=260/7985 op=sum seconds=21.8055 eta_seconds=647.876 bootstraps=6
node=270/7985 op=gather seconds=24.2037 eta_seconds=691.6 bootstraps=8
node=280/7985 op=mulp seconds=24.2556 eta_seconds=667.461 bootstraps=8
node=290/7985 op=gather seconds=24.7662 eta_seconds=657.159 bootstraps=8
node=300/7985 op=gather seconds=24.8009 eta_seconds=635.316 bootstraps=8
node=310/7985 op=gather seconds=26.4409 eta_seconds=654.626 bootstraps=10
node=320/7985 op=gather seconds=26.8503 eta_seconds=643.148 bootstraps=10
node=330/7985 op=add seconds=27.1518 eta_seconds=629.839 bootstraps=10
node=340/7985 op=mul seconds=27.6438 eta_seconds=621.579 bootstraps=10
