GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 6262MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.5608
planned_logical_refreshes=899
node=10/7814 op=public seconds=1.39197 eta_seconds=1086.29 bootstraps=0
node=20/7814 op=repeat seconds=2.31898 eta_seconds=903.706 bootstraps=0
node=30/7814 op=gather seconds=3.95265 eta_seconds=1025.58 bootstraps=0
node=40/7814 op=cheb seconds=5.02116 eta_seconds=975.863 bootstraps=0
node=50/7814 op=mul seconds=5.53636 eta_seconds=859.686 bootstraps=0
node=60/7814 op=repeat seconds=5.89247 eta_seconds=761.503 bootstraps=0
node=70/7814 op=add seconds=6.3152 eta_seconds=698.642 bootstraps=0
node=80/7814 op=mul seconds=7.18516 eta_seconds=694.626 bootstraps=0
node=90/7814 op=gather seconds=7.53498 eta_seconds=646.668 bootstraps=0
node=100/7814 op=input seconds=8.11243 eta_seconds=625.793 bootstraps=0
node=110/7814 op=linear_ref seconds=10.0616 eta_seconds=704.68 bootstraps=0
node=120/7814 op=cheb seconds=10.3908 eta_seconds=666.224 bootstraps=0
node=130/7814 op=add seconds=12.3145 eta_seconds=727.882 bootstraps=0
node=140/7814 op=mulp seconds=12.9087 eta_seconds=707.583 bootstraps=0
node=150/7814 op=addp seconds=13.2486 eta_seconds=676.917 bootstraps=0
node=160/7814 op=mul seconds=13.6591 eta_seconds=653.417 bootstraps=0
node=170/7814 op=gather seconds=14.5389 eta_seconds=653.736 bootstraps=0
node=180/7814 op=add seconds=14.7361 eta_seconds=624.972 bootstraps=0
node=190/7814 op=mul seconds=15.1003 eta_seconds=605.918 bootstraps=0
node=200/7814 op=repeat seconds=17.1818 eta_seconds=654.112 bootstraps=2
node=210/7814 op=addp seconds=17.8544 eta_seconds=646.498 bootstraps=2
node=220/7814 op=mul seconds=18.2186 eta_seconds=628.872 bootstraps=2
node=230/7814 op=mul seconds=18.9632 eta_seconds=625.291 bootstraps=2
node=240/7814 op=scatter seconds=21.7086 eta_seconds=685.088 bootstraps=4
node=250/7814 op=linear_ref seconds=23.1139 eta_seconds=699.334 bootstraps=4
node=260/7814 op=mulp seconds=24.7564 eta_seconds=719.27 bootstraps=6
node=270/7814 op=mul seconds=25.3513 eta_seconds=708.333 bootstraps=6
node=280/7814 op=repeat seconds=25.5734 eta_seconds=688.107 bootstraps=6
node=290/7814 op=gather seconds=26.1617 eta_seconds=678.762 bootstraps=6
node=300/7814 op=addp seconds=26.2028 eta_seconds=656.292 bootstraps=6
node=310/7814 op=cheb seconds=28.8477 eta_seconds=698.299 bootstraps=8
node=320/7814 op=repeat seconds=29.2165 eta_seconds=684.213 bootstraps=8
node=330/7814 op=mul seconds=29.4756 eta_seconds=668.472 bootstraps=8
node=340/7814 op=add seconds=29.9106 eta_seconds=657.505 bootstraps=8
node=350/7814 op=mulp seconds=30.7202 eta_seconds=655.131 bootstraps=8
node=360/7814 op=add seconds=33.1185 eta_seconds=685.737 bootstraps=10
node=370/7814 op=linear seconds=33.8516 eta_seconds=681.058 bootstraps=10
node=380/7814 op=cheb seconds=34.0788 eta_seconds=666.689 bootstraps=10
node=390/7814 op=mul seconds=34.5484 eta_seconds=657.66 bootstraps=10
node=400/7814 op=gather seconds=34.8376 eta_seconds=645.715 bootstraps=10
node=410/7814 op=scatter seconds=35.1366 eta_seconds=634.516 bootstraps=10
node=420/7814 op=gather seconds=35.5094 eta_seconds=625.135 bootstraps=10
node=430/7814 op=gather seconds=38.0339 eta_seconds=653.121 bootstraps=12
node=440/7814 op=add seconds=38.6898 eta_seconds=648.405 bootstraps=12
node=450/7814 op=mul seconds=39.0233 eta_seconds=638.595 bootstraps=12
node=460/7814 op=scatter seconds=39.5836 eta_seconds=632.821 bootstraps=12
node=470/7814 op=addp seconds=41.6218 eta_seconds=650.363 bootstraps=14
node=480/7814 op=cheb seconds=43.8721 eta_seconds=670.328 bootstraps=16
node=490/7814 op=gather seconds=44.5308 eta_seconds=665.599 bootstraps=16
node=500/7814 op=mulp seconds=44.6066 eta_seconds=652.506 bootstraps=16
node=510/7814 op=mulp seconds=45.198 eta_seconds=647.306 bootstraps=16
node=520/7814 op=cheb seconds=47.6553 eta_seconds=668.457 bootstraps=18
node=530/7814 op=addp seconds=47.9297 eta_seconds=658.717 bootstraps=18
node=540/7814 op=mul seconds=48.2029 eta_seconds=649.311 bootstraps=18
node=550/7814 op=mul seconds=48.6504 eta_seconds=642.54 bootstraps=18
node=560/7814 op=mulp seconds=49.1101 eta_seconds=636.151 bootstraps=18
node=570/7814 op=addp seconds=49.738 eta_seconds=632.109 bootstraps=18
node=580/7814 op=mulp seconds=49.807 eta_seconds=621.213 bootstraps=18
node=590/7814 op=add seconds=52.4439 eta_seconds=642.126 bootstraps=20
node=600/7814 op=mul seconds=53.1226 eta_seconds=638.71 bootstraps=20
node=610/7814 op=repeat seconds=54.264 eta_seconds=640.849 bootstraps=20
node=620/7814 op=cheb seconds=54.6057 eta_seconds=633.602 bootstraps=20
node=630/7814 op=mul seconds=54.915 eta_seconds=626.205 bootstraps=20
node=640/7814 op=gather seconds=55.3675 eta_seconds=620.635 bootstraps=20
node=650/7814 op=mulp seconds=55.5729 eta_seconds=612.498 bootstraps=20
node=660/7814 op=gather seconds=58.1848 eta_seconds=630.688 bootstraps=22
node=670/7814 op=add seconds=58.8627 eta_seconds=627.635 bootstraps=22
node=680/7814 op=mul seconds=59.2513 eta_seconds=621.615 bootstraps=22
node=690/7814 op=add seconds=59.8241 eta_seconds=617.662 bootstraps=22
node=700/7814 op=sum seconds=61.8488 eta_seconds=628.561 bootstraps=24
node=710/7814 op=gather seconds=62.5576 eta_seconds=625.929 bootstraps=24
node=720/7814 op=gather seconds=64.6075 eta_seconds=636.563 bootstraps=26
node=730/7814 op=sum seconds=64.664 eta_seconds=627.507 bootstraps=26
node=740/7814 op=sum seconds=65.2261 eta_seconds=623.526 bootstraps=26
node=750/7814 op=add seconds=67.5316 eta_seconds=636.058 bootstraps=28
node=760/7814 op=mulp seconds=67.8548 eta_seconds=629.799 bootstraps=28
node=770/7814 op=add seconds=68.144 eta_seconds=623.385 bootstraps=28
node=780/7814 op=mulp seconds=68.6109 eta_seconds=618.729 bootstraps=28
node=790/7814 op=repeat seconds=69.0764 eta_seconds=614.168 bootstraps=28
node=800/7814 op=gather seconds=69.5933 eta_seconds=610.159 bootstraps=28
node=810/7814 op=addp seconds=69.6353 eta_seconds=602.13 bootstraps=28
node=820/7814 op=scatter seconds=72.3061 eta_seconds=616.718 bootstraps=30
node=830/7814 op=cheb seconds=73.0245 eta_seconds=614.462 bootstraps=30
node=840/7814 op=cheb seconds=73.51 eta_seconds=610.308 bootstraps=30
node=850/7814 op=repeat seconds=73.7967 eta_seconds=604.612 bootstraps=30
node=860/7814 op=mul seconds=74.0735 eta_seconds=598.962 bootstraps=30
node=870/7814 op=add seconds=74.5372 eta_seconds=594.927 bootstraps=30
node=880/7814 op=mul seconds=74.7593 eta_seconds=589.069 bootstraps=30
node=890/7814 op=addp seconds=77.1138 eta_seconds=599.928 bootstraps=32
node=900/7814 op=add seconds=77.7724 eta_seconds=597.465 bootstraps=32
node=910/7814 op=repeat seconds=78.1184 eta_seconds=592.67 bootstraps=32
node=920/7814 op=gather seconds=80.1142 eta_seconds=600.334 bootstraps=34
node=930/7814 op=linear seconds=82.7779 eta_seconds=612.735 bootstraps=36
node=940/7814 op=mulp seconds=82.9485 eta_seconds=606.583 bootstraps=36
node=950/7814 op=gather seconds=85.4698 eta_seconds=617.542 bootstraps=38
node=960/7814 op=addp seconds=85.5206 eta_seconds=610.581 bootstraps=38
node=970/7814 op=mul seconds=86.083 eta_seconds=607.373 bootstraps=38
node=980/7814 op=mul seconds=88.4831 eta_seconds=617.034 bootstraps=40
node=990/7814 op=repeat seconds=88.8784 eta_seconds=612.632 bootstraps=40
node=1000/7814 op=mul seconds=89.1618 eta_seconds=607.549 bootstraps=40
node=1010/7814 op=cheb seconds=89.9042 eta_seconds=605.652 bootstraps=40
node=1020/7814 op=gather seconds=90.556 eta_seconds=603.174 bootstraps=40
node=1030/7814 op=sum seconds=90.6072 eta_seconds=596.776 bootstraps=40
node=1040/7814 op=scatter seconds=92.797 eta_seconds=604.43 bootstraps=42
node=1050/7814 op=scatter seconds=93.0749 eta_seconds=599.58 bootstraps=42
node=1060/7814 op=mul seconds=93.4365 eta_seconds=595.349 bootstraps=42
node=1070/7814 op=cheb seconds=96.3396 eta_seconds=607.21 bootstraps=44
node=1080/7814 op=cheb seconds=97.2281 eta_seconds=606.235 bootstraps=44
node=1090/7814 op=repeat seconds=97.7724 eta_seconds=603.139 bootstraps=44
node=1100/7814 op=addp seconds=97.9448 eta_seconds=597.819 bootstraps=44
node=1110/7814 op=mul seconds=98.618 eta_seconds=595.617 bootstraps=44
node=1120/7814 op=cheb seconds=100.77 eta_seconds=602.278 bootstraps=46
node=1130/7814 op=mulp seconds=101.217 eta_seconds=598.7 bootstraps=46
node=1140/7814 op=mulp seconds=101.647 eta_seconds=595.082 bootstraps=46
node=1150/7814 op=sum seconds=102.028 eta_seconds=591.228 bootstraps=46
node=1160/7814 op=add seconds=102.393 eta_seconds=587.345 bootstraps=46
node=1170/7814 op=mulp seconds=104.318 eta_seconds=592.384 bootstraps=48
node=1180/7814 op=cheb seconds=104.966 eta_seconds=590.124 bootstraps=48
node=1190/7814 op=mulp seconds=105.014 eta_seconds=584.551 bootstraps=48
node=1200/7814 op=cheb seconds=107.81 eta_seconds=594.212 bootstraps=50
node=1210/7814 op=mul seconds=108.293 eta_seconds=591.049 bootstraps=50
node=1220/7814 op=gather seconds=108.595 eta_seconds=586.95 bootstraps=50
node=1230/7814 op=scatter seconds=108.914 eta_seconds=583.002 bootstraps=50
node=1240/7814 op=gather seconds=109.286 eta_seconds=579.39 bootstraps=50
node=1250/7814 op=sum seconds=110.07 eta_seconds=577.999 bootstraps=50
node=1260/7814 op=add seconds=112.243 eta_seconds=583.84 bootstraps=52
node=1270/7814 op=linear seconds=112.975 eta_seconds=582.135 bootstraps=52
node=1280/7814 op=mulp seconds=113.152 eta_seconds=577.608 bootstraps=52
node=1290/7814 op=addp seconds=113.78 eta_seconds=575.425 bootstraps=52
node=1300/7814 op=mulp seconds=113.85 eta_seconds=570.476 bootstraps=52
node=1310/7814 op=cheb seconds=116.846 eta_seconds=580.125 bootstraps=54
node=1320/7814 op=cheb seconds=117.52 eta_seconds=578.163 bootstraps=54
node=1330/7814 op=repeat seconds=117.708 eta_seconds=573.848 bootstraps=54
node=1340/7814 op=add seconds=117.969 eta_seconds=569.947 bootstraps=54
node=1350/7814 op=mul seconds=118.421 eta_seconds=567.015 bootstraps=54
node=1360/7814 op=add seconds=118.63 eta_seconds=562.968 bootstraps=54
node=1370/7814 op=addp seconds=120.915 eta_seconds=568.74 bootstraps=56
node=1380/7814 op=add seconds=121.576 eta_seconds=566.827 bootstraps=56
node=1390/7814 op=repeat seconds=122.152 eta_seconds=564.536 bootstraps=56
node=1400/7814 op=addp seconds=122.524 eta_seconds=561.333 bootstraps=56
node=1410/7814 op=gather seconds=124.711 eta_seconds=566.418 bootstraps=58
node=1420/7814 op=sum seconds=124.795 eta_seconds=561.929 bootstraps=58
node=1430/7814 op=gather seconds=125.537 eta_seconds=560.44 bootstraps=58
node=1440/7814 op=cheb seconds=128.141 eta_seconds=567.203 bootstraps=60
node=1450/7814 op=repeat seconds=128.294 eta_seconds=563.079 bootstraps=60
node=1460/7814 op=mul seconds=129.22 eta_seconds=562.373 bootstraps=60
node=1470/7814 op=addp seconds=129.928 eta_seconds=560.722 bootstraps=60
node=1480/7814 op=add seconds=131.847 eta_seconds=564.271 bootstraps=62
node=1490/7814 op=scatter seconds=132.054 eta_seconds=560.478 bootstraps=62
node=1500/7814 op=add seconds=132.425 eta_seconds=557.419 bootstraps=62
node=1510/7814 op=gather seconds=133.171 eta_seconds=555.966 bootstraps=62
node=1520/7814 op=addp seconds=133.257 eta_seconds=551.789 bootstraps=62
node=1530/7814 op=sum seconds=135.846 eta_seconds=557.945 bootstraps=64
node=1540/7814 op=cheb seconds=136.788 eta_seconds=557.277 bootstraps=64
node=1550/7814 op=cheb seconds=137.387 eta_seconds=555.221 bootstraps=64
node=1560/7814 op=repeat seconds=137.67 eta_seconds=551.917 bootstraps=64
node=1570/7814 op=gather seconds=138.524 eta_seconds=550.921 bootstraps=64
node=1580/7814 op=add seconds=141.016 eta_seconds=556.389 bootstraps=66
node=1590/7814 op=mul seconds=141.058 eta_seconds=552.165 bootstraps=66
node=1600/7814 op=mulp seconds=141.496 eta_seconds=549.535 bootstraps=66
node=1610/7814 op=mul seconds=141.716 eta_seconds=546.092 bootstraps=66
node=1620/7814 op=sum seconds=142.019 eta_seconds=543.003 bootstraps=66
node=1630/7814 op=linear seconds=144.198 eta_seconds=547.067 bootstraps=68
node=1640/7814 op=cheb seconds=144.325 eta_seconds=543.331 bootstraps=68
node=1650/7814 op=mulp seconds=144.454 eta_seconds=539.645 bootstraps=68
node=1660/7814 op=repeat seconds=145.327 eta_seconds=538.759 bootstraps=68
node=1670/7814 op=add seconds=147.696 eta_seconds=543.381 bootstraps=70
node=1680/7814 op=mulp seconds=148.019 eta_seconds=540.444 bootstraps=70
node=1690/7814 op=add seconds=148.258 eta_seconds=537.238 bootstraps=70
node=1700/7814 op=mulp seconds=148.635 eta_seconds=534.562 bootstraps=70
node=1710/7814 op=linear_ref seconds=149.388 eta_seconds=533.254 bootstraps=70
node=1720/7814 op=scatter seconds=151.424 eta_seconds=536.498 bootstraps=72
node=1730/7814 op=repeat seconds=151.979 eta_seconds=534.476 bootstraps=72
node=1740/7814 op=addp seconds=152.35 eta_seconds=531.826 bootstraps=72
node=1750/7814 op=gather seconds=153.109 eta_seconds=530.546 bootstraps=72
node=1760/7814 op=mulp seconds=153.319 eta_seconds=527.382 bootstraps=72
node=1770/7814 op=cheb seconds=155.326 eta_seconds=530.39 bootstraps=74
node=1780/7814 op=cheb seconds=156.863 eta_seconds=531.747 bootstraps=74
node=1790/7814 op=mulp seconds=157.072 eta_seconds=528.606 bootstraps=74
node=1800/7814 op=gather seconds=157.436 eta_seconds=526.011 bootstraps=74
node=1810/7814 op=gather seconds=157.712 eta_seconds=523.151 bootstraps=74
node=1820/7814 op=scatter seconds=157.975 eta_seconds=520.277 bootstraps=74
node=1830/7814 op=mulp seconds=160.167 eta_seconds=523.736 bootstraps=76
node=1840/7814 op=scatter seconds=160.836 eta_seconds=522.194 bootstraps=76
node=1850/7814 op=add seconds=161.188 eta_seconds=519.635 bootstraps=76
node=1860/7814 op=mul seconds=161.703 eta_seconds=517.623 bootstraps=76
node=1870/7814 op=gather seconds=163.891 eta_seconds=520.944 bootstraps=78
node=1880/7814 op=cheb seconds=164.069 eta_seconds=517.865 bootstraps=78
node=1890/7814 op=mulp seconds=164.121 eta_seconds=514.421 bootstraps=78
node=1900/7814 op=mulp seconds=166.756 eta_seconds=519.051 bootstraps=80
node=1910/7814 op=mul seconds=167.141 eta_seconds=516.65 bootstraps=80
node=1920/7814 op=mulp seconds=167.382 eta_seconds=513.829 bootstraps=80
node=1930/7814 op=mul seconds=167.753 eta_seconds=511.43 bootstraps=80
node=1940/7814 op=cheb seconds=168.242 eta_seconds=509.41 bootstraps=80
node=1950/7814 op=scatter seconds=170.518 eta_seconds=512.778 bootstraps=82
node=1960/7814 op=sum seconds=171.076 eta_seconds=510.958 bootstraps=82
node=1970/7814 op=sum seconds=171.591 eta_seconds=509.023 bootstraps=82
node=1980/7814 op=gather seconds=172.339 eta_seconds=507.792 bootstraps=82
node=1990/7814 op=repeat seconds=172.524 eta_seconds=504.916 bootstraps=82
node=2000/7814 op=addp seconds=172.567 eta_seconds=501.652 bootstraps=82
node=2010/7814 op=mul seconds=175.77 eta_seconds=507.547 bootstraps=84
node=2020/7814 op=mulp seconds=176.311 eta_seconds=505.716 bootstraps=84
node=2030/7814 op=gather seconds=176.638 eta_seconds=503.288 bootstraps=84
node=2040/7814 op=gather seconds=176.915 eta_seconds=500.738 bootstraps=84
node=2050/7814 op=scatter seconds=177.178 eta_seconds=498.173 bootstraps=84
node=2060/7814 op=sum seconds=179.522 eta_seconds=501.442 bootstraps=86
node=2070/7814 op=scatter seconds=180.203 eta_seconds=500.042 bootstraps=86
node=2080/7814 op=repeat seconds=180.603 eta_seconds=497.874 bootstraps=86
node=2090/7814 op=linear_ref seconds=181.117 eta_seconds=496.035 bootstraps=86
node=2100/7814 op=mulp seconds=182.732 eta_seconds=497.204 bootstraps=88
node=2110/7814 op=mul seconds=183.352 eta_seconds=495.658 bootstraps=88
node=2120/7814 op=repeat seconds=183.505 eta_seconds=492.868 bootstraps=88
node=2130/7814 op=repeat seconds=186.521 eta_seconds=497.74 bootstraps=90
node=2140/7814 op=cheb seconds=186.956 eta_seconds=495.695 bootstraps=90
node=2150/7814 op=gather seconds=187.354 eta_seconds=493.569 bootstraps=90
node=2160/7814 op=linear_ref seconds=188.538 eta_seconds=493.516 bootstraps=90
node=2170/7814 op=add seconds=190.208 eta_seconds=494.717 bootstraps=92
node=2180/7814 op=mul seconds=190.648 eta_seconds=492.712 bootstraps=92
node=2190/7814 op=add seconds=190.867 eta_seconds=490.152 bootstraps=92
node=2200/7814 op=mul seconds=191.528 eta_seconds=488.745 bootstraps=92
node=2210/7814 op=gather seconds=192.285 eta_seconds=487.586 bootstraps=92
node=2220/7814 op=sum seconds=192.351 eta_seconds=484.689 bootstraps=92
node=2230/7814 op=mul seconds=194.363 eta_seconds=486.693 bootstraps=94
node=2240/7814 op=repeat seconds=196.522 eta_seconds=489.025 bootstraps=94
node=2250/7814 op=mulp seconds=196.952 eta_seconds=487.042 bootstraps=94
node=2260/7814 op=gather seconds=197.4 eta_seconds=485.114 bootstraps=94
node=2270/7814 op=mul seconds=198.01 eta_seconds=483.597 bootstraps=94
node=2280/7814 op=addp seconds=200.543 eta_seconds=486.757 bootstraps=96
node=2290/7814 op=scatter seconds=200.944 eta_seconds=484.722 bootstraps=96
node=2300/7814 op=add seconds=201.074 eta_seconds=482.054 bootstraps=96
node=2310/7814 op=sum seconds=201.458 eta_seconds=480.012 bootstraps=96
node=2320/7814 op=add seconds=201.823 eta_seconds=477.937 bootstraps=96
node=2330/7814 op=mulp seconds=203.759 eta_seconds=479.576 bootstraps=98
node=2340/7814 op=cheb seconds=204.416 eta_seconds=478.194 bootstraps=98
node=2350/7814 op=mulp seconds=204.463 eta_seconds=475.399 bootstraps=98
node=2360/7814 op=cheb seconds=207.322 eta_seconds=479.126 bootstraps=100
node=2370/7814 op=mul seconds=207.799 eta_seconds=477.323 bootstraps=100
node=2380/7814 op=gather seconds=208.073 eta_seconds=475.071 bootstraps=100
node=2390/7814 op=cheb seconds=209.136 eta_seconds=474.624 bootstraps=100
node=2400/7814 op=mul seconds=211.19 eta_seconds=476.409 bootstraps=102
node=2410/7814 op=add seconds=211.622 eta_seconds=474.525 bootstraps=102
node=2420/7814 op=add seconds=211.793 eta_seconds=472.072 bootstraps=102
node=2430/7814 op=cheb seconds=212.194 eta_seconds=470.144 bootstraps=102
node=2440/7814 op=gather seconds=212.856 eta_seconds=468.808 bootstraps=102
node=2450/7814 op=sum seconds=212.94 eta_seconds=466.209 bootstraps=102
node=2460/7814 op=addp seconds=215.531 eta_seconds=469.087 bootstraps=104
node=2470/7814 op=cheb seconds=216.485 eta_seconds=468.378 bootstraps=104
node=2480/7814 op=cheb seconds=217.198 eta_seconds=467.15 bootstraps=104
node=2490/7814 op=repeat seconds=217.351 eta_seconds=464.73 bootstraps=104
node=2500/7814 op=mulp seconds=218.272 eta_seconds=463.959 bootstraps=104
node=2510/7814 op=scatter seconds=220.687 eta_seconds=466.344 bootstraps=106
node=2520/7814 op=add seconds=220.732 eta_seconds=463.712 bootstraps=106
node=2530/7814 op=mul seconds=221.202 eta_seconds=461.988 bootstraps=106
node=2540/7814 op=add seconds=221.422 eta_seconds=459.756 bootstraps=106
node=2550/7814 op=repeat seconds=221.772 eta_seconds=457.807 bootstraps=106
node=2560/7814 op=gather seconds=223.908 eta_seconds=459.535 bootstraps=108
node=2570/7814 op=mulp seconds=223.995 eta_seconds=457.055 bootstraps=108
node=2580/7814 op=scatter seconds=224.724 eta_seconds=455.894 bootstraps=108
node=2590/7814 op=gather seconds=225.29 eta_seconds=454.407 bootstraps=108
node=2600/7814 op=cheb seconds=227.857 eta_seconds=456.941 bootstraps=110
node=2610/7814 op=repeat seconds=228.01 eta_seconds=454.622 bootstraps=110
node=2620/7814 op=add seconds=228.271 eta_seconds=452.534 bootstraps=110
node=2630/7814 op=mul seconds=228.739 eta_seconds=450.868 bootstraps=110
node=2640/7814 op=mul seconds=229.639 eta_seconds=450.057 bootstraps=110
node=2650/7814 op=scatter seconds=231.73 eta_seconds=451.568 bootstraps=112
node=2660/7814 op=add seconds=232.11 eta_seconds=449.735 bootstraps=112
node=2670/7814 op=gather seconds=232.859 eta_seconds=448.624 bootstraps=112
node=2680/7814 op=addp seconds=232.946 eta_seconds=446.248 bootstraps=112
node=2690/7814 op=sum seconds=235.548 eta_seconds=448.68 bootstraps=114
node=2700/7814 op=cheb seconds=236.483 eta_seconds=447.916 bootstraps=114
node=2710/7814 op=cheb seconds=237.035 eta_seconds=446.43 bootstraps=114
