GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.3326
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.3897 eta_seconds=1084.52 bootstraps=0
node=20/7814 op=repeat seconds=2.31522 eta_seconds=902.24 bootstraps=0
node=30/7814 op=gather seconds=3.95736 eta_seconds=1026.8 bootstraps=0
node=40/7814 op=cheb seconds=5.0298 eta_seconds=977.542 bootstraps=0
node=50/7814 op=mul seconds=5.54601 eta_seconds=861.185 bootstraps=0
node=60/7814 op=repeat seconds=5.90719 eta_seconds=763.405 bootstraps=0
node=70/7814 op=add seconds=6.3163 eta_seconds=698.763 bootstraps=0
node=80/7814 op=mulp seconds=7.13504 eta_seconds=689.78 bootstraps=0
node=90/7814 op=mul seconds=7.61001 eta_seconds=653.108 bootstraps=0
node=100/7814 op=repeat seconds=8.37517 eta_seconds=646.06 bootstraps=0
node=110/7814 op=gather seconds=10.0348 eta_seconds=702.802 bootstraps=0
node=120/7814 op=repeat seconds=12.1745 eta_seconds=780.587 bootstraps=0
node=130/7814 op=cheb seconds=12.7944 eta_seconds=756.245 bootstraps=0
node=140/7814 op=mul seconds=13.1372 eta_seconds=720.108 bootstraps=0
node=150/7814 op=mulp seconds=13.5557 eta_seconds=692.606 bootstraps=0
node=160/7814 op=gather seconds=14.2095 eta_seconds=679.748 bootstraps=0
node=170/7814 op=scatter seconds=14.5701 eta_seconds=655.142 bootstraps=0
node=180/7814 op=add seconds=14.8682 eta_seconds=630.576 bootstraps=0
node=190/7814 op=repeat seconds=16.5365 eta_seconds=663.55 bootstraps=2
node=200/7814 op=mul seconds=16.7991 eta_seconds=639.54 bootstraps=2
node=210/7814 op=mul seconds=17.0174 eta_seconds=616.192 bootstraps=2
node=220/7814 op=mul seconds=18.9147 eta_seconds=652.901 bootstraps=4
node=230/7814 op=mulp seconds=20.2872 eta_seconds=668.948 bootstraps=4
node=240/7814 op=mul seconds=22.0278 eta_seconds=695.162 bootstraps=6
node=250/7814 op=linear_ref seconds=23.3651 eta_seconds=706.934 bootstraps=6
node=260/7814 op=mulp seconds=24.4999 eta_seconds=711.815 bootstraps=8
node=270/7814 op=mul seconds=25.1624 eta_seconds=703.055 bootstraps=8
node=280/7814 op=repeat seconds=25.448 eta_seconds=684.732 bootstraps=8
node=290/7814 op=gather seconds=26.0973 eta_seconds=677.09 bootstraps=8
node=300/7814 op=addp seconds=26.1427 eta_seconds=654.787 bootstraps=8
node=310/7814 op=cheb seconds=28.4656 eta_seconds=689.051 bootstraps=10
node=320/7814 op=repeat seconds=28.9493 eta_seconds=677.957 bootstraps=10
node=330/7814 op=mul seconds=29.2906 eta_seconds=664.275 bootstraps=10
node=340/7814 op=add seconds=29.8777 eta_seconds=656.781 bootstraps=10
node=350/7814 op=mulp seconds=30.9264 eta_seconds=659.528 bootstraps=10
node=360/7814 op=add seconds=33.0223 eta_seconds=683.745 bootstraps=12
node=370/7814 op=linear seconds=33.9617 eta_seconds=683.273 bootstraps=12
node=380/7814 op=cheb seconds=34.2514 eta_seconds=670.065 bootstraps=12
node=390/7814 op=mul seconds=34.863 eta_seconds=663.649 bootstraps=12
node=400/7814 op=gather seconds=35.2433 eta_seconds=653.235 bootstraps=12
node=410/7814 op=scatter seconds=35.6373 eta_seconds=643.558 bootstraps=12
node=420/7814 op=gather seconds=36.1269 eta_seconds=636.006 bootstraps=12
node=430/7814 op=gather seconds=38.4692 eta_seconds=660.597 bootstraps=14
node=440/7814 op=add seconds=39.2813 eta_seconds=658.319 bootstraps=14
node=450/7814 op=mul seconds=39.7113 eta_seconds=649.853 bootstraps=14
node=460/7814 op=scatter seconds=40.4595 eta_seconds=646.825 bootstraps=14
node=470/7814 op=addp seconds=42.1859 eta_seconds=659.177 bootstraps=16
node=480/7814 op=cheb seconds=44.1702 eta_seconds=674.883 bootstraps=18
node=490/7814 op=gather seconds=45.0568 eta_seconds=673.461 bootstraps=18
node=500/7814 op=mulp seconds=45.1608 eta_seconds=660.612 bootstraps=18
node=510/7814 op=mulp seconds=45.9498 eta_seconds=658.073 bootstraps=18
node=520/7814 op=cheb seconds=48.107 eta_seconds=674.793 bootstraps=20
node=530/7814 op=addp seconds=48.4651 eta_seconds=666.076 bootstraps=20
node=540/7814 op=mul seconds=48.831 eta_seconds=657.772 bootstraps=20
node=550/7814 op=mul seconds=49.4281 eta_seconds=652.81 bootstraps=20
node=560/7814 op=mulp seconds=50.0146 eta_seconds=647.868 bootstraps=20
node=570/7814 op=addp seconds=50.8652 eta_seconds=646.434 bootstraps=20
node=580/7814 op=mulp seconds=50.9577 eta_seconds=635.566 bootstraps=20
node=590/7814 op=add seconds=53.271 eta_seconds=652.254 bootstraps=22
node=600/7814 op=mul seconds=54.1479 eta_seconds=651.038 bootstraps=22
node=610/7814 op=repeat seconds=55.6008 eta_seconds=656.636 bootstraps=22
node=620/7814 op=cheb seconds=56.037 eta_seconds=650.209 bootstraps=22
node=630/7814 op=mul seconds=56.4627 eta_seconds=643.854 bootstraps=22
node=640/7814 op=gather seconds=57.0571 eta_seconds=639.574 bootstraps=22
node=650/7814 op=mulp seconds=57.3272 eta_seconds=631.834 bootstraps=22
node=660/7814 op=gather seconds=59.744 eta_seconds=647.589 bootstraps=24
node=670/7814 op=add seconds=60.5746 eta_seconds=645.888 bootstraps=24
node=680/7814 op=mul seconds=61.0677 eta_seconds=640.672 bootstraps=24
node=690/7814 op=add seconds=61.8183 eta_seconds=638.252 bootstraps=24
node=700/7814 op=sum seconds=63.5194 eta_seconds=645.538 bootstraps=26
node=710/7814 op=gather seconds=64.4636 eta_seconds=644.999 bootstraps=26
node=720/7814 op=gather seconds=66.1751 eta_seconds=652.009 bootstraps=28
node=730/7814 op=sum seconds=66.241 eta_seconds=642.81 bootstraps=28
node=740/7814 op=sum seconds=66.9937 eta_seconds=640.423 bootstraps=28
node=750/7814 op=add seconds=68.9661 eta_seconds=649.569 bootstraps=30
node=760/7814 op=mulp seconds=69.3834 eta_seconds=643.988 bootstraps=30
node=770/7814 op=add seconds=69.7757 eta_seconds=638.312 bootstraps=30
node=780/7814 op=mulp seconds=70.3968 eta_seconds=634.834 bootstraps=30
node=790/7814 op=repeat seconds=70.9942 eta_seconds=631.219 bootstraps=30
node=800/7814 op=gather seconds=71.6546 eta_seconds=628.232 bootstraps=30
node=810/7814 op=addp seconds=71.7092 eta_seconds=620.064 bootstraps=30
node=820/7814 op=scatter seconds=74.0627 eta_seconds=631.7 bootstraps=32
node=830/7814 op=cheb seconds=74.9929 eta_seconds=631.025 bootstraps=32
node=840/7814 op=cheb seconds=75.6039 eta_seconds=627.692 bootstraps=32
node=850/7814 op=repeat seconds=75.9725 eta_seconds=622.438 bootstraps=32
node=860/7814 op=mul seconds=76.3431 eta_seconds=617.314 bootstraps=32
node=870/7814 op=add seconds=76.9607 eta_seconds=614.27 bootstraps=32
node=880/7814 op=mul seconds=77.256 eta_seconds=608.742 bootstraps=32
node=890/7814 op=addp seconds=79.2663 eta_seconds=616.674 bootstraps=34
node=900/7814 op=add seconds=80.0802 eta_seconds=615.194 bootstraps=34
node=910/7814 op=repeat seconds=80.5422 eta_seconds=611.058 bootstraps=34
node=920/7814 op=gather seconds=82.1958 eta_seconds=615.933 bootstraps=36
node=930/7814 op=linear seconds=84.6588 eta_seconds=626.657 bootstraps=38
node=940/7814 op=mulp seconds=84.8799 eta_seconds=620.707 bootstraps=38
node=950/7814 op=gather seconds=87.1906 eta_seconds=629.975 bootstraps=40
node=960/7814 op=addp seconds=87.2547 eta_seconds=622.962 bootstraps=40
node=970/7814 op=mul seconds=87.992 eta_seconds=620.843 bootstraps=40
node=980/7814 op=mul seconds=90.0752 eta_seconds=628.136 bootstraps=42
node=990/7814 op=repeat seconds=90.5819 eta_seconds=624.375 bootstraps=42
node=1000/7814 op=mul seconds=90.9547 eta_seconds=619.765 bootstraps=42
node=1010/7814 op=cheb seconds=91.9225 eta_seconds=619.248 bootstraps=42
node=1020/7814 op=gather seconds=92.7497 eta_seconds=617.786 bootstraps=42
node=1030/7814 op=sum seconds=92.8154 eta_seconds=611.32 bootstraps=42
node=1040/7814 op=scatter seconds=94.6126 eta_seconds=616.256 bootstraps=44
node=1050/7814 op=scatter seconds=94.9459 eta_seconds=611.632 bootstraps=44
node=1060/7814 op=mul seconds=95.4313 eta_seconds=608.06 bootstraps=44
node=1070/7814 op=cheb seconds=98.2206 eta_seconds=619.065 bootstraps=46
node=1080/7814 op=cheb seconds=99.409 eta_seconds=619.833 bootstraps=46
node=1090/7814 op=repeat seconds=100.119 eta_seconds=617.613 bootstraps=46
node=1100/7814 op=addp seconds=100.344 eta_seconds=612.463 bootstraps=46
node=1110/7814 op=mul seconds=101.235 eta_seconds=611.423 bootstraps=46
node=1120/7814 op=cheb seconds=103.022 eta_seconds=615.741 bootstraps=48
node=1130/7814 op=mulp seconds=103.625 eta_seconds=612.947 bootstraps=48
node=1140/7814 op=mulp seconds=104.162 eta_seconds=609.804 bootstraps=48
node=1150/7814 op=sum seconds=104.638 eta_seconds=606.352 bootstraps=48
node=1160/7814 op=add seconds=105.15 eta_seconds=603.162 bootstraps=48
node=1170/7814 op=mulp seconds=106.708 eta_seconds=605.958 bootstraps=50
node=1180/7814 op=cheb seconds=107.597 eta_seconds=604.914 bootstraps=50
node=1190/7814 op=mulp seconds=107.657 eta_seconds=599.263 bootstraps=50
node=1200/7814 op=cheb seconds=110.289 eta_seconds=607.876 bootstraps=52
node=1210/7814 op=mul seconds=110.91 eta_seconds=605.328 bootstraps=52
node=1220/7814 op=gather seconds=111.307 eta_seconds=601.606 bootstraps=52
node=1230/7814 op=scatter seconds=111.731 eta_seconds=598.079 bootstraps=52
node=1240/7814 op=gather seconds=112.223 eta_seconds=594.961 bootstraps=52
node=1250/7814 op=sum seconds=113.256 eta_seconds=594.728 bootstraps=52
node=1260/7814 op=add seconds=115.048 eta_seconds=598.431 bootstraps=54
node=1270/7814 op=linear seconds=115.992 eta_seconds=597.68 bootstraps=54
node=1280/7814 op=mulp seconds=116.215 eta_seconds=593.242 bootstraps=54
node=1290/7814 op=addp seconds=117.072 eta_seconds=592.077 bootstraps=54
node=1300/7814 op=mulp seconds=117.167 eta_seconds=587.096 bootstraps=54
node=1310/7814 op=cheb seconds=120.064 eta_seconds=596.102 bootstraps=56
node=1320/7814 op=cheb seconds=120.924 eta_seconds=594.912 bootstraps=56
node=1330/7814 op=repeat seconds=121.166 eta_seconds=590.705 bootstraps=56
node=1340/7814 op=add seconds=121.51 eta_seconds=587.058 bootstraps=56
node=1350/7814 op=mul seconds=122.109 eta_seconds=584.674 bootstraps=56
node=1360/7814 op=add seconds=122.401 eta_seconds=580.864 bootstraps=56
node=1370/7814 op=addp seconds=124.419 eta_seconds=585.223 bootstraps=58
node=1380/7814 op=add seconds=125.239 eta_seconds=583.902 bootstraps=58
node=1390/7814 op=repeat seconds=126.002 eta_seconds=582.331 bootstraps=58
node=1400/7814 op=addp seconds=126.487 eta_seconds=579.493 bootstraps=58
node=1410/7814 op=gather seconds=128.441 eta_seconds=583.36 bootstraps=60
node=1420/7814 op=sum seconds=128.561 eta_seconds=578.886 bootstraps=60
node=1430/7814 op=gather seconds=129.55 eta_seconds=578.354 bootstraps=60
node=1440/7814 op=cheb seconds=131.913 eta_seconds=583.897 bootstraps=62
node=1450/7814 op=repeat seconds=132.116 eta_seconds=579.851 bootstraps=62
node=1460/7814 op=mul seconds=133.363 eta_seconds=580.402 bootstraps=62
node=1470/7814 op=addp seconds=134.304 eta_seconds=579.607 bootstraps=62
node=1480/7814 op=add seconds=135.806 eta_seconds=581.215 bootstraps=64
node=1490/7814 op=scatter seconds=136.057 eta_seconds=577.466 bootstraps=64
node=1500/7814 op=add seconds=136.535 eta_seconds=574.72 bootstraps=64
node=1510/7814 op=gather seconds=137.535 eta_seconds=574.185 bootstraps=64
node=1520/7814 op=addp seconds=137.66 eta_seconds=570.021 bootstraps=64
node=1530/7814 op=sum seconds=139.921 eta_seconds=574.682 bootstraps=66
node=1540/7814 op=cheb seconds=141.156 eta_seconds=575.073 bootstraps=66
node=1550/7814 op=cheb seconds=141.931 eta_seconds=573.585 bootstraps=66
node=1560/7814 op=repeat seconds=142.298 eta_seconds=570.468 bootstraps=66
node=1570/7814 op=gather seconds=143.455 eta_seconds=570.53 bootstraps=66
node=1580/7814 op=add seconds=145.719 eta_seconds=574.943 bootstraps=68
node=1590/7814 op=mul seconds=145.77 eta_seconds=570.611 bootstraps=68
node=1600/7814 op=mulp seconds=146.321 eta_seconds=568.275 bootstraps=68
node=1610/7814 op=mul seconds=146.586 eta_seconds=564.859 bootstraps=68
node=1620/7814 op=sum seconds=146.998 eta_seconds=562.039 bootstraps=68
node=1630/7814 op=linear seconds=148.928 eta_seconds=565.013 bootstraps=70
node=1640/7814 op=cheb seconds=149.111 eta_seconds=561.347 bootstraps=70
node=1650/7814 op=mulp seconds=149.295 eta_seconds=557.73 bootstraps=70
node=1660/7814 op=repeat seconds=150.343 eta_seconds=557.356 bootstraps=70
node=1670/7814 op=add seconds=152.417 eta_seconds=560.749 bootstraps=72
node=1680/7814 op=mulp seconds=152.824 eta_seconds=557.99 bootstraps=72
node=1690/7814 op=add seconds=153.136 eta_seconds=554.915 bootstraps=72
node=1700/7814 op=mulp seconds=153.62 eta_seconds=552.491 bootstraps=72
node=1710/7814 op=linear_ref seconds=154.605 eta_seconds=551.876 bootstraps=72
node=1720/7814 op=scatter seconds=156.263 eta_seconds=553.645 bootstraps=74
node=1730/7814 op=repeat seconds=156.962 eta_seconds=551.999 bootstraps=74
node=1740/7814 op=addp seconds=157.446 eta_seconds=549.615 bootstraps=74
node=1750/7814 op=gather seconds=158.454 eta_seconds=549.064 bootstraps=74
node=1760/7814 op=mulp seconds=158.76 eta_seconds=546.099 bootstraps=74
node=1770/7814 op=cheb seconds=160.373 eta_seconds=547.625 bootstraps=76
node=1780/7814 op=cheb seconds=162.402 eta_seconds=550.523 bootstraps=76
node=1790/7814 op=mulp seconds=162.678 eta_seconds=547.47 bootstraps=76
node=1800/7814 op=gather seconds=163.146 eta_seconds=545.088 bootstraps=76
node=1810/7814 op=gather seconds=163.508 eta_seconds=542.378 bootstraps=76
node=1820/7814 op=scatter seconds=163.853 eta_seconds=539.634 bootstraps=76
node=1830/7814 op=mulp seconds=165.723 eta_seconds=541.906 bootstraps=78
node=1840/7814 op=scatter seconds=166.575 eta_seconds=540.825 bootstraps=78
node=1850/7814 op=add seconds=167.026 eta_seconds=538.455 bootstraps=78
node=1860/7814 op=mul seconds=167.705 eta_seconds=536.837 bootstraps=78
node=1870/7814 op=gather seconds=169.639 eta_seconds=539.218 bootstraps=80
node=1880/7814 op=cheb seconds=169.902 eta_seconds=536.274 bootstraps=80
node=1890/7814 op=mulp seconds=169.978 eta_seconds=532.779 bootstraps=80
node=1900/7814 op=mulp seconds=172.424 eta_seconds=536.693 bootstraps=82
node=1910/7814 op=mul seconds=172.921 eta_seconds=534.515 bootstraps=82
node=1920/7814 op=mulp seconds=173.24 eta_seconds=531.81 bootstraps=82
node=1930/7814 op=mul seconds=173.733 eta_seconds=529.661 bootstraps=82
node=1940/7814 op=cheb seconds=174.35 eta_seconds=527.902 bootstraps=82
node=1950/7814 op=scatter seconds=176.332 eta_seconds=530.262 bootstraps=84
node=1960/7814 op=sum seconds=176.982 eta_seconds=528.597 bootstraps=84
node=1970/7814 op=sum seconds=177.659 eta_seconds=527.026 bootstraps=84
node=1980/7814 op=gather seconds=178.651 eta_seconds=526.388 bootstraps=84
node=1990/7814 op=repeat seconds=178.917 eta_seconds=523.625 bootstraps=84
node=2000/7814 op=addp seconds=178.982 eta_seconds=520.3 bootstraps=84
node=2010/7814 op=mul seconds=182.179 eta_seconds=526.053 bootstraps=86
node=2020/7814 op=mulp seconds=182.867 eta_seconds=524.519 bootstraps=86
node=2030/7814 op=gather seconds=183.294 eta_seconds=522.252 bootstraps=86
node=2040/7814 op=gather seconds=183.653 eta_seconds=519.811 bootstraps=86
node=2050/7814 op=scatter seconds=183.997 eta_seconds=517.345 bootstraps=86
node=2060/7814 op=sum seconds=186.065 eta_seconds=519.717 bootstraps=88
node=2070/7814 op=scatter seconds=186.9 eta_seconds=518.626 bootstraps=88
node=2080/7814 op=repeat seconds=187.415 eta_seconds=516.652 bootstraps=88
node=2090/7814 op=linear_ref seconds=188.103 eta_seconds=515.167 bootstraps=88
node=2100/7814 op=mulp seconds=189.26 eta_seconds=514.966 bootstraps=90
node=2110/7814 op=mul seconds=190.117 eta_seconds=513.947 bootstraps=90
node=2120/7814 op=repeat seconds=190.311 eta_seconds=511.145 bootstraps=90
node=2130/7814 op=repeat seconds=193.225 eta_seconds=515.63 bootstraps=92
node=2140/7814 op=cheb seconds=193.786 eta_seconds=513.805 bootstraps=92
node=2150/7814 op=gather seconds=194.327 eta_seconds=511.939 bootstraps=92
node=2160/7814 op=linear_ref seconds=195.873 eta_seconds=512.716 bootstraps=92
node=2170/7814 op=add seconds=197.07 eta_seconds=512.565 bootstraps=94
node=2180/7814 op=mul seconds=197.629 eta_seconds=510.754 bootstraps=94
node=2190/7814 op=add seconds=197.892 eta_seconds=508.193 bootstraps=94
node=2200/7814 op=mul seconds=198.762 eta_seconds=507.205 bootstraps=94
node=2210/7814 op=gather seconds=199.762 eta_seconds=506.545 bootstraps=94
node=2220/7814 op=sum seconds=199.861 eta_seconds=503.615 bootstraps=94
node=2230/7814 op=mul seconds=201.454 eta_seconds=504.447 bootstraps=96
node=2240/7814 op=repeat seconds=204.285 eta_seconds=508.34 bootstraps=96
node=2250/7814 op=mulp seconds=204.872 eta_seconds=506.624 bootstraps=96
node=2260/7814 op=gather seconds=205.463 eta_seconds=504.929 bootstraps=96
node=2270/7814 op=mul seconds=206.274 eta_seconds=503.782 bootstraps=96
node=2280/7814 op=addp seconds=208.577 eta_seconds=506.257 bootstraps=98
node=2290/7814 op=scatter seconds=209.086 eta_seconds=504.362 bootstraps=98
node=2300/7814 op=add seconds=209.248 eta_seconds=501.65 bootstraps=98
node=2310/7814 op=sum seconds=209.726 eta_seconds=499.71 bootstraps=98
node=2320/7814 op=add seconds=210.238 eta_seconds=497.865 bootstraps=98
node=2330/7814 op=mulp seconds=211.806 eta_seconds=498.516 bootstraps=100
node=2340/7814 op=cheb seconds=212.698 eta_seconds=497.567 bootstraps=100
node=2350/7814 op=mulp seconds=212.758 eta_seconds=494.686 bootstraps=100
node=2360/7814 op=cheb seconds=215.476 eta_seconds=497.969 bootstraps=102
node=2370/7814 op=mul seconds=216.087 eta_seconds=496.363 bootstraps=102
node=2380/7814 op=gather seconds=216.447 eta_seconds=494.191 bootstraps=102
node=2390/7814 op=cheb seconds=217.831 eta_seconds=494.358 bootstraps=102
node=2400/7814 op=mul seconds=219.545 eta_seconds=495.256 bootstraps=104
node=2410/7814 op=add seconds=220.067 eta_seconds=493.461 bootstraps=104
node=2420/7814 op=add seconds=220.274 eta_seconds=490.975 bootstraps=104
node=2430/7814 op=cheb seconds=220.789 eta_seconds=489.188 bootstraps=104
node=2440/7814 op=gather seconds=221.683 eta_seconds=488.248 bootstraps=104
node=2450/7814 op=sum seconds=221.8 eta_seconds=485.606 bootstraps=104
node=2460/7814 op=addp seconds=224.067 eta_seconds=487.664 bootstraps=106
node=2470/7814 op=cheb seconds=225.325 eta_seconds=487.506 bootstraps=106
node=2480/7814 op=cheb seconds=226.251 eta_seconds=486.623 bootstraps=106
node=2490/7814 op=repeat seconds=226.453 eta_seconds=484.192 bootstraps=106
node=2500/7814 op=mulp seconds=227.695 eta_seconds=483.989 bootstraps=106
node=2510/7814 op=scatter seconds=229.857 eta_seconds=485.722 bootstraps=108
node=2520/7814 op=add seconds=229.913 eta_seconds=483 bootstraps=108
node=2530/7814 op=mul seconds=230.497 eta_seconds=481.402 bootstraps=108
node=2540/7814 op=add seconds=230.765 eta_seconds=479.155 bootstraps=108
node=2550/7814 op=repeat seconds=231.232 eta_seconds=477.336 bootstraps=108
node=2560/7814 op=gather seconds=233.117 eta_seconds=478.435 bootstraps=110
node=2570/7814 op=mulp seconds=233.243 eta_seconds=475.926 bootstraps=110
node=2580/7814 op=scatter seconds=234.093 eta_seconds=474.9 bootstraps=110
node=2590/7814 op=gather seconds=234.842 eta_seconds=473.674 bootstraps=110
node=2600/7814 op=cheb seconds=237.134 eta_seconds=475.545 bootstraps=112
node=2610/7814 op=repeat seconds=237.337 eta_seconds=473.218 bootstraps=112
node=2620/7814 op=add seconds=237.686 eta_seconds=471.199 bootstraps=112
node=2630/7814 op=mul seconds=238.312 eta_seconds=469.737 bootstraps=112
node=2640/7814 op=mul seconds=239.494 eta_seconds=469.371 bootstraps=112
node=2650/7814 op=scatter seconds=241.178 eta_seconds=469.978 bootstraps=114
node=2660/7814 op=add seconds=241.661 eta_seconds=468.24 bootstraps=114
node=2670/7814 op=gather seconds=242.661 eta_seconds=467.509 bootstraps=114
node=2680/7814 op=addp seconds=242.787 eta_seconds=465.1 bootstraps=114
node=2690/7814 op=sum seconds=245.054 eta_seconds=466.787 bootstraps=116
node=2700/7814 op=cheb seconds=246.282 eta_seconds=466.476 bootstraps=116
node=2710/7814 op=cheb seconds=246.992 eta_seconds=465.183 bootstraps=116
node=2720/7814 op=repeat seconds=247.369 eta_seconds=463.272 bootstraps=116
node=2730/7814 op=mul seconds=247.746 eta_seconds=461.37 bootstraps=116
node=2740/7814 op=add seconds=248.386 eta_seconds=459.967 bootstraps=116
