GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.2524
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.40817 eta_seconds=1098.94 bootstraps=0
node=20/7814 op=repeat seconds=2.31974 eta_seconds=904.004 bootstraps=0
node=30/7814 op=gather seconds=3.38789 eta_seconds=879.043 bootstraps=0
node=40/7814 op=cheb seconds=4.31784 eta_seconds=839.172 bootstraps=0
node=50/7814 op=mul seconds=4.79747 eta_seconds=744.952 bootstraps=0
node=60/7814 op=repeat seconds=5.14661 eta_seconds=665.114 bootstraps=0
node=70/7814 op=add seconds=5.38228 eta_seconds=595.434 bootstraps=0
node=80/7814 op=mulp seconds=5.90101 eta_seconds=570.48 bootstraps=0
node=90/7814 op=mul seconds=6.20404 eta_seconds=532.444 bootstraps=0
node=100/7814 op=repeat seconds=6.93784 eta_seconds=535.185 bootstraps=0
node=110/7814 op=gather seconds=7.9817 eta_seconds=559.009 bootstraps=0
node=120/7814 op=repeat seconds=9.99595 eta_seconds=640.907 bootstraps=0
node=130/7814 op=cheb seconds=10.5851 eta_seconds=625.66 bootstraps=0
node=140/7814 op=mul seconds=10.92 eta_seconds=598.574 bootstraps=0
node=150/7814 op=mulp seconds=11.2051 eta_seconds=572.508 bootstraps=0
node=160/7814 op=gather seconds=11.6173 eta_seconds=555.745 bootstraps=0
node=170/7814 op=scatter seconds=11.8566 eta_seconds=533.13 bootstraps=0
node=180/7814 op=add seconds=12.0508 eta_seconds=511.088 bootstraps=0
node=190/7814 op=repeat seconds=13.5281 eta_seconds=542.832 bootstraps=2
node=200/7814 op=mul seconds=13.7926 eta_seconds=525.085 bootstraps=2
node=210/7814 op=mul seconds=14.0108 eta_seconds=507.325 bootstraps=2
node=220/7814 op=mul seconds=15.5705 eta_seconds=537.465 bootstraps=4
node=230/7814 op=mulp seconds=16.4497 eta_seconds=542.412 bootstraps=4
node=240/7814 op=mul seconds=17.9927 eta_seconds=567.82 bootstraps=6
node=250/7814 op=linear_ref seconds=18.9077 eta_seconds=572.073 bootstraps=6
node=260/7814 op=mulp seconds=20.0121 eta_seconds=581.429 bootstraps=8
node=270/7814 op=mul seconds=20.4383 eta_seconds=571.061 bootstraps=8
node=280/7814 op=repeat seconds=20.7224 eta_seconds=557.581 bootstraps=8
node=290/7814 op=gather seconds=21.1409 eta_seconds=548.497 bootstraps=8
node=300/7814 op=addp seconds=21.188 eta_seconds=530.689 bootstraps=8
node=310/7814 op=cheb seconds=23.2778 eta_seconds=563.472 bootstraps=10
node=320/7814 op=repeat seconds=23.7383 eta_seconds=555.922 bootstraps=10
node=330/7814 op=mul seconds=23.9669 eta_seconds=543.539 bootstraps=10
node=340/7814 op=add seconds=24.3296 eta_seconds=534.822 bootstraps=10
node=350/7814 op=mulp seconds=25.2757 eta_seconds=539.023 bootstraps=10
node=360/7814 op=add seconds=27.0717 eta_seconds=560.534 bootstraps=12
node=370/7814 op=linear seconds=27.7153 eta_seconds=557.602 bootstraps=12
node=380/7814 op=cheb seconds=27.9885 eta_seconds=547.543 bootstraps=12
node=390/7814 op=mul seconds=28.5154 eta_seconds=542.817 bootstraps=12
node=400/7814 op=gather seconds=28.8238 eta_seconds=534.249 bootstraps=12
node=410/7814 op=scatter seconds=29.0754 eta_seconds=525.059 bootstraps=12
node=420/7814 op=gather seconds=29.3764 eta_seconds=517.165 bootstraps=12
node=430/7814 op=gather seconds=31.3523 eta_seconds=538.385 bootstraps=14
node=440/7814 op=add seconds=31.9502 eta_seconds=535.457 bootstraps=14
node=450/7814 op=mul seconds=32.2482 eta_seconds=527.724 bootstraps=14
node=460/7814 op=scatter seconds=32.7718 eta_seconds=523.921 bootstraps=14
node=470/7814 op=addp seconds=34.2696 eta_seconds=535.481 bootstraps=16
node=480/7814 op=cheb seconds=35.972 eta_seconds=549.622 bootstraps=18
node=490/7814 op=gather seconds=36.5686 eta_seconds=546.589 bootstraps=18
node=500/7814 op=mulp seconds=36.6648 eta_seconds=536.332 bootstraps=18
node=510/7814 op=mulp seconds=37.2506 eta_seconds=533.487 bootstraps=18
node=520/7814 op=cheb seconds=39.1703 eta_seconds=549.439 bootstraps=20
node=530/7814 op=addp seconds=39.5065 eta_seconds=542.953 bootstraps=20
node=540/7814 op=mul seconds=39.7499 eta_seconds=535.446 bootstraps=20
node=550/7814 op=mul seconds=40.1256 eta_seconds=529.95 bootstraps=20
node=560/7814 op=mulp seconds=40.6104 eta_seconds=526.05 bootstraps=20
node=570/7814 op=addp seconds=41.178 eta_seconds=523.322 bootstraps=20
node=580/7814 op=mulp seconds=41.2635 eta_seconds=514.656 bootstraps=20
node=590/7814 op=add seconds=43.2696 eta_seconds=529.796 bootstraps=22
node=600/7814 op=mul seconds=43.8478 eta_seconds=527.197 bootstraps=22
node=610/7814 op=repeat seconds=45.2028 eta_seconds=533.837 bootstraps=22
node=620/7814 op=cheb seconds=45.6227 eta_seconds=529.37 bootstraps=22
node=630/7814 op=mul seconds=45.9164 eta_seconds=523.593 bootstraps=22
node=640/7814 op=gather seconds=46.2907 eta_seconds=518.89 bootstraps=22
node=650/7814 op=mulp seconds=46.4635 eta_seconds=512.099 bootstraps=22
node=660/7814 op=gather seconds=48.5251 eta_seconds=525.983 bootstraps=24
node=670/7814 op=add seconds=49.1373 eta_seconds=523.936 bootstraps=24
node=680/7814 op=mul seconds=49.5044 eta_seconds=519.359 bootstraps=24
node=690/7814 op=add seconds=50.0302 eta_seconds=516.543 bootstraps=24
node=700/7814 op=sum seconds=51.4902 eta_seconds=523.287 bootstraps=26
node=710/7814 op=gather seconds=52.1555 eta_seconds=521.848 bootstraps=26
node=720/7814 op=gather seconds=53.6119 eta_seconds=528.226 bootstraps=28
node=730/7814 op=sum seconds=53.6716 eta_seconds=520.835 bootstraps=28
node=740/7814 op=sum seconds=54.21 eta_seconds=518.218 bootstraps=28
node=750/7814 op=add seconds=55.9877 eta_seconds=527.329 bootstraps=30
node=760/7814 op=mulp seconds=56.3867 eta_seconds=523.357 bootstraps=30
node=770/7814 op=add seconds=56.652 eta_seconds=518.256 bootstraps=30
node=780/7814 op=mulp seconds=57.0465 eta_seconds=514.443 bootstraps=30
node=790/7814 op=repeat seconds=57.5413 eta_seconds=511.608 bootstraps=30
node=800/7814 op=gather seconds=57.9665 eta_seconds=508.221 bootstraps=30
node=810/7814 op=addp seconds=58.0165 eta_seconds=501.664 bootstraps=30
node=820/7814 op=scatter seconds=60.0339 eta_seconds=512.045 bootstraps=32
node=830/7814 op=cheb seconds=60.8595 eta_seconds=512.1 bootstraps=32
node=840/7814 op=cheb seconds=61.3831 eta_seconds=509.626 bootstraps=32
node=850/7814 op=repeat seconds=61.7428 eta_seconds=505.855 bootstraps=32
