GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.2443
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.40706 eta_seconds=1098.07 bootstraps=0
node=20/7814 op=repeat seconds=2.32439 eta_seconds=905.814 bootstraps=0
node=30/7814 op=gather seconds=3.36385 eta_seconds=872.806 bootstraps=0
node=40/7814 op=cheb seconds=4.29556 eta_seconds=834.842 bootstraps=0
node=50/7814 op=mul seconds=4.69647 eta_seconds=729.268 bootstraps=0
node=60/7814 op=repeat seconds=5.05063 eta_seconds=652.71 bootstraps=0
node=70/7814 op=add seconds=5.29004 eta_seconds=585.229 bootstraps=0
node=80/7814 op=mulp seconds=5.80589 eta_seconds=561.285 bootstraps=0
node=90/7814 op=mul seconds=6.10471 eta_seconds=523.919 bootstraps=0
node=100/7814 op=repeat seconds=6.8429 eta_seconds=527.861 bootstraps=0
node=110/7814 op=gather seconds=7.84997 eta_seconds=549.784 bootstraps=0
node=120/7814 op=repeat seconds=9.9028 eta_seconds=634.935 bootstraps=0
node=130/7814 op=cheb seconds=10.4101 eta_seconds=615.316 bootstraps=0
node=140/7814 op=mul seconds=10.7429 eta_seconds=588.864 bootstraps=0
node=150/7814 op=mulp seconds=11.0279 eta_seconds=563.45 bootstraps=0
node=160/7814 op=gather seconds=11.4332 eta_seconds=546.934 bootstraps=0
node=170/7814 op=scatter seconds=11.6738 eta_seconds=524.909 bootstraps=0
node=180/7814 op=add seconds=11.8626 eta_seconds=503.106 bootstraps=0
node=190/7814 op=repeat seconds=13.3369 eta_seconds=535.161 bootstraps=2
node=200/7814 op=mul seconds=13.5939 eta_seconds=517.519 bootstraps=2
node=210/7814 op=mul seconds=13.8125 eta_seconds=500.143 bootstraps=2
node=220/7814 op=mul seconds=15.3596 eta_seconds=530.186 bootstraps=4
node=230/7814 op=mulp seconds=16.2248 eta_seconds=534.996 bootstraps=4
node=240/7814 op=mul seconds=17.7683 eta_seconds=560.737 bootstraps=6
