GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.4718
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.404 eta_seconds=1095.68 bootstraps=0
node=20/7814 op=repeat seconds=2.32065 eta_seconds=904.356 bootstraps=0
node=30/7814 op=gather seconds=3.35962 eta_seconds=871.71 bootstraps=0
node=40/7814 op=cheb seconds=4.28497 eta_seconds=832.784 bootstraps=0
node=50/7814 op=mul seconds=4.68471 eta_seconds=727.441 bootstraps=0
node=60/7814 op=repeat seconds=5.03233 eta_seconds=650.344 bootstraps=0
node=70/7814 op=add seconds=5.26632 eta_seconds=582.605 bootstraps=0
node=80/7814 op=mulp seconds=5.77973 eta_seconds=558.755 bootstraps=0
node=90/7814 op=mul seconds=6.0754 eta_seconds=521.405 bootstraps=0
node=100/7814 op=repeat seconds=6.80884 eta_seconds=525.234 bootstraps=0
node=110/7814 op=gather seconds=7.81364 eta_seconds=547.239 bootstraps=0
node=120/7814 op=repeat seconds=9.84498 eta_seconds=631.227 bootstraps=0
node=130/7814 op=cheb seconds=10.3453 eta_seconds=611.486 bootstraps=0
node=140/7814 op=mul seconds=10.676 eta_seconds=585.195 bootstraps=0
node=150/7814 op=mulp seconds=10.9592 eta_seconds=559.942 bootstraps=0
node=160/7814 op=gather seconds=11.3648 eta_seconds=543.665 bootstraps=0
node=170/7814 op=scatter seconds=11.6042 eta_seconds=521.779 bootstraps=0
node=180/7814 op=add seconds=11.7921 eta_seconds=500.117 bootstraps=0
node=190/7814 op=repeat seconds=13.2586 eta_seconds=532.019 bootstraps=2
node=200/7814 op=mul seconds=13.5129 eta_seconds=514.435 bootstraps=2
node=210/7814 op=mul seconds=13.73 eta_seconds=497.157 bootstraps=2
node=220/7814 op=mul seconds=15.2721 eta_seconds=527.164 bootstraps=4
node=230/7814 op=mulp seconds=16.1375 eta_seconds=532.117 bootstraps=4
node=240/7814 op=mul seconds=17.6762 eta_seconds=557.831 bootstraps=6
node=250/7814 op=linear_ref seconds=18.5712 eta_seconds=561.889 bootstraps=6
node=260/7814 op=mulp seconds=19.6793 eta_seconds=571.759 bootstraps=8
node=270/7814 op=mul seconds=20.0969 eta_seconds=561.523 bootstraps=8
node=280/7814 op=repeat seconds=20.3773 eta_seconds=548.296 bootstraps=8
node=290/7814 op=gather seconds=20.7929 eta_seconds=539.467 bootstraps=8
node=300/7814 op=addp seconds=20.84 eta_seconds=521.972 bootstraps=8
