GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=31.7849
planned_logical_refreshes=1212
node=10/7814 op=public seconds=0.628891 eta_seconds=490.787 bootstraps=0
node=20/7814 op=repeat seconds=1.10301 eta_seconds=429.845 bootstraps=0
node=30/7814 op=gather seconds=1.84621 eta_seconds=479.03 bootstraps=0
node=40/7814 op=cheb seconds=2.27265 eta_seconds=441.69 bootstraps=0
node=50/7814 op=mul seconds=2.44394 eta_seconds=379.496 bootstraps=0
node=60/7814 op=repeat seconds=2.59546 eta_seconds=335.42 bootstraps=0
node=70/7814 op=add seconds=2.7101 eta_seconds=299.814 bootstraps=0
node=80/7814 op=mulp seconds=2.96133 eta_seconds=286.286 bootstraps=0
node=90/7814 op=mul seconds=3.1094 eta_seconds=266.856 bootstraps=0
node=100/7814 op=repeat seconds=3.45399 eta_seconds=266.441 bootstraps=0
node=110/7814 op=gather seconds=4.20631 eta_seconds=294.595 bootstraps=0
node=120/7814 op=repeat seconds=5.06094 eta_seconds=324.49 bootstraps=0
node=130/7814 op=cheb seconds=5.27893 eta_seconds=312.025 bootstraps=0
node=140/7814 op=mul seconds=5.42328 eta_seconds=297.273 bootstraps=0
node=150/7814 op=mulp seconds=5.5605 eta_seconds=284.105 bootstraps=0
node=160/7814 op=gather seconds=5.76018 eta_seconds=275.553 bootstraps=0
node=170/7814 op=scatter seconds=5.88081 eta_seconds=264.429 bootstraps=0
node=180/7814 op=add seconds=5.97201 eta_seconds=253.28 bootstraps=0
node=190/7814 op=repeat seconds=7.20533 eta_seconds=289.123 bootstraps=2
node=200/7814 op=mul seconds=7.322 eta_seconds=278.749 bootstraps=2
node=210/7814 op=mul seconds=7.43091 eta_seconds=269.07 bootstraps=2
node=220/7814 op=mul seconds=8.79361 eta_seconds=303.54 bootstraps=4
node=230/7814 op=mulp seconds=9.56428 eta_seconds=315.372 bootstraps=4
node=240/7814 op=mul seconds=10.8765 eta_seconds=343.246 bootstraps=6
node=250/7814 op=linear_ref seconds=11.6207 eta_seconds=351.596 bootstraps=6
node=260/7814 op=mulp seconds=12.5668 eta_seconds=365.115 bootstraps=8
node=270/7814 op=mul seconds=12.9432 eta_seconds=361.644 bootstraps=8
node=280/7814 op=repeat seconds=13.0662 eta_seconds=351.574 bootstraps=8
node=290/7814 op=gather seconds=13.4425 eta_seconds=348.762 bootstraps=8
node=300/7814 op=addp seconds=13.466 eta_seconds=337.277 bootstraps=8
node=310/7814 op=cheb seconds=14.8522 eta_seconds=359.52 bootstraps=10
